Freq.	V(vout)
1.00000000000000e+002	(-4.30362664521640e+000dB,1.79878840663277e+002°)
1.00230523807790e+002	(-4.30362671287246e+000dB,1.79878561362719e+002°)
1.00461579027840e+002	(-4.30362678083825e+000dB,1.79878281418312e+002°)
1.00693166885180e+002	(-4.30362684911651e+000dB,1.79878000828570e+002°)
1.00925288607668e+002	(-4.30362691771302e+000dB,1.79877719592005e+002°)
1.01157945425990e+002	(-4.30362698662814e+000dB,1.79877437707127e+002°)
1.01391138573668e+002	(-4.30362705586135e+000dB,1.79877155172442e+002°)
1.01624869287070e+002	(-4.30362712540903e+000dB,1.79876871986451e+002°)
1.01859138805412e+002	(-4.30362719528161e+000dB,1.79876588147653e+002°)
1.02093948370768e+002	(-4.30362726547669e+000dB,1.79876303654542e+002°)
1.02329299228075e+002	(-4.30362733599179e+000dB,1.79876018505612e+002°)
1.02565192625141e+002	(-4.30362740683792e+000dB,1.79875732699349e+002°)
1.02801629812647e+002	(-4.30362747800989e+000dB,1.79875446234240e+002°)
1.03038612044162e+002	(-4.30362754951097e+000dB,1.79875159108764e+002°)
1.03276140576140e+002	(-4.30362762133948e+000dB,1.79874871321399e+002°)
1.03514216667934e+002	(-4.30362769349887e+000dB,1.79874582870621e+002°)
1.03752841581801e+002	(-4.30362776599520e+000dB,1.79874293754899e+002°)
1.03992016582906e+002	(-4.30362783882333e+000dB,1.79874003972701e+002°)
1.04231742939330e+002	(-4.30362791198728e+000dB,1.79873713522490e+002°)
1.04472021922080e+002	(-4.30362798549043e+000dB,1.79873422402727e+002°)
1.04712854805090e+002	(-4.30362805932945e+000dB,1.79873130611867e+002°)
1.04954242865232e+002	(-4.30362813351233e+000dB,1.79872838148365e+002°)
1.05196187382322e+002	(-4.30362820803770e+000dB,1.79872545010669e+002°)
1.05438689639126e+002	(-4.30362828290719e+000dB,1.79872251197226e+002°)
1.05681750921366e+002	(-4.30362835812101e+000dB,1.79871956706477e+002°)
1.05925372517729e+002	(-4.30362843368119e+000dB,1.79871661536861e+002°)
