Freq.	V(vout)
1.00000000000000e+002	(4.19593824664008e+001dB,1.79889854947551e+002°)
1.00230523807790e+002	(4.19593823978291e+001dB,1.79889601037541e+002°)
1.00461579027840e+002	(4.19593823289410e+001dB,1.79889346542211e+002°)
1.00693166885180e+002	(4.19593822597352e+001dB,1.79889091460213e+002°)
1.00925288607668e+002	(4.19593821902099e+001dB,1.79888835790195e+002°)
1.01157945425990e+002	(4.19593821203634e+001dB,1.79888579530799e+002°)
1.01391138573668e+002	(4.19593820501946e+001dB,1.79888322680669e+002°)
1.01624869287070e+002	(4.19593819797019e+001dB,1.79888065238443e+002°)
1.01859138805412e+002	(4.19593819088838e+001dB,1.79887807202754e+002°)
1.02093948370768e+002	(4.19593818377390e+001dB,1.79887548572236e+002°)
1.02329299228075e+002	(4.19593817662657e+001dB,1.79887289345518e+002°)
1.02565192625141e+002	(4.19593816944623e+001dB,1.79887029521224e+002°)
1.02801629812647e+002	(4.19593816223278e+001dB,1.79886769097977e+002°)
1.03038612044162e+002	(4.19593815498603e+001dB,1.79886508074397e+002°)
1.03276140576140e+002	(4.19593814770582e+001dB,1.79886246449100e+002°)
1.03514216667934e+002	(4.19593814039201e+001dB,1.79885984220698e+002°)
1.03752841581801e+002	(4.19593813304445e+001dB,1.79885721387801e+002°)
1.03992016582906e+002	(4.19593812566297e+001dB,1.79885457949017e+002°)
1.04231742939330e+002	(4.19593811824738e+001dB,1.79885193902948e+002°)
1.04472021922080e+002	(4.19593811079765e+001dB,1.79884929248194e+002°)
1.04712854805090e+002	(4.19593810331347e+001dB,1.79884663983352e+002°)
1.04954242865232e+002	(4.19593809579473e+001dB,1.79884398107016e+002°)
1.05196187382322e+002	(4.19593808824132e+001dB,1.79884131617776e+002°)
1.05438689639126e+002	(4.19593808065302e+001dB,1.79883864514220e+002°)
1.05681750921366e+002	(4.19593807302973e+001dB,1.79883596794930e+002°)
1.05925372517729e+002	(4.19593806537123e+001dB,1.79883328458489e+002°)
1.06169555719872e+002	(4.19593805767738e+001dB,1.79883059503473e+002°)
1.06414301822431e+002	(4.19593804994799e+001dB,1.79882789928456e+002°)
1.06659612123026e+002	(4.19593804218297e+001dB,1.79882519732009e+002°)
1.06905487922266e+002	(4.19593803438208e+001dB,1.79882248912699e+002°)
1.07151930523760e+002	(4.19593802654519e+001dB,1.79881977469092e+002°)
1.07398941234124e+002	(4.19593801867213e+001dB,1.79881705399747e+002°)
1.07646521362983e+002	(4.19593801076272e+001dB,1.79881432703222e+002°)
1.07894672222983e+002	(4.19593800281684e+001dB,1.79881159378071e+002°)
1.08143395129794e+002	(4.19593799483426e+001dB,1.79880885422846e+002°)
1.08392691402120e+002	(4.19593798681480e+001dB,1.79880610836093e+002°)
1.08642562361706e+002	(4.19593797875837e+001dB,1.79880335616358e+002°)
1.08893009333343e+002	(4.19593797066473e+001dB,1.79880059762181e+002°)
1.09144033644875e+002	(4.19593796253374e+001dB,1.79879783272098e+002°)
1.09395636627209e+002	(4.19593795436522e+001dB,1.79879506144646e+002°)
1.09647819614318e+002	(4.19593794615899e+001dB,1.79879228378354e+002°)
1.09900583943252e+002	(4.19593793791487e+001dB,1.79878949971749e+002°)
1.10153930954141e+002	(4.19593792963272e+001dB,1.79878670923356e+002°)
1.10407861990207e+002	(4.19593792131232e+001dB,1.79878391231695e+002°)
1.10662378397766e+002	(4.19593791295355e+001dB,1.79878110895284e+002°)
1.10917481526240e+002	(4.19593790455616e+001dB,1.79877829912635e+002°)
1.11173172728159e+002	(4.19593789612005e+001dB,1.79877548282260e+002°)
1.11429453359173e+002	(4.19593788764497e+001dB,1.79877266002665e+002°)
1.11686324778056e+002	(4.19593787913077e+001dB,1.79876983072354e+002°)
1.11943788346715e+002	(4.19593787057726e+001dB,1.79876699489826e+002°)
1.12201845430196e+002	(4.19593786198430e+001dB,1.79876415253579e+002°)
1.12460497396692e+002	(4.19593785335166e+001dB,1.79876130362104e+002°)
1.12719745617551e+002	(4.19593784467918e+001dB,1.79875844813893e+002°)
1.12979591467279e+002	(4.19593783596667e+001dB,1.79875558607430e+002°)
1.13240036323555e+002	(4.19593782721394e+001dB,1.79875271741199e+002°)
1.13501081567231e+002	(4.19593781842082e+001dB,1.79874984213679e+002°)
1.13762728582343e+002	(4.19593780958710e+001dB,1.79874696023345e+002°)
