Freq.	V(vout)
Step Information: Run=1  (Run: 1/10)
1.00000000000000e+000	(-3.71711905289237e+001dB,1.79993452677951e+002°)
1.25892541179417e+000	(-3.71711903520199e+001dB,1.79991757424308e+002°)
1.58489319246111e+000	(-3.71711904523100e+001dB,1.79989623204425e+002°)
1.99526231496888e+000	(-3.71711905309779e+001dB,1.79986936375157e+002°)
2.51188643150958e+000	(-3.71711901240076e+001dB,1.79983553897627e+002°)
3.16227766016838e+000	(-3.71711902375528e+001dB,1.79979295556993e+002°)
3.98107170553497e+000	(-3.71711899549094e+001dB,1.79973934657901e+002°)
5.01187233627272e+000	(-3.71711892158873e+001dB,1.79967185687904e+002°)
6.30957344480194e+000	(-3.71711888002262e+001dB,1.79958689289212e+002°)
7.94328234724282e+000	(-3.71711873884635e+001dB,1.79947992884444e+002°)
1.00000000000000e+001	(-3.71711856081802e+001dB,1.79934526952873e+002°)
1.25892541179417e+001	(-3.71711824965777e+001dB,1.79917574365551e+002°)
1.58489319246111e+001	(-3.71711778806961e+001dB,1.79896232349559e+002°)
1.99526231496888e+001	(-3.71711703599064e+001dB,1.79869364033189e+002°)
2.51188643150958e+001	(-3.71711585489354e+001dB,1.79835539234149e+002°)
3.16227766016838e+001	(-3.71711398803239e+001dB,1.79792956395676e+002°)
3.98107170553498e+001	(-3.71711102248896e+001dB,1.79739348398998e+002°)
5.01187233627273e+001	(-3.71710627581966e+001dB,1.79671859912059e+002°)
6.30957344480194e+001	(-3.71709884227294e+001dB,1.79586898277771e+002°)
7.94328234724283e+001	(-3.71708700373402e+001dB,1.79479940899237e+002°)
1.00000000000000e+002	(-3.71706822023653e+001dB,1.79345293378000e+002°)
1.25892541179417e+002	(-3.71703850722429e+001dB,1.79175790827512e+002°)
1.58489319246112e+002	(-3.71699140227453e+001dB,1.78962416665683e+002°)
1.99526231496888e+002	(-3.71691675088467e+001dB,1.78693831975729e+002°)
2.51188643150958e+002	(-3.71679845808971e+001dB,1.78355775387106e+002°)
3.16227766016838e+002	(-3.71661107056193e+001dB,1.77930326070837e+002°)
3.98107170553498e+002	(-3.71631423515131e+001dB,1.77395000145857e+002°)
5.01187233627273e+002	(-3.71584419817228e+001dB,1.76721625945204e+002°)
6.30957344480194e+002	(-3.71510028540275e+001dB,1.75875016997433e+002°)
7.94328234724283e+002	(-3.71392389088378e+001dB,1.74811419735239e+002°)
1.00000000000000e+003	(-3.71206598076233e+001dB,1.73476838780368e+002°)
1.25892541179417e+003	(-3.70913769677869e+001dB,1.71805415050305e+002°)
1.58489319246112e+003	(-3.70453705089000e+001dB,1.69718357628314e+002°)
1.99526231496888e+003	(-3.69734464978352e+001dB,1.67124346258920e+002°)
2.51188643150959e+003	(-3.68618580359140e+001dB,1.63923094797615e+002°)
3.16227766016839e+003	(-3.66907175844876e+001dB,1.60014688233361e+002°)
3.98107170553498e+003	(-3.64326832882192e+001dB,1.55317850261502e+002°)
5.01187233627273e+003	(-3.60529922176587e+001dB,1.49798808489725e+002°)
6.30957344480195e+003	(-3.55124575696658e+001dB,1.43506324184339e+002°)
7.94328234724283e+003	(-3.47746451547885e+001dB,1.36597204322138e+002°)
1.00000000000000e+004	(-3.38160616713407e+001dB,1.29328258841732e+002°)
1.25892541179417e+004	(-3.26347140845305e+001dB,1.22001508008573e+002°)
1.58489319246112e+004	(-3.12517128903947e+001dB,1.14881912569369e+002°)
1.99526231496889e+004	(-2.97050462675037e+001dB,1.08130756500431e+002°)
2.51188643150959e+004	(-2.80401003011280e+001dB,1.01784299158563e+002°)
3.16227766016839e+004	(-2.63023668390862e+001dB,9.57736555909713e+001°)
3.98107170553498e+004	(-2.45346149462617e+001dB,8.99640680977210e+001°)
5.01187233627274e+004	(-2.27776951578315e+001dB,8.41969624032144e+001°)
6.30957344480195e+004	(-2.10728795755852e+001dB,7.83305670604430e+001°)
7.94328234724284e+004	(-1.94634427327608e+001dB,7.22814972701737e+001°)
1.00000000000000e+005	(-1.79932345122561e+001dB,6.60666638082874e+001°)
1.25892541179417e+005	(-1.67006825427505e+001dB,5.98336664765319e+001°)
1.58489319246112e+005	(-1.56090546497609e+001dB,5.38574899991616e+001°)
1.99526231496889e+005	(-1.47173977666729e+001dB,4.84888141449350e+001°)
2.51188643150959e+005	(-1.39977219455797e+001dB,4.40698771197237e+001°)
3.16227766016839e+005	(-1.33999266658692e+001dB,4.08598235916148e+001°)
3.98107170553499e+005	(-1.28602209614642e+001dB,3.90008816547757e+001°)
5.01187233627274e+005	(-1.23072972718234e+001dB,3.85214828315701e+001°)
6.30957344480196e+005	(-1.16635989272555e+001dB,3.93499548796839e+001°)
7.94328234724285e+005	(-1.08424141226919e+001dB,4.13176850178488e+001°)
1.00000000000000e+006	(-9.74144517169306e+000dB,4.41519906800930e+001°)
1.25892541179417e+006	(-8.22768958653098e+000dB,4.74746659805200e+001°)
1.58489319246112e+006	(-6.09250049144166e+000dB,5.08135141221006e+001°)
1.99526231496889e+006	(-2.89856972027148e+000dB,5.35794676710164e+001°)
2.51188643150959e+006	(2.74271977373522e+000dB,5.45868522628887e+001°)
3.16227766016839e+006	(2.65519264746935e+001dB,-9.82059892144637e+000°)
3.98107170553499e+006	(2.48035449863361e+000dB,-1.16281865136653e+002°)
5.01187233627275e+006	(-4.08706589875045e+000dB,-1.18756090008627e+002°)
6.30957344480196e+006	(-8.23735290950559e+000dB,-1.21413550152024e+002°)
7.94328234724285e+006	(-1.15187144713365e+001dB,-1.25221508481427e+002°)
1.00000000000000e+007	(-1.44323804283706e+001dB,-1.30400645936532e+002°)
Step Information: Run=2  (Run: 2/10)
1.00000000000000e+000	(-3.96325435245228e+001dB,1.79994164436725e+002°)
1.25892541179417e+000	(-3.96325433103794e+001dB,1.79992653445546e+002°)
1.58489319246111e+000	(-3.96325434670125e+001dB,1.79990751261620e+002°)
1.99526231496888e+000	(-3.96325434083965e+001dB,1.79988356512583e+002°)
2.51188643150958e+000	(-3.96325429415373e+001dB,1.79985341662435e+002°)
3.16227766016838e+000	(-3.96325431811578e+001dB,1.79981546306879e+002°)
3.98107170553497e+000	(-3.96325427768112e+001dB,1.79976768138366e+002°)
5.01187233627272e+000	(-3.96325424273433e+001dB,1.79970752833921e+002°)
6.30957344480194e+000	(-3.96325416836815e+001dB,1.79963180012419e+002°)
7.94328234724282e+000	(-3.96325409996602e+001dB,1.79953646426480e+002°)
1.00000000000000e+001	(-3.96325394249575e+001dB,1.79941644484710e+002°)
1.25892541179417e+001	(-3.96325368459810e+001dB,1.79926534588082e+002°)
1.58489319246111e+001	(-3.96325329847853e+001dB,1.79907512428312e+002°)
1.99526231496888e+001	(-3.96325267036902e+001dB,1.79883565031283e+002°)
2.51188643150958e+001	(-3.96325175813061e+001dB,1.79853417529640e+002°)
3.16227766016838e+001	(-3.96325021912521e+001dB,1.79815463160505e+002°)
3.98107170553498e+001	(-3.96324783243309e+001dB,1.79767683358959e+002°)
5.01187233627273e+001	(-3.96324400780304e+001dB,1.79707530930186e+002°)
6.30957344480194e+001	(-3.96323799522797e+001dB,1.79631804431217e+002°)
7.94328234724283e+001	(-3.96322845098254e+001dB,1.79536473184160e+002°)
1.00000000000000e+002	(-3.96321329685527e+001dB,1.79416460713197e+002°)
1.25892541179417e+002	(-3.96318927609472e+001dB,1.79265380576902e+002°)
1.58489319246112e+002	(-3.96315121157954e+001dB,1.79075194465997e+002°)
1.99526231496888e+002	(-3.96309092965998e+001dB,1.78835791206910e+002°)
2.51188643150958e+002	(-3.96299534527007e+001dB,1.78534451135013e+002°)
3.16227766016838e+002	(-3.96284396887115e+001dB,1.78155189299933e+002°)
3.98107170553498e+002	(-3.96260412279452e+001dB,1.77677930289721e+002°)
5.01187233627273e+002	(-3.96222429021801e+001dB,1.77077505782781e+002°)
6.30957344480194e+002	(-3.96162296781170e+001dB,1.76322429397664e+002°)
7.94328234724283e+002	(-3.96067165109109e+001dB,1.75373458364591e+002°)
1.00000000000000e+003	(-3.95916820405262e+001dB,1.74181985015395e+002°)
1.25892541179417e+003	(-3.95679608893116e+001dB,1.72688364793796e+002°)
1.58489319246112e+003	(-3.95306307554818e+001dB,1.70820543513579e+002°)
1.99526231496888e+003	(-3.94721207654067e+001dB,1.68493652945232e+002°)
2.51188643150959e+003	(-3.93809855785883e+001dB,1.65611889415075e+002°)
3.16227766016839e+003	(-3.92403814327607e+001dB,1.62074844866430e+002°)
3.98107170553498e+003	(-3.90265321310453e+001dB,1.57791333113577e+002°)
5.01187233627273e+003	(-3.87079604173989e+001dB,1.52703473735873e+002°)
6.30957344480195e+003	(-3.82468968476375e+001dB,1.46820164935311e+002°)
7.94328234724283e+003	(-3.76044649608503e+001dB,1.40249892887735e+002°)
1.00000000000000e+004	(-3.67498457022298e+001dB,1.33211376219784e+002°)
1.25892541179417e+004	(-3.56703270092048e+001dB,1.26000586026503e+002°)
1.58489319246112e+004	(-3.43766045031836e+001dB,1.18916954953824e+002°)
1.99526231496889e+004	(-3.28998655682992e+001dB,1.12184587873460e+002°)
2.51188643150959e+004	(-3.12830167258376e+001dB,1.05909115953391e+002°)
3.16227766016839e+004	(-2.95717671443264e+001dB,1.00081747808536e+002°)
3.98107170553498e+004	(-2.78094922530052e+001dB,9.46137213952636e+001°)
5.01187233627274e+004	(-2.60361757648014e+001dB,8.93800287721201e+001°)
6.30957344480195e+004	(-2.42895363353668e+001dB,8.42619484359250e+001°)
7.94328234724284e+004	(-2.26058781042446e+001dB,7.91866514950592e+001°)
1.00000000000000e+005	(-2.10184000267769e+001dB,7.41611279157487e+001°)
1.25892541179417e+005	(-1.95517793378545e+001dB,6.92880218441759e+001°)
1.58489319246112e+005	(-1.82146925788879e+001dB,6.47433675654599e+001°)
1.99526231496889e+005	(-1.69957046393271e+001dB,6.07100159160251e+001°)
2.51188643150959e+005	(-1.58681098909882e+001dB,5.73007079629235e+001°)
3.16227766016839e+005	(-1.48021950551865e+001dB,5.45327117040077e+001°)
3.98107170553499e+005	(-1.37744892527135e+001dB,5.23814675898999e+001°)
5.01187233627274e+005	(-1.27640859638573e+001dB,5.08629572614460e+001°)
6.30957344480196e+005	(-1.17374918032292e+001dB,5.00609214424972e+001°)
7.94328234724285e+005	(-1.06327301127777e+001dB,5.00691109476641e+001°)
1.00000000000000e+006	(-9.34926872588648e+000dB,5.08961714981883e+001°)
1.25892541179417e+006	(-7.73606200515812e+000dB,5.23970749858670e+001°)
1.58489319246112e+006	(-5.55023525491700e+000dB,5.42502266255085e+001°)
1.99526231496889e+006	(-2.29775544820953e+000dB,5.59274212308999e+001°)
2.51188643150959e+006	(3.58042584073730e+000dB,5.62165837257273e+001°)
3.16227766016839e+006	(2.62600301493957e+001dB,-6.92455704506592e+001°)
3.98107170553499e+006	(2.07788098679315e+000dB,-1.16362910402080e+002°)
5.01187233627275e+006	(-4.25110449329953e+000dB,-1.18654553332616e+002°)
6.30957344480196e+006	(-8.33732302225065e+000dB,-1.21325501745315e+002°)
7.94328234724285e+006	(-1.15942089193199e+001dB,-1.25158621070317e+002°)
1.00000000000000e+007	(-1.44969155916410e+001dB,-1.30357513443923e+002°)
Step Information: Run=3  (Run: 3/10)
1.00000000000000e+000	(-4.57389100300092e+001dB,1.72441908327534e-002°)
1.25892541179417e+000	(-4.57389097907386e+001dB,2.17091726209909e-002°)
1.58489319246111e+000	(-4.57389090222844e+001dB,2.73301832454462e-002°)
1.99526231496888e+000	(-4.57389084167877e+001dB,3.44066715079907e-002°)
2.51188643150958e+000	(-4.57389085958803e+001dB,4.33154999978005e-002°)
3.16227766016838e+000	(-4.57389070645554e+001dB,5.45310065800498e-002°)
3.98107170553497e+000	(-4.57389042405533e+001dB,6.86503903036222e-002°)
5.01187233627272e+000	(-4.57389000034743e+001dB,8.64256049023682e-002°)
6.30957344480194e+000	(-4.57388950527995e+001dB,1.08803405904366e-001°)
7.94328234724282e+000	(-4.57388842103018e+001dB,1.36975151272694e-001°)
1.00000000000000e+001	(-4.57388692551599e+001dB,1.72441273945684e-001°)
1.25892541179417e+001	(-4.57388457138959e+001dB,2.17090439678569e-001°)
1.58489319246111e+001	(-4.57388075559641e+001dB,2.73299666481179e-001°)
1.99526231496888e+001	(-4.57387476256601e+001dB,3.44062779546366e-001°)
2.51188643150958e+001	(-4.57386527406536e+001dB,4.33145838689790e-001°)
3.16227766016838e+001	(-4.57385016119149e+001dB,5.45291777955058e-001°)
3.98107170553498e+001	(-4.57382623115660e+001dB,6.86468274214075e-001°)
5.01187233627273e+001	(-4.57378831171554e+001dB,8.64187564011985e-001°)
