vcm	V(vout)
Step Information: Run=1  (Run: 1/2)
-1.000000000000000e-001	-2.512515e-004
-9.000000000000001e-002	-2.221025e-004
-8.000000000000002e-002	-1.935332e-004
-7.000000000000002e-002	-1.657646e-004
-6.000000000000002e-002	-1.390238e-004
-5.000000000000002e-002	-1.134971e-004
-4.000000000000002e-002	-8.929247e-005
-3.000000000000001e-002	-6.643352e-005
-2.000000000000001e-002	-4.488478e-005
-1.000000000000001e-002	-2.458809e-005
-1.040834085586084e-017	-5.492304e-006
9.999999999999990e-003	1.242850e-005
1.999999999999999e-002	2.916796e-005
2.999999999999999e-002	4.468937e-005
3.999999999999999e-002	5.893644e-005
5.000000000000000e-002	7.185528e-005
6.000000000000000e-002	8.342853e-005
6.999999999999999e-002	9.371075e-005
7.999999999999999e-002	1.028441e-004
8.999999999999998e-002	1.110366e-004
1.000000000000000e-001	1.185196e-004
Step Information: Run=2  (Run: 2/2)
-1.000000000000000e-001	-2.512515e-004
-9.000000000000001e-002	-2.221025e-004
-8.000000000000002e-002	-1.935332e-004
-7.000000000000002e-002	-1.657646e-004
-6.000000000000002e-002	-1.390238e-004
-5.000000000000002e-002	-1.134971e-004
-4.000000000000002e-002	-8.929247e-005
-3.000000000000001e-002	-6.643352e-005
-2.000000000000001e-002	-4.488478e-005
-1.000000000000001e-002	-2.458809e-005
-1.040834085586084e-017	-5.492304e-006
9.999999999999990e-003	1.242850e-005
1.999999999999999e-002	2.916796e-005
2.999999999999999e-002	4.468937e-005
3.999999999999999e-002	5.893644e-005
5.000000000000000e-002	7.185528e-005
6.000000000000000e-002	8.342853e-005
6.999999999999999e-002	9.371075e-005
7.999999999999999e-002	1.028441e-004
8.999999999999998e-002	1.110366e-004
1.000000000000000e-001	1.185196e-004
