vcm	V(vout)
Step Information: Run=1  (Run: 1/100)
-1.000000000000000e-001	1.166118e-002
-9.000000000000001e-002	1.097934e-002
-8.000000000000002e-002	1.029700e-002
-7.000000000000002e-002	9.613867e-003
-6.000000000000002e-002	8.929694e-003
-5.000000000000002e-002	8.244297e-003
-4.000000000000002e-002	7.557565e-003
-3.000000000000001e-002	6.869473e-003
-2.000000000000001e-002	6.180059e-003
-1.000000000000001e-002	5.489381e-003
-1.040834085586084e-017	4.797490e-003
9.999999999999990e-003	4.104414e-003
1.999999999999999e-002	3.410146e-003
2.999999999999999e-002	2.714648e-003
3.999999999999999e-002	2.017864e-003
5.000000000000000e-002	1.319738e-003
6.000000000000000e-002	6.202550e-004
6.999999999999999e-002	-8.053195e-005
7.999999999999999e-002	-7.824781e-004
8.999999999999998e-002	-1.485372e-003
1.000000000000000e-001	-2.188978e-003
Step Information: Run=2  (Run: 2/100)
-1.000000000000000e-001	1.771875e-002
-9.000000000000001e-002	1.720776e-002
-8.000000000000002e-002	1.669620e-002
-7.000000000000002e-002	1.618384e-002
-6.000000000000002e-002	1.567046e-002
-5.000000000000002e-002	1.515587e-002
-4.000000000000002e-002	1.463996e-002
-3.000000000000001e-002	1.412270e-002
-2.000000000000001e-002	1.360414e-002
-1.000000000000001e-002	1.308432e-002
-1.040834085586084e-017	1.256330e-002
9.999999999999990e-003	1.204111e-002
1.999999999999999e-002	1.151774e-002
2.999999999999999e-002	1.099315e-002
3.999999999999999e-002	1.046729e-002
5.000000000000000e-002	9.940105e-003
6.000000000000000e-002	9.411575e-003
6.999999999999999e-002	8.881754e-003
7.999999999999999e-002	8.350783e-003
8.999999999999998e-002	7.818872e-003
1.000000000000000e-001	7.286252e-003
Step Information: Run=3  (Run: 3/100)
-1.000000000000000e-001	-6.565503e-004
-9.000000000000001e-002	-3.877385e-004
-8.000000000000002e-002	-1.195023e-004
-7.000000000000002e-002	1.479385e-004
-6.000000000000002e-002	4.143585e-004
-5.000000000000002e-002	6.795723e-004
-4.000000000000002e-002	9.434729e-004
-3.000000000000001e-002	1.206037e-003
-2.000000000000001e-002	1.467299e-003
-1.000000000000001e-002	1.727318e-003
-1.040834085586084e-017	1.986144e-003
9.999999999999990e-003	2.243802e-003
1.999999999999999e-002	2.500287e-003
2.999999999999999e-002	2.755563e-003
3.999999999999999e-002	3.009572e-003
5.000000000000000e-002	3.262262e-003
6.000000000000000e-002	3.513615e-003
6.999999999999999e-002	3.763686e-003
7.999999999999999e-002	4.012615e-003
8.999999999999998e-002	4.260609e-003
1.000000000000000e-001	4.507898e-003
Step Information: Run=4  (Run: 4/100)
-1.000000000000000e-001	-1.736006e-002
-9.000000000000001e-002	-1.724215e-002
-8.000000000000002e-002	-1.712481e-002
-7.000000000000002e-002	-1.700827e-002
-6.000000000000002e-002	-1.689274e-002
-5.000000000000002e-002	-1.677841e-002
-4.000000000000002e-002	-1.666539e-002
-3.000000000000001e-002	-1.655370e-002
