Freq.	V(vout)
Step Information: Run=1  (Run: 1/10)
1.00000000000000e+000	(1.01815879669464e+001dB,-4.46358342444973e-004°)
1.25892541179417e+000	(1.01815879668235e+001dB,-5.61931860104129e-004°)
1.58489319246111e+000	(1.01815879666299e+001dB,-7.07430298370770e-004°)
1.99526231496888e+000	(1.01815879663248e+001dB,-8.90601979624639e-004°)
2.51188643150958e+000	(1.01815879658389e+001dB,-1.12120146398373e-003°)
3.16227766016838e+000	(1.01815879650691e+001dB,-1.41150901457931e-003°)
3.98107170553497e+000	(1.01815879638499e+001dB,-1.77698456735519e-003°)
5.01187233627272e+000	(1.01815879619195e+001dB,-2.23709102797275e-003°)
6.30957344480194e+000	(1.01815879588574e+001dB,-2.81633074287440e-003°)
7.94328234724282e+000	(1.01815879540071e+001dB,-3.54555033919269e-003°)
1.00000000000000e+001	(1.01815879463159e+001dB,-4.46358341890758e-003°)
1.25892541179417e+001	(1.01815879341281e+001dB,-5.61931858944318e-003°)
1.58489319246111e+001	(1.01815879148112e+001dB,-7.07430295967566e-003°)
1.99526231496888e+001	(1.01815878841969e+001dB,-8.90601974966386e-003°)
2.51188643150958e+001	(1.01815878356751e+001dB,-1.12120145473656e-002°)
3.16227766016838e+001	(1.01815877587755e+001dB,-1.41150899642532e-002°)
3.98107170553498e+001	(1.01815876368973e+001dB,-1.77698453064480e-002°)
5.01187233627273e+001	(1.01815874437316e+001dB,-2.23709095475783e-002°)
6.30957344480194e+001	(1.01815871375837e+001dB,-2.81633059683206e-002°)
7.94328234724283e+001	(1.01815866523755e+001dB,-3.54555004778571e-002°)
1.00000000000000e+002	(1.01815858833705e+001dB,-4.46358283725450e-002°)
1.25892541179417e+002	(1.01815846645794e+001dB,-5.61931742903236e-002°)
1.58489319246112e+002	(1.01815827329277e+001dB,-7.07430064538134e-002°)
1.99526231496888e+002	(1.01815796714671e+001dB,-8.90601513137212e-002°)
2.51188643150958e+002	(1.01815748193840e+001dB,-1.12120053321012e-001°)
3.16227766016838e+002	(1.01815671293594e+001dB,-1.41150715764026e-001°)
3.98107170553498e+002	(1.01815549415159e+001dB,-1.77698086211694e-001°)
5.01187233627273e+002	(1.01815356251471e+001dB,-2.23708363503210e-001°)
6.30957344480194e+002	(1.01815050109205e+001dB,-2.81631599230768e-001°)
7.94328234724283e+002	(1.01814564910302e+001dB,-3.54552090795272e-001°)
1.00000000000000e+003	(1.01813795931624e+001dB,-4.46352469613703e-001°)
1.25892541179417e+003	(1.01812577207079e+001dB,-5.61920142397746e-001°)
1.58489319246112e+003	(1.01810645720440e+001dB,-7.07406919063607e-001°)
1.99526231496888e+003	(1.01807584675124e+001dB,-8.90555333647899e-001°)
2.51188643150959e+003	(1.01802733633801e+001dB,-1.12110839863406e+000°)
3.16227766016839e+003	(1.01795046227234e+001dB,-1.41132334294690e+000°)
3.98107170553498e+003	(1.01782864959137e+001dB,-1.77661416059365e+000°)
5.01187233627273e+003	(1.01763565101553e+001dB,-2.23635214925093e+000°)
6.30957344480195e+003	(1.01732992326376e+001dB,-2.81485705486894e+000°)
7.94328234724283e+003	(1.01684576466742e+001dB,-3.54261174088256e+000°)
1.00000000000000e+004	(1.01607939554606e+001dB,-4.45772581259753e+000°)
1.25892541179417e+004	(1.01486721170786e+001dB,-5.60764899946452e+000°)
1.58489319246112e+004	(1.01295209837904e+001dB,-7.05107531069830e+000°)
1.99526231496889e+004	(1.00993195920052e+001dB,-8.85985101190180e+000°)
2.51188643150959e+004	(1.00518279896002e+001dB,-1.11204473839324e+001°)
3.16227766016839e+004	(9.97747916396472e+000dB,-1.39341014026298e+001°)
3.98107170553498e+004	(9.86187922890613e+000dB,-1.74139837367738e+001°)
5.01187233627274e+004	(9.68399433202479e+000dB,-2.16767666915667e+001°)
6.30957344480195e+004	(9.41442502731939e+000dB,-2.68252270292063e+001°)
7.94328234724284e+004	(9.01473253420912e+000dB,-3.29195065045895e+001°)
1.00000000000000e+005	(8.43935991523377e+000dB,-3.99398673749402e+001°)
1.25892541179417e+005	(7.64147007492143e+000dB,-4.77541468692549e+001°)
1.58489319246112e+005	(6.58196665759318e+000dB,-5.61116955713305e+001°)
1.99526231496889e+005	(5.23776077806080e+000dB,-6.46767894263600e+001°)
2.51188643150959e+005	(3.60472867014107e+000dB,-7.30847508395233e+001°)
3.16227766016839e+005	(1.69533694959917e+000dB,-8.09835398949669e+001°)
3.98107170553499e+005	(-4.63826498008257e-001dB,-8.80449915145770e+001°)
5.01187233627274e+005	(-2.83044394339494e+000dB,-9.39735127559566e+001°)
6.30957344480196e+005	(-5.34367241511642e+000dB,-9.85511821535533e+001°)
