vdm	V(vout)
Step Information: Run=1  (Run: 1/2)
0.000000000000000e+000	-5.492449e-006
2.500000000000000e-003	3.193234e-001
5.000000000000000e-003	6.387148e-001
7.500000000000000e-003	9.581063e-001
1.000000000000000e-002	1.277498e+000
1.250000000000000e-002	1.596889e+000
1.500000000000000e-002	1.916281e+000
1.750000000000000e-002	2.235672e+000
2.000000000000000e-002	2.555063e+000
2.250000000000000e-002	2.874455e+000
2.500000000000000e-002	3.193846e+000
Step Information: Run=2  (Run: 2/2)
0.000000000000000e+000	-5.492449e-006
2.500000000000000e-003	3.193234e-001
5.000000000000000e-003	6.387148e-001
7.500000000000000e-003	9.581063e-001
1.000000000000000e-002	1.277498e+000
1.250000000000000e-002	1.596889e+000
1.500000000000000e-002	1.916281e+000
1.750000000000000e-002	2.235672e+000
2.000000000000000e-002	2.555063e+000
2.250000000000000e-002	2.874455e+000
2.500000000000000e-002	3.193846e+000
