vdm	V(vout)
Step Information: Run=1  (Run: 1/100)
0.000000000000000e+000	4.797493e-003
2.500000000000000e-003	3.280233e-001
5.000000000000000e-003	6.513067e-001
7.500000000000000e-003	9.745902e-001
1.000000000000000e-002	1.297874e+000
1.250000000000000e-002	1.621157e+000
1.500000000000000e-002	1.944440e+000
1.750000000000000e-002	2.267724e+000
2.000000000000000e-002	2.591007e+000
2.250000000000000e-002	2.914291e+000
2.500000000000000e-002	3.237574e+000
Step Information: Run=2  (Run: 2/100)
0.000000000000000e+000	1.256331e-002
2.500000000000000e-003	3.314368e-001
5.000000000000000e-003	6.503587e-001
7.500000000000000e-003	9.692805e-001
1.000000000000000e-002	1.288202e+000
1.250000000000000e-002	1.607124e+000
1.500000000000000e-002	1.926046e+000
1.750000000000000e-002	2.244968e+000
2.000000000000000e-002	2.563890e+000
2.250000000000000e-002	2.882811e+000
2.500000000000000e-002	3.201733e+000
Step Information: Run=3  (Run: 3/100)
0.000000000000000e+000	1.986145e-003
2.500000000000000e-003	3.195121e-001
5.000000000000000e-003	6.370978e-001
7.500000000000000e-003	9.546836e-001
1.000000000000000e-002	1.272269e+000
1.250000000000000e-002	1.589855e+000
1.500000000000000e-002	1.907441e+000
1.750000000000000e-002	2.225027e+000
2.000000000000000e-002	2.542613e+000
2.250000000000000e-002	2.860198e+000
2.500000000000000e-002	3.177784e+000
Step Information: Run=4  (Run: 4/100)
0.000000000000000e+000	-1.622617e-002
2.500000000000000e-003	2.996374e-001
5.000000000000000e-003	6.155837e-001
7.500000000000000e-003	9.315300e-001
1.000000000000000e-002	1.247476e+000
1.250000000000000e-002	1.563423e+000
1.500000000000000e-002	1.879369e+000
1.750000000000000e-002	2.195315e+000
2.000000000000000e-002	2.511261e+000
2.250000000000000e-002	2.827208e+000
2.500000000000000e-002	3.143154e+000
Step Information: Run=5  (Run: 5/100)
0.000000000000000e+000	-4.887991e-003
2.500000000000000e-003	3.146883e-001
5.000000000000000e-003	6.343332e-001
7.500000000000000e-003	9.539781e-001
1.000000000000000e-002	1.273623e+000
1.250000000000000e-002	1.593268e+000
1.500000000000000e-002	1.912913e+000
1.750000000000000e-002	2.232558e+000
2.000000000000000e-002	2.552202e+000
2.250000000000000e-002	2.871847e+000
2.500000000000000e-002	3.191492e+000
Step Information: Run=6  (Run: 6/100)
0.000000000000000e+000	6.548660e-003
2.500000000000000e-003	3.252831e-001
5.000000000000000e-003	6.440724e-001
7.500000000000000e-003	9.628617e-001
1.000000000000000e-002	1.281651e+000
1.250000000000000e-002	1.600440e+000
1.500000000000000e-002	1.919230e+000
1.750000000000000e-002	2.238019e+000
2.000000000000000e-002	2.556808e+000
2.250000000000000e-002	2.875597e+000
2.500000000000000e-002	3.194387e+000
Step Information: Run=7  (Run: 7/100)
0.000000000000000e+000	1.128948e-002
2.500000000000000e-003	3.292904e-001
5.000000000000000e-003	6.473409e-001
7.500000000000000e-003	9.653913e-001
1.000000000000000e-002	1.283442e+000
1.250000000000000e-002	1.601492e+000
1.500000000000000e-002	1.919543e+000
1.750000000000000e-002	2.237593e+000
2.000000000000000e-002	2.555644e+000
2.250000000000000e-002	2.873694e+000
2.500000000000000e-002	3.191745e+000
Step Information: Run=8  (Run: 8/100)
0.000000000000000e+000	1.574082e-002
2.500000000000000e-003	3.325833e-001
5.000000000000000e-003	6.494705e-001
7.500000000000000e-003	9.663577e-001
1.000000000000000e-002	1.283245e+000
1.250000000000000e-002	1.600132e+000
1.500000000000000e-002	1.917019e+000
1.750000000000000e-002	2.233907e+000
2.000000000000000e-002	2.550794e+000
2.250000000000000e-002	2.867681e+000
