Freq.	V(n003)
Step Information: Hola=100m  (Run: 1/5)
1.00000000000000e+001	(-9.54188864431289e+000dB,-1.79639402331227e+002°)
1.02329299228075e+001	(-9.54185987472314e+000dB,-1.79631004810295e+002°)
1.04712854805090e+001	(-9.54182975002277e+000dB,-1.79622411819241e+002°)
1.07151930523761e+001	(-9.54179820446724e+000dB,-1.79613618816656e+002°)
1.09647819614319e+001	(-9.54176517335983e+000dB,-1.79604621152752e+002°)
1.12201845430196e+001	(-9.54173058657128e+000dB,-1.79595414072171e+002°)
1.14815362149688e+001	(-9.54169436925005e+000dB,-1.79585992705255e+002°)
1.17489755493953e+001	(-9.54165644596451e+000dB,-1.79576352079145e+002°)
1.20226443461741e+001	(-9.54161673608746e+000dB,-1.79566487096782e+002°)
1.23026877081238e+001	(-9.54157515414451e+000dB,-1.79556392549449e+002°)
1.25892541179417e+001	(-9.54153161391631e+000dB,-1.79546063097857e+002°)
1.28824955169313e+001	(-9.54148602272911e+000dB,-1.79535493294997e+002°)
1.31825673855641e+001	(-9.54143828288643e+000dB,-1.79524677557369e+002°)
1.34896288259165e+001	(-9.54138829390354e+000dB,-1.79513610176182e+002°)
1.38038426460288e+001	(-9.54133594941094e+000dB,-1.79502285311329e+002°)
1.41253754462275e+001	(-9.54128113974155e+000dB,-1.79490696985070e+002°)
1.44543977074593e+001	(-9.54122374807791e+000dB,-1.79478839082324e+002°)
1.47910838816821e+001	(-9.54116365229111e+000dB,-1.79466705355653e+002°)
1.51356124843621e+001	(-9.54110072522009e+000dB,-1.79454289401575e+002°)
1.54881661891248e+001	(-9.54103483462560e+000dB,-1.79441584678164e+002°)
1.58489319246111e+001	(-9.54096583968000e+000dB,-1.79428584487867e+002°)
1.62181009735893e+001	(-9.54089359468871e+000dB,-1.79415281982385e+002°)
1.65958690743756e+001	(-9.54081794635096e+000dB,-1.79401670159207e+002°)
1.69824365246174e+001	(-9.54073873440853e+000dB,-1.79387741845449e+002°)
1.73780082874937e+001	(-9.54065579233721e+000dB,-1.79373489711681e+002°)
1.77827941003892e+001	(-9.54056894345095e+000dB,-1.79358906263602e+002°)
1.81970085860998e+001	(-9.54047800343415e+000dB,-1.79343983827012e+002°)
1.86208713666287e+001	(-9.54038278139256e+000dB,-1.79328714556645e+002°)
1.90546071796325e+001	(-9.54028307366813e+000dB,-1.79313090428060e+002°)
1.94984459975804e+001	(-9.54017866940625e+000dB,-1.79297103232416e+002°)
1.99526231496888e+001	(-9.54006935080783e+000dB,-1.79280744570378e+002°)
2.04173794466953e+001	(-9.53995488280090e+000dB,-1.79264005866934e+002°)
2.08929613085404e+001	(-9.53983502383668e+000dB,-1.79246878333247e+002°)
2.13796208950223e+001	(-9.53970952201213e+000dB,-1.79229352990964e+002°)
2.18776162394955e+001	(-9.53957810920537e+000dB,-1.79211420651744e+002°)
2.23872113856834e+001	(-9.53944051079659e+000dB,-1.79193071921688e+002°)
2.29086765276777e+001	(-9.53929643226114e+000dB,-1.79174297206609e+002°)
2.34422881531992e+001	(-9.53914557105834e+000dB,-1.79155086672513e+002°)
2.39883291901949e+001	(-9.53898760781629e+000dB,-1.79135430278027e+002°)
2.45470891568503e+001	(-9.53882220801302e+000dB,-1.79115317754622e+002°)
2.51188643150958e+001	(-9.53864902178880e+000dB,-1.79094738603292e+002°)
2.57039578276886e+001	(-9.53846768335025e+000dB,-1.79073682082536e+002°)
2.63026799189538e+001	(-9.53827781003445e+000dB,-1.79052137216422e+002°)
2.69153480392691e+001	(-9.53807900056258e+000dB,-1.79030092784018e+002°)
2.75422870333816e+001	(-9.53787083404684e+000dB,-1.79007537311292e+002°)
2.81838293126445e+001	(-9.53765287238684e+000dB,-1.78984459058907e+002°)
2.88403150312660e+001	(-9.53742465366183e+000dB,-1.78960846048590e+002°)
2.95120922666638e+001	(-9.53718569631629e+000dB,-1.78936686018305e+002°)
3.01995172040201e+001	(-9.53693549667873e+000dB,-1.78911966440738e+002°)
3.09029543251359e+001	(-9.53667352564703e+000dB,-1.78886674516961e+002°)
3.16227766016838e+001	(-9.53639923174230e+000dB,-1.78860797149350e+002°)
3.23593656929628e+001	(-9.53611203484714e+000dB,-1.78834320973250e+002°)
3.31131121482591e+001	(-9.53581133167526e+000dB,-1.78807232322178e+002°)
3.38844156139202e+001	(-9.53549648597762e+000dB,-1.78779517227620e+002°)
3.46736850452531e+001	(-9.53516683505537e+000dB,-1.78751161425464e+002°)
3.54813389233575e+001	(-9.53482168387628e+000dB,-1.78722150341692e+002°)
3.63078054770101e+001	(-9.53446030673113e+000dB,-1.78692469072101e+002°)
3.71535229097172e+001	(-9.53408194070753e+000dB,-1.78662102412067e+002°)
3.80189396320561e+001	(-9.53368579066609e+000dB,-1.78631034818444e+002°)
3.89045144994280e+001	(-9.53327102377867e+000dB,-1.78599250426865e+002°)
3.98107170553497e+001	(-9.53283676502292e+000dB,-1.78566733022821e+002°)
4.07380277804112e+001	(-9.53238210420573e+000dB,-1.78533466062228e+002°)
4.16869383470335e+001	(-9.53190608459833e+000dB,-1.78499432642595e+002°)
4.26579518801592e+001	(-9.53140770570296e+000dB,-1.78464615509552e+002°)
4.36515832240165e+001	(-9.53088592179953e+000dB,-1.78428997054165e+002°)
4.46683592150962e+001	(-9.53033963701967e+000dB,-1.78392559299789e+002°)
4.57088189614874e+001	(-9.52976770629600e+000dB,-1.78355283895550e+002°)
4.67735141287197e+001	(-9.52916892954866e+000dB,-1.78317152127457e+002°)
4.78630092322638e+001	(-9.52854205268616e+000dB,-1.78278144889723e+002°)
4.89778819368445e+001	(-9.52788576325051e+000dB,-1.78238242693512e+002°)
5.01187233627271e+001	(-9.52719868602538e+000dB,-1.78197425670949e+002°)
5.12861383991364e+001	(-9.52647938548042e+000dB,-1.78155673547987e+002°)
5.24807460249772e+001	(-9.52572635700150e+000dB,-1.78112965654778e+002°)
5.37031796370252e+001	(-9.52493802806256e+000dB,-1.78069280920524e+002°)
5.49540873857624e+001	(-9.52411275312420e+000dB,-1.78024597868660e+002°)
5.62341325190348e+001	(-9.52324881029109e+000dB,-1.77978894609489e+002°)
5.75439937337156e+001	(-9.52234439961696e+000dB,-1.77932148845232e+002°)
5.88843655355588e+001	(-9.52139763729519e+000dB,-1.77884337853882e+002°)
6.02559586074357e+001	(-9.52040655341023e+000dB,-1.77835438506326e+002°)
6.16595001861481e+001	(-9.51936908809276e+000dB,-1.77785427239251e+002°)
6.30957344480192e+001	(-9.51828308641786e+000dB,-1.77734280078739e+002°)
6.45654229034654e+001	(-9.51714629540842e+000dB,-1.77681972622565e+002°)
6.60693448007595e+001	(-9.51595635922094e+000dB,-1.77628480040903e+002°)
6.76082975391980e+001	(-9.51471081404310e+000dB,-1.77573777095089e+002°)
6.91830970918935e+001	(-9.51340708418457e+000dB,-1.77517838109168e+002°)
7.07945784384136e+001	(-9.51204247720209e+000dB,-1.77460636988440e+002°)
7.24435960074988e+001	(-9.51061417811798e+000dB,-1.77402147231372e+002°)
7.41310241300916e+001	(-9.50911924449826e+000dB,-1.77342341904487e+002°)
7.58577575029182e+001	(-9.50755460043333e+000dB,-1.77281193681884e+002°)
7.76247116628690e+001	(-9.50591703239071e+000dB,-1.77218674816292e+002°)
7.94328234724279e+001	(-9.50420318090568e+000dB,-1.77154757179532e+002°)
8.12830516164097e+001	(-9.50240953618104e+000dB,-1.77089412231513e+002°)
8.31763771102669e+001	(-9.50053243124940e+000dB,-1.77022611070637e+002°)
8.51138038202374e+001	(-9.49856803484639e+000dB,-1.76954324409200e+002°)
8.70963589956078e+001	(-9.49651234501095e+000dB,-1.76884522608110e+002°)
8.91250938133743e+001	(-9.49436118150572e+000dB,-1.76813175686872e+002°)
9.12010839355907e+001	(-9.49211017900498e+000dB,-1.76740253324434e+002°)
9.33254300796988e+001	(-9.48975477909627e+000dB,-1.76665724892767e+002°)
9.54992586021433e+001	(-9.48729022227196e+000dB,-1.76589559475488e+002°)
9.77237220955808e+001	(-9.48471153978833e+000dB,-1.76511725875392e+002°)
