Freq.	V(n003)-V(n002)
1.00000000000000e+001	(-6.02077363101753e+000dB,-7.19999933741071e-002°)
1.02329299228075e+001	(-6.02077363101494e+000dB,-7.36770883441297e-002°)
1.04712854805090e+001	(-6.02077363101223e+000dB,-7.53932478514673e-002°)
1.07151930523761e+001	(-6.02077363100940e+000dB,-7.71493818244501e-002°)
1.09647819614319e+001	(-6.02077363100643e+000dB,-7.89464213862445e-002°)
1.12201845430196e+001	(-6.02077363100332e+000dB,-8.07853193485367e-002°)
1.14815362149688e+001	(-6.02077363100006e+000dB,-8.26670507167135e-002°)
1.17489755493953e+001	(-6.02077363099666e+000dB,-8.45926132068109e-002°)
1.20226443461741e+001	(-6.02077363099309e+000dB,-8.65630277745022e-002°)
1.23026877081238e+001	(-6.02077363098935e+000dB,-8.85793391564085e-002°)
1.25892541179417e+001	(-6.02077363098544e+000dB,-9.06426164240156e-002°)
1.28824955169313e+001	(-6.02077363098134e+000dB,-9.27539535504933e-002°)
1.31825673855641e+001	(-6.02077363097705e+000dB,-9.49144699907171e-002°)
1.34896288259165e+001	(-6.02077363097255e+000dB,-9.71253112747979e-002°)
1.38038426460288e+001	(-6.02077363096785e+000dB,-9.93876496154373e-002°)
1.41253754462275e+001	(-6.02077363096292e+000dB,-1.01702684529428e-001°)
1.44543977074593e+001	(-6.02077363095776e+000dB,-1.04071643473631e-001°)
1.47910838816821e+001	(-6.02077363095236e+000dB,-1.06495782495762e-001°)
1.51356124843621e+001	(-6.02077363094670e+000dB,-1.08976386900339e-001°)
1.54881661891248e+001	(-6.02077363094078e+000dB,-1.11514771930139e-001°)
1.58489319246111e+001	(-6.02077363093458e+000dB,-1.14112283463525e-001°)
1.62181009735893e+001	(-6.02077363092808e+000dB,-1.16770298728016e-001°)
1.65958690743756e+001	(-6.02077363092128e+000dB,-1.19490227030475e-001°)
1.69824365246174e+001	(-6.02077363091416e+000dB,-1.22273510504304e-001°)
1.73780082874937e+001	(-6.02077363090670e+000dB,-1.25121624874041e-001°)
1.77827941003892e+001	(-6.02077363089889e+000dB,-1.28036080237767e-001°)
1.81970085860998e+001	(-6.02077363089072e+000dB,-1.31018421867729e-001°)
1.86208713666287e+001	(-6.02077363088215e+000dB,-1.34070231029616e-001°)
1.90546071796325e+001	(-6.02077363087319e+000dB,-1.37193125820914e-001°)
1.94984459975804e+001	(-6.02077363086380e+000dB,-1.40388762028780e-001°)
1.99526231496888e+001	(-6.02077363085397e+000dB,-1.43658834007907e-001°)
2.04173794466953e+001	(-6.02077363084368e+000dB,-1.47005075578821e-001°)
2.08929613085404e+001	(-6.02077363083290e+000dB,-1.50429260947107e-001°)
2.13796208950223e+001	(-6.02077363082161e+000dB,-1.53933205644041e-001°)
2.18776162394955e+001	(-6.02077363080979e+000dB,-1.57518767489123e-001°)
2.23872113856834e+001	(-6.02077363079742e+000dB,-1.61187847575035e-001°)
2.29086765276777e+001	(-6.02077363078446e+000dB,-1.64942391275527e-001°)
2.34422881531992e+001	(-6.02077363077089e+000dB,-1.68784389276782e-001°)
2.39883291901949e+001	(-6.02077363075668e+000dB,-1.72715878632796e-001°)
2.45470891568503e+001	(-6.02077363074180e+000dB,-1.76738943845336e-001°)
2.51188643150958e+001	(-6.02077363072622e+000dB,-1.80855717969044e-001°)
2.57039578276886e+001	(-6.02077363070990e+000dB,-1.85068383742279e-001°)
2.63026799189538e+001	(-6.02077363069282e+000dB,-1.89379174744297e-001°)
2.69153480392691e+001	(-6.02077363067493e+000dB,-1.93790376579364e-001°)
2.75422870333816e+001	(-6.02077363065620e+000dB,-1.98304328088454e-001°)
2.81838293126445e+001	(-6.02077363063659e+000dB,-2.02923422589161e-001°)
2.88403150312660e+001	(-6.02077363061605e+000dB,-2.07650109144476e-001°)
2.95120922666638e+001	(-6.02077363059454e+000dB,-2.12486893861114e-001°)
3.01995172040201e+001	(-6.02077363057202e+000dB,-2.17436341218072e-001°)
3.09029543251359e+001	(-6.02077363054844e+000dB,-2.22501075426113e-001°)
3.16227766016838e+001	(-6.02077363052374e+000dB,-2.27683781818919e-001°)
3.23593656929628e+001	(-6.02077363049789e+000dB,-2.32987208276616e-001°)
3.31131121482591e+001	(-6.02077363047081e+000dB,-2.38414166682463e-001°)
3.38844156139202e+001	(-6.02077363044246e+000dB,-2.43967534413437e-001°)
3.46736850452531e+001	(-6.02077363041277e+000dB,-2.49650255865537e-001°)
3.54813389233575e+001	(-6.02077363038169e+000dB,-2.55465344014589e-001°)
3.63078054770101e+001	(-6.02077363034913e+000dB,-2.61415882013393e-001°)
3.71535229097172e+001	(-6.02077363031505e+000dB,-2.67505024826054e-001°)
3.80189396320561e+001	(-6.02077363027936e+000dB,-2.73736000900351e-001°)
3.89045144994280e+001	(-6.02077363024198e+000dB,-2.80112113879047e-001°)
3.98107170553497e+001	(-6.02077363020285e+000dB,-2.86636744351030e-001°)
4.07380277804112e+001	(-6.02077363016187e+000dB,-2.93313351643218e-001°)
4.16869383470335e+001	(-6.02077363011896e+000dB,-3.00145475654174e-001°)
4.26579518801592e+001	(-6.02077363007402e+000dB,-3.07136738730400e-001°)
4.36515832240165e+001	(-6.02077363002697e+000dB,-3.14290847586307e-001°)
4.46683592150962e+001	(-6.02077362997770e+000dB,-3.21611595268864e-001°)
4.57088189614874e+001	(-6.02077362992611e+000dB,-3.29102863167976e-001°)
4.67735141287197e+001	(-6.02077362987209e+000dB,-3.36768623073655e-001°)
4.78630092322638e+001	(-6.02077362981552e+000dB,-3.44612939281049e-001°)
4.89778819368445e+001	(-6.02077362975629e+000dB,-3.52639970744479e-001°)
5.01187233627271e+001	(-6.02077362969426e+000dB,-3.60853973281579e-001°)
5.12861383991364e+001	(-6.02077362962931e+000dB,-3.69259301828738e-001°)
5.24807460249772e+001	(-6.02077362956130e+000dB,-3.77860412749018e-001°)
5.37031796370252e+001	(-6.02077362949009e+000dB,-3.86661866193762e-001°)
5.49540873857624e+001	(-6.02077362941551e+000dB,-3.95668328519153e-001°)
5.62341325190348e+001	(-6.02077362933743e+000dB,-4.04884574758990e-001°)
5.75439937337156e+001	(-6.02077362925566e+000dB,-4.14315491154986e-001°)
5.88843655355588e+001	(-6.02077362917004e+000dB,-4.23966077745920e-001°)
6.02559586074357e+001	(-6.02077362908039e+000dB,-4.33841451017021e-001°)
6.16595001861481e+001	(-6.02077362898651e+000dB,-4.43946846610960e-001°)
6.30957344480192e+001	(-6.02077362888821e+000dB,-4.54287622101901e-001°)
6.45654229034654e+001	(-6.02077362878527e+000dB,-4.64869259834050e-001°)
6.60693448007595e+001	(-6.02077362867749e+000dB,-4.75697369826218e-001°)
6.76082975391980e+001	(-6.02077362856462e+000dB,-4.86777692743914e-001°)
6.91830970918935e+001	(-6.02077362844643e+000dB,-4.98116102940533e-001°)
7.07945784384136e+001	(-6.02077362832268e+000dB,-5.09718611569248e-001°)
7.24435960074988e+001	(-6.02077362819309e+000dB,-5.21591369767235e-001°)
7.41310241300916e+001	(-6.02077362805740e+000dB,-5.33740671913902e-001°)
7.58577575029182e+001	(-6.02077362791531e+000dB,-5.46172958964845e-001°)
7.76247116628690e+001	(-6.02077362776652e+000dB,-5.58894821863281e-001°)
7.94328234724279e+001	(-6.02077362761072e+000dB,-5.71913005030729e-001°)
8.12830516164097e+001	(-6.02077362744758e+000dB,-5.85234409938807e-001°)
8.31763771102669e+001	(-6.02077362727675e+000dB,-5.98866098763988e-001°)
8.51138038202374e+001	(-6.02077362709788e+000dB,-6.12815298127241e-001°)
8.70963589956078e+001	(-6.02077362691057e+000dB,-6.27089402920525e-001°)
8.91250938133743e+001	(-6.02077362671443e+000dB,-6.41695980222132e-001°)
9.12010839355907e+001	(-6.02077362650905e+000dB,-6.56642773302925e-001°)
9.33254300796988e+001	(-6.02077362629399e+000dB,-6.71937705725578e-001°)
9.54992586021433e+001	(-6.02077362606880e+000dB,-6.87588885538953e-001°)
9.77237220955808e+001	(-6.02077362583300e+000dB,-7.03604609569807e-001°)
9.99999999999997e+001	(-6.02077362558608e+000dB,-7.19993367814070e-001°)
1.02329299228075e+002	(-6.02077362532753e+000dB,-7.36763847929991e-001°)
1.04712854805090e+002	(-6.02077362505679e+000dB,-7.53924939835480e-001°)
1.07151930523760e+002	(-6.02077362477329e+000dB,-7.71485740412056e-001°)
1.09647819614318e+002	(-6.02077362447644e+000dB,-7.89455558317840e-001°)
1.12201845430196e+002	(-6.02077362416559e+000dB,-8.07843918912104e-001°)
1.14815362149688e+002	(-6.02077362384009e+000dB,-8.26660569293919e-001°)
1.17489755493953e+002	(-6.02077362349926e+000dB,-8.45915483457539e-001°)
1.20226443461741e+002	(-6.02077362314237e+000dB,-8.65618867567176e-001°)
1.23026877081238e+002	(-6.02077362276865e+000dB,-8.85781165353902e-001°)
1.25892541179416e+002	(-6.02077362237733e+000dB,-9.06413063637480e-001°)
1.28824955169313e+002	(-6.02077362196757e+000dB,-9.27525497975965e-001°)
1.31825673855640e+002	(-6.02077362153849e+000dB,-9.49129658445997e-001°)
1.34896288259165e+002	(-6.02077362108920e+000dB,-9.71236995556763e-001°)
1.38038426460288e+002	(-6.02077362061873e+000dB,-9.93859226300679e-001°)
1.41253754462275e+002	(-6.02077362012610e+000dB,-1.01700834034389e+000°)
1.44543977074592e+002	(-6.02077361961025e+000dB,-1.04069660635977e+000°)
1.47910838816820e+002	(-6.02077361907009e+000dB,-1.06493657850868e+000°)
1.51356124843620e+002	(-6.02077361850448e+000dB,-1.08974110306731e+000°)
1.54881661891248e+002	(-6.02077361791222e+000dB,-1.11512332521088e+000°)
1.58489319246111e+002	(-6.02077361729205e+000dB,-1.14109669595188e+000°)
1.62181009735892e+002	(-6.02077361664265e+000dB,-1.16767497923864e+000°)
1.65958690743755e+002	(-6.02077361596266e+000dB,-1.19487225921748e+000°)
1.69824365246174e+002	(-6.02077361525062e+000dB,-1.22270294766211e+000°)
1.73780082874937e+002	(-6.02077361450503e+000dB,-1.25118179157397e+000°)
1.77827941003892e+002	(-6.02077361372431e+000dB,-1.28032388095740e+000°)
1.81970085860998e+002	(-6.02077361290681e+000dB,-1.31014465677351e+000°)
1.86208713666286e+002	(-6.02077361205078e+000dB,-1.34065991907686e+000°)
1.90546071796324e+002	(-6.02077361115442e+000dB,-1.37188583533879e+000°)
1.94984459975804e+002	(-6.02077361021583e+000dB,-1.40383894896186e+000°)
1.99526231496887e+002	(-6.02077360923301e+000dB,-1.43653618798935e+000°)
2.04173794466952e+002	(-6.02077360820389e+000dB,-1.46999487401433e+000°)
2.08929613085403e+002	(-6.02077360712627e+000dB,-1.50423273129266e+000°)
2.13796208950222e+002	(-6.02077360599789e+000dB,-1.53926789606436e+000°)
2.18776162394954e+002	(-6.02077360481634e+000dB,-1.57511892608802e+000°)
2.23872113856833e+002	(-6.02077360357912e+000dB,-1.61180481039281e+000°)
2.29086765276776e+002	(-6.02077360228362e+000dB,-1.64934497925295e+000°)
2.34422881531991e+002	(-6.02077360092708e+000dB,-1.68775931438943e+000°)
2.39883291901948e+002	(-6.02077359950662e+000dB,-1.72706815940386e+000°)
2.45470891568502e+002	(-6.02077359801925e+000dB,-1.76729233044957e+000°)
2.51188643150957e+002	(-6.02077359646182e+000dB,-1.80845312714503e+000°)
2.57039578276885e+002	(-6.02077359483100e+000dB,-1.85057234373474e+000°)
2.63026799189537e+002	(-6.02077359312337e+000dB,-1.89367228050293e+000°)
2.69153480392690e+002	(-6.02077359133529e+000dB,-1.93777575544546e+000°)
2.75422870333816e+002	(-6.02077358946298e+000dB,-1.98290611620532e+000°)
2.81838293126444e+002	(-6.02077358750247e+000dB,-2.02908725227733e+000°)
2.88403150312659e+002	(-6.02077358544961e+000dB,-2.07634360748766e+000°)
2.95120922666637e+002	(-6.02077358330006e+000dB,-2.12470019275400e+000°)
3.01995172040200e+002	(-6.02077358104926e+000dB,-2.17418259913191e+000°)
3.09029543251358e+002	(-6.02077357869244e+000dB,-2.22481701115367e+000°)
3.16227766016837e+002	(-6.02077357622461e+000dB,-2.27663022046517e+000°)
3.23593656929627e+002	(-6.02077357364056e+000dB,-2.32964963976725e+000°)
3.31131121482590e+002	(-6.02077357093480e+000dB,-2.38390331706743e+000°)
3.38844156139201e+002	(-6.02077356810162e+000dB,-2.43941995024823e+000°)
3.46736850452530e+002	(-6.02077356513500e+000dB,-2.49622890195857e+000°)
3.54813389233574e+002	(-6.02077356202869e+000dB,-2.55436021483437e+000°)
3.63078054770100e+002	(-6.02077355877609e+000dB,-2.61384462705484e+000°)
3.71535229097171e+002	(-6.02077355537033e+000dB,-2.67471358824101e+000°)
3.80189396320559e+002	(-6.02077355180421e+000dB,-2.73699927570302e+000°)
3.89045144994279e+002	(-6.02077354807017e+000dB,-2.80073461104262e+000°)
3.98107170553495e+002	(-6.02077354416032e+000dB,-2.86595327711767e+000°)
4.07380277804111e+002	(-6.02077354006639e+000dB,-2.93268973537523e+000°)
4.16869383470333e+002	(-6.02077353577973e+000dB,-3.00097924356000e+000°)
4.26579518801591e+002	(-6.02077353129127e+000dB,-3.07085787380465e+000°)
4.36515832240164e+002	(-6.02077352659151e+000dB,-3.14236253110907e+000°)
4.46683592150961e+002	(-6.02077352167053e+000dB,-3.21553097221495e+000°)
