Freq.	V(vin)/I(V1)	V(vo4)
Step Information: Hola=1  (Run: 1/2)
1.00000000000000e+000	(7.68696750460979e+001dB,1.78640009778056e+002°)	(2.73519876563978e-003dB,1.12897396002741e+000°)
1.02329299228075e+000	(7.68695138124610e+001dB,1.78608348443671e+002°)	(2.87941246768876e-003dB,1.15525492098304e+000°)
1.04712854805090e+000	(7.68693449842834e+001dB,1.78575950830744e+002°)	(3.03041851729758e-003dB,1.18214688462023e+000°)
1.07151930523761e+000	(7.68691682040458e+001dB,1.78542799875524e+002°)	(3.18853661952695e-003dB,1.20966400015822e+000°)
1.09647819614318e+000	(7.68689830974268e+001dB,1.78508878122963e+002°)	(3.35410150747809e-003dB,1.23782074047709e+000°)
1.12201845430196e+000	(7.68687892724884e+001dB,1.78474167718047e+002°)	(3.52746364659354e-003dB,1.26663190923200e+000°)
1.14815362149688e+000	(7.68685863188803e+001dB,1.78438650396943e+002°)	(3.70898997194043e-003dB,1.29611264810796e+000°)
1.17489755493953e+000	(7.68683738069725e+001dB,1.78402307477984e+002°)	(3.89906465955760e-003dB,1.32627844420946e+000°)
1.20226443461741e+000	(7.68681512869180e+001dB,1.78365119852489e+002°)	(4.09808993473248e-003dB,1.35714513758301e+000°)
1.23026877081238e+000	(7.68679182877581e+001dB,1.78327067975375e+002°)	(4.30648691654372e-003dB,1.38872892888882e+000°)
1.25892541179417e+000	(7.68676743163769e+001dB,1.78288131855638e+002°)	(4.52469650239228e-003dB,1.42104638719904e+000°)
1.28824955169313e+000	(7.68674188565243e+001dB,1.78248291046605e+002°)	(4.75318029378812e-003dB,1.45411445794537e+000°)
1.31825673855641e+000	(7.68671513676828e+001dB,1.78207524636053e+002°)	(4.99242156464622e-003dB,1.48795047100042e+000°)
1.34896288259165e+000	(7.68668712839401e+001dB,1.78165811236127e+002°)	(5.24292627482408e-003dB,1.52257214889975e+000°)
1.38038426460288e+000	(7.68665780128349e+001dB,1.78123128973062e+002°)	(5.50522413080995e-003dB,1.55799761520802e+000°)
1.41253754462275e+000	(7.68662709340656e+001dB,1.78079455476764e+002°)	(5.77986969494769e-003dB,1.59424540301528e+000°)
1.44543977074593e+000	(7.68659493982415e+001dB,1.78034767870162e+002°)	(6.06744354707715e-003dB,1.63133446358247e+000°)
1.47910838816821e+000	(7.68656127254590e+001dB,1.77989042758433e+002°)	(6.36855349858636e-003dB,1.66928417511300e+000°)
1.51356124843621e+000	(7.68652602039481e+001dB,1.77942256217987e+002°)	(6.68383586380529e-003dB,1.70811435167114e+000°)
1.54881661891248e+000	(7.68648910885157e+001dB,1.77894383785331e+002°)	(7.01395678937979e-003dB,1.74784525222522e+000°)
1.58489319246111e+000	(7.68645045990497e+001dB,1.77845400445702e+002°)	(7.35961364526838e-003dB,1.78849758983292e+000°)
1.62181009735893e+000	(7.68640999188328e+001dB,1.77795280621573e+002°)	(7.72153647970853e-003dB,1.83009254094538e+000°)
1.65958690743756e+000	(7.68636761928694e+001dB,1.77743998160941e+002°)	(8.10048954136114e-003dB,1.87265175484879e+000°)
1.69824365246174e+000	(7.68632325260825e+001dB,1.77691526325479e+002°)	(8.49727287131047e-003dB,1.91619736322092e+000°)
1.73780082874937e+000	(7.68627679814720e+001dB,1.77637837778482e+002°)	(8.91272396802247e-003dB,1.96075198981647e+000°)
1.77827941003892e+000	(7.68622815781292e+001dB,1.77582904572690e+002°)	(9.34771952945040e-003dB,2.00633876025850e+000°)
1.81970085860998e+000	(7.68617722892112e+001dB,1.77526698137915e+002°)	(9.80317727366958e-003dB,2.05298131194516e+000°)
1.86208713666287e+000	(7.68612390398092e+001dB,1.77469189268528e+002°)	(1.02800578442680e-002dB,2.10070380406195e+000°)
1.90546071796325e+000	(7.68606807046944e+001dB,1.77410348110800e+002°)	(1.07793668014740e-002dB,2.14953092768685e+000°)
1.94984459975804e+000	(7.68600961060184e+001dB,1.77350144150072e+002°)	(1.13021567053936e-002dB,2.19948791599556e+000°)
1.99526231496888e+000	(7.68594840108059e+001dB,1.77288546197844e+002°)	(1.18495292929762e-002dB,2.25060055453371e+000°)
