Freq.	V(vo3)
1.00000000000000e+000	(-3.30485802752072e-003dB,1.78877037888030e+002°)
1.02329299228075e+000	(-3.44909200365488e-003dB,1.78850896964505e+002°)
1.04712854805090e+000	(-3.60011928151737e-003dB,1.78824148300439e+002°)
1.07151930523761e+000	(-3.75825961114683e-003dB,1.78796777822617e+002°)
1.09647819614318e+000	(-3.92384777257078e-003dB,1.78768771135932e+002°)
1.12201845430196e+000	(-4.09723428031869e-003dB,1.78740113516316e+002°)
1.14815362149688e+000	(-4.27878612089228e-003dB,1.78710789903528e+002°)
1.17489755493953e+000	(-4.46888752445123e-003dB,1.78680784893805e+002°)
1.20226443461741e+000	(-4.66794077248797e-003dB,1.78650082732383e+002°)
1.23026877081238e+000	(-4.87636704310541e-003dB,1.78618667305876e+002°)
1.25892541179417e+000	(-5.09460729557018e-003dB,1.78586522134519e+002°)
1.28824955169313e+000	(-5.32312319604029e-003dB,1.78553630364269e+002°)
1.31825673855641e+000	(-5.56239808611389e-003dB,1.78519974758776e+002°)
1.34896288259165e+000	(-5.81293799657102e-003dB,1.78485537691204e+002°)
1.38038426460288e+000	(-6.07527270804055e-003dB,1.78450301135923e+002°)
1.41253754462275e+000	(-6.34995686061360e-003dB,1.78414246660058e+002°)
1.44543977074593e+000	(-6.63757111523975e-003dB,1.78377355414904e+002°)
1.47910838816821e+000	(-6.93872336854972e-003dB,1.78339608127202e+002°)
1.51356124843621e+000	(-7.25405002378288e-003dB,1.78300985090284e+002°)
1.54881661891248e+000	(-7.58421732085611e-003dB,1.78261466155078e+002°)
1.58489319246111e+000	(-7.92992272722560e-003dB,1.78221030720992e+002°)
1.62181009735893e+000	(-8.29189639320312e-003dB,1.78179657726659e+002°)
1.65958690743756e+000	(-8.67090267428139e-003dB,1.78137325640566e+002°)
1.69824365246174e+000	(-9.06774172332749e-003dB,1.78094012451553e+002°)
1.73780082874937e+000	(-9.48325115590010e-003dB,1.78049695659198e+002°)
1.77827941003892e+000	(-9.91830779219459e-003dB,1.78004352264089e+002°)
1.81970085860998e+000	(-1.03738294785194e-002dB,1.77957958757981e+002°)
1.86208713666287e+000	(-1.08507769924387e-002dB,1.77910491113861e+002°)
1.90546071796325e+000	(-1.13501560345847e-002dB,1.77861924775904e+002°)
1.94984459975804e+000	(-1.18730193116510e-002dB,1.77812234649350e+002°)
1.99526231496888e+000	(-1.24204687141862e-002dB,1.77761395090294e+002°)
2.04173794466953e+000	(-1.29936575933465e-002dB,1.77709379895409e+002°)
2.08929613085404e+000	(-1.35937931411270e-002dB,1.77656162291597e+002°)
2.13796208950223e+000	(-1.42221388783744e-002dB,1.77601714925601e+002°)
2.18776162394955e+000	(-1.48800172553751e-002dB,1.77546009853567e+002°)
2.23872113856834e+000	(-1.55688123697957e-002dB,1.77489018530589e+002°)
2.29086765276777e+000	(-1.62899728070274e-002dB,1.77430711800234e+002°)
2.34422881531992e+000	(-1.70450146083667e-002dB,1.77371059884076e+002°)
2.39883291901949e+000	(-1.78355243720652e-002dB,1.77310032371252e+002°)
2.45470891568503e+000	(-1.86631624931114e-002dB,1.77247598208053e+002°)
2.51188643150958e+000	(-1.95296665477076e-002dB,1.77183725687584e+002°)
2.57039578276886e+000	(-2.04368548281936e-002dB,1.77118382439502e+002°)
2.63026799189538e+000	(-2.13866300348954e-002dB,1.77051535419861e+002°)
2.69153480392691e+000	(-2.23809831311990e-002dB,1.76983150901095e+002°)
2.75422870333816e+000	(-2.34219973686577e-002dB,1.76913194462162e+002°)
2.81838293126445e+000	(-2.45118524890516e-002dB,1.76841630978878e+002°)
2.88403150312660e+000	(-2.56528291102813e-002dB,1.76768424614485e+002°)
2.95120922666638e+000	(-2.68473133039155e-002dB,1.76693538810477e+002°)
3.01995172040201e+000	(-2.80978013715517e-002dB,1.76616936277731e+002°)
3.09029543251359e+000	(-2.94069048277886e-002dB,1.76538578987982e+002°)
3.16227766016837e+000	(-3.07773555982846e-002dB,1.76458428165685e+002°)
3.23593656929628e+000	(-3.22120114406469e-002dB,1.76376444280323e+002°)
3.31131121482591e+000	(-3.37138615967804e-002dB,1.76292587039197e+002°)
3.38844156139202e+000	(-3.52860326854585e-002dB,1.76206815380776e+002°)
3.46736850452531e+000	(-3.69317948438329e-002dB,1.76119087468641e+002°)
3.54813389233575e+000	(-3.86545681270903e-002dB,1.76029360686120e+002°)
3.63078054770101e+000	(-4.04579291752701e-002dB,1.75937591631653e+002°)
3.71535229097172e+000	(-4.23456181569428e-002dB,1.75843736114985e+002°)
3.80189396320560e+000	(-4.43215459991838e-002dB,1.75747749154256e+002°)
3.89045144994280e+000	(-4.63898019131680e-002dB,1.75649584974077e+002°)
3.98107170553496e+000	(-4.85546612262737e-002dB,1.75549197004686e+002°)
4.07380277804112e+000	(-5.08205935290573e-002dB,1.75446537882278e+002°)
4.16869383470335e+000	(-5.31922711484824e-002dB,1.75341559450619e+002°)
4.26579518801592e+000	(-5.56745779565784e-002dB,1.75234212764056e+002°)
4.36515832240165e+000	(-5.82726185247256e-002dB,1.75124448092038e+002°)
4.46683592150962e+000	(-6.09917276336439e-002dB,1.75012214925284e+002°)
4.57088189614874e+000	(-6.38374801486451e-002dB,1.74897461983726e+002°)
4.67735141287197e+000	(-6.68157012703188e-002dB,1.74780137226377e+002°)
4.78630092322637e+000	(-6.99324771694599e-002dB,1.74660187863278e+002°)
4.89778819368445e+000	(-7.31941660163089e-002dB,1.74537560369689e+002°)
5.01187233627271e+000	(-7.66074094122185e-002dB,1.74412200502693e+002°)
5.12861383991364e+000	(-8.01791442328381e-002dB,1.74284053320406e+002°)
5.24807460249771e+000	(-8.39166148905100e-002dB,1.74153063203980e+002°)
5.37031796370252e+000	(-8.78273860231578e-002dB,1.74019173882617e+002°)
5.49540873857623e+000	(-9.19193556167910e-002dB,1.73882328461808e+002°)
5.62341325190348e+000	(-9.62007685669955e-002dB,1.73742469455029e+002°)
5.75439937337156e+000	(-1.00680230684661e-001dB,1.73599538819141e+002°)
5.88843655355588e+000	(-1.05366723149823e-001dB,1.73453477993761e+002°)
6.02559586074356e+000	(-1.10269617415960e-001dB,1.73304227944864e+002°)
6.16595001861481e+000	(-1.15398690566413e-001dB,1.73151729212913e+002°)
6.30957344480192e+000	(-1.20764141122185e-001dB,1.72995921965826e+002°)
6.45654229034654e+000	(-1.26376605299554e-001dB,1.72836746057086e+002°)
6.60693448007594e+000	(-1.32247173712903e-001dB,1.72674141089332e+002°)
6.76082975391980e+000	(-1.38387408517259e-001dB,1.72508046483796e+002°)
6.91830970918935e+000	(-1.44809360981452e-001dB,1.72338401555928e+002°)
7.07945784384136e+000	(-1.51525589480839e-001dB,1.72165145597619e+002°)
7.24435960074988e+000	(-1.58549177895634e-001dB,1.71988217966404e+002°)
7.41310241300916e+000	(-1.65893754397323e-001dB,1.71807558182065e+002°)
7.58577575029182e+000	(-1.73573510602183e-001dB,1.71623106031081e+002°)
7.76247116628690e+000	(-1.81603221067790e-001dB,1.71434801679354e+002°)
7.94328234724279e+000	(-1.89998263103056e-001dB,1.71242585793698e+002°)
8.12830516164097e+000	(-1.98774636858939e-001dB,1.71046399672557e+002°)
8.31763771102669e+000	(-2.07948985661545e-001dB,1.70846185386461e+002°)
8.51138038202374e+000	(-2.17538616544048e-001dB,1.70641885928720e+002°)
8.70963589956078e+000	(-2.27561520928507e-001dB,1.70433445376891e+002°)
8.91250938133743e+000	(-2.38036395402399e-001dB,1.70220809065549e+002°)
9.12010839355907e+000	(-2.48982662528055e-001dB,1.70003923770907e+002°)
9.33254300796988e+000	(-2.60420491616678e-001dB,1.69782737907845e+002°)
9.54992586021433e+000	(-2.72370819390935e-001dB,1.69557201739909e+002°)
9.77237220955808e+000	(-2.84855370452290e-001dB,1.69327267602846e+002°)
9.99999999999997e+000	(-2.97896677461315e-001dB,1.69092890142239e+002°)
1.02329299228075e+001	(-3.11518100930154e-001dB,1.68854026565823e+002°)
1.04712854805090e+001	(-3.25743848517469e-001dB,1.68610636911030e+002°)
1.07151930523760e+001	(-3.40598993706783e-001dB,1.68362684328321e+002°)
1.09647819614318e+001	(-3.56109493738445e-001dB,1.68110135380855e+002°)
1.12201845430196e+001	(-3.72302206656606e-001dB,1.67852960361016e+002°)
1.14815362149688e+001	(-3.89204907320182e-001dB,1.67591133624294e+002°)
1.17489755493953e+001	(-4.06846302217487e-001dB,1.67324633941016e+002°)
1.20226443461741e+001	(-4.25256042911970e-001dB,1.67053444866348e+002°)
1.23026877081238e+001	(-4.44464737935567e-001dB,1.66777555128997e+002°)
1.25892541179416e+001	(-4.64503962934517e-001dB,1.66496959038958e+002°)
1.28824955169313e+001	(-4.85406268861600e-001dB,1.66211656914630e+002°)
1.31825673855640e+001	(-5.07205187995756e-001dB,1.65921655529539e+002°)
1.34896288259165e+001	(-5.29935237560710e-001dB,1.65626968578867e+002°)
1.38038426460288e+001	(-5.53631920701112e-001dB,1.65327617165895e+002°)
1.41253754462275e+001	(-5.78331724565360e-001dB,1.65023630308394e+002°)
1.44543977074592e+001	(-6.04072115233088e-001dB,1.64715045464921e+002°)
1.47910838816820e+001	(-6.30891529215582e-001dB,1.64401909080854e+002°)
1.51356124843620e+001	(-6.58829361248524e-001dB,1.64084277153938e+002°)
1.54881661891248e+001	(-6.87925948088133e-001dB,1.63762215818976e+002°)
1.58489319246111e+001	(-7.18222548013582e-001dB,1.63435801951193e+002°)
1.62181009735892e+001	(-7.49761315733638e-001dB,1.63105123787691e+002°)
1.65958690743755e+001	(-7.82585272388393e-001dB,1.62770281566280e+002°)
1.69824365246174e+001	(-8.16738270334573e-001dB,1.62431388180843e+002°)
1.73780082874937e+001	(-8.52264952398580e-001dB,1.62088569852274e+002°)
1.77827941003892e+001	(-8.89210705281537e-001dB,1.61741966813876e+002°)
1.81970085860998e+001	(-9.27621606798319e-001dB,1.61391734010006e+002°)
1.86208713666286e+001	(-9.67544366635637e-001dB,1.61038041806603e+002°)
1.90546071796324e+001	(-1.00902626031491e+000dB,1.60681076712110e+002°)
1.94984459975804e+001	(-1.05211505604952e+000dB,1.60321042107204e+002°)
1.99526231496887e+001	(-1.09685893418967e+000dB,1.59958158981619e+002°)
