Freq.	V(n003)
Step Information: Hola=10m  (Run: 1/5)
1.00000000000000e+001	(5.22461792680750e-004dB,-1.79412352780901e+002°)
1.02329299228075e+001	(5.50857038128768e-004dB,-1.79398666093486e+002°)
1.04712854805090e+001	(5.80590338016261e-004dB,-1.79384660700476e+002°)
1.07151930523761e+001	(6.11724736289962e-004dB,-1.79370329185292e+002°)
1.09647819614319e+001	(6.44326246463477e-004dB,-1.79355663959106e+002°)
1.12201845430196e+001	(6.78463991389142e-004dB,-1.79340657256860e+002°)
1.14815362149688e+001	(7.14210349726732e-004dB,-1.79325301133204e+002°)
1.17489755493953e+001	(7.51641109028386e-004dB,-1.79309587458333e+002°)
1.20226443461741e+001	(7.90835626361714e-004dB,-1.79293507913738e+002°)
1.23026877081238e+001	(8.31876996187643e-004dB,-1.79277053987856e+002°)
1.25892541179417e+001	(8.74852226335543e-004dB,-1.79260216971625e+002°)
1.28824955169313e+001	(9.19852422129269e-004dB,-1.79242987953940e+002°)
1.31825673855641e+001	(9.66972979195779e-004dB,-1.79225357817005e+002°)
1.34896288259165e+001	(1.01631378537007e-003dB,-1.79207317231563e+002°)
1.38038426460288e+001	(1.06797943199237e-003dB,-1.79188856652072e+002°)
1.41253754462275e+001	(1.12207943526908e-003dB,-1.79169966311711e+002°)
1.44543977074593e+001	(1.17872846788683e-003dB,-1.79150636217314e+002°)
1.47910838816821e+001	(1.23804660159671e-003dB,-1.79130856144174e+002°)
1.51356124843621e+001	(1.30015956110953e-003dB,-1.79110615630744e+002°)
1.54881661891248e+001	(1.36519899005710e-003dB,-1.79089903973211e+002°)
1.58489319246111e+001	(1.43330272914345e-003dB,-1.79068710219953e+002°)
1.62181009735893e+001	(1.50461510773549e-003dB,-1.79047023165879e+002°)
1.65958690743756e+001	(1.57928724878465e-003dB,-1.79024831346637e+002°)
1.69824365246174e+001	(1.65747738821412e-003dB,-1.79002123032711e+002°)
1.73780082874937e+001	(1.73935120935016e-003dB,-1.78978886223343e+002°)
1.77827941003892e+001	(1.82508219279999e-003dB,-1.78955108640406e+002°)
1.81970085860998e+001	(1.91485198288540e-003dB,-1.78930777722068e+002°)
1.86208713666287e+001	(2.00885077131245e-003dB,-1.78905880616347e+002°)
1.90546071796325e+001	(2.10727769861945e-003dB,-1.78880404174538e+002°)
1.94984459975804e+001	(2.21034127452333e-003dB,-1.78854334944484e+002°)
1.99526231496888e+001	(2.31825981795682e-003dB,-1.78827659163716e+002°)
2.04173794466953e+001	(2.43126191774438e-003dB,-1.78800362752413e+002°)
2.08929613085404e+001	(2.54958691458139e-003dB,-1.78772431306285e+002°)
2.13796208950223e+001	(2.67348540586500e-003dB,-1.78743850089234e+002°)
2.18776162394955e+001	(2.80321977389722e-003dB,-1.78714604025897e+002°)
2.23872113856834e+001	(2.93906473881420e-003dB,-1.78684677694047e+002°)
2.29086765276777e+001	(3.08130793771674e-003dB,-1.78654055316742e+002°)
2.34422881531992e+001	(3.23025052992284e-003dB,-1.78622720754502e+002°)
2.39883291901949e+001	(3.38620783143629e-003dB,-1.78590657497140e+002°)
2.45470891568503e+001	(3.54950997846210e-003dB,-1.78557848655518e+002°)
2.51188643150958e+001	(3.72050262199278e-003dB,-1.78524276953132e+002°)
2.57039578276886e+001	(3.89954765493485e-003dB,-1.78489924717479e+002°)
2.63026799189538e+001	(4.08702397260911e-003dB,-1.78454773871354e+002°)
2.69153480392691e+001	(4.28332826917972e-003dB,-1.78418805923873e+002°)
2.75422870333816e+001	(4.48887587082983e-003dB,-1.78382001961377e+002°)
2.81838293126445e+001	(4.70410160775193e-003dB,-1.78344342638151e+002°)
2.88403150312660e+001	(4.92946072663420e-003dB,-1.78305808166963e+002°)
2.95120922666638e+001	(5.16542984543828e-003dB,-1.78266378309443e+002°)
3.01995172040201e+001	(5.41250795277419e-003dB,-1.78226032366218e+002°)
3.09029543251359e+001	(5.67121745286284e-003dB,-1.78184749167020e+002°)
3.16227766016838e+001	(5.94210526021102e-003dB,-1.78142507060362e+002°)
3.23593656929628e+001	(6.22574394316217e-003dB,-1.78099283903344e+002°)
3.31131121482591e+001	(6.52273292193640e-003dB,-1.78055057051025e+002°)
3.38844156139202e+001	(6.83369972115279e-003dB,-1.78009803345730e+002°)
3.46736850452531e+001	(7.15930128021076e-003dB,-1.77963499106183e+002°)
3.54813389233575e+001	(7.50022532501516e-003dB,-1.77916120116322e+002°)
3.63078054770101e+001	(7.85719180094406e-003dB,-1.77867641614213e+002°)
3.71535229097172e+001	(8.23095437366459e-003dB,-1.77818038280508e+002°)
3.80189396320561e+001	(8.62230199787318e-003dB,-1.77767284226887e+002°)
3.89045144994280e+001	(9.03206055859686e-003dB,-1.77715352984231e+002°)
3.98107170553497e+001	(9.46109458728871e-003dB,-1.77662217490706e+002°)
4.07380277804112e+001	(9.91030905624275e-003dB,-1.77607850079698e+002°)
4.16869383470335e+001	(1.03806512559898e-002dB,-1.77552222467454e+002°)
4.26579518801592e+001	(1.08731127580675e-002dB,-1.77495305740632e+002°)
4.36515832240165e+001	(1.13887314656940e-002dB,-1.77437070343863e+002°)
4.46683592150962e+001	(1.19285937606168e-002dB,-1.77377486066828e+002°)
4.57088189614874e+001	(1.24938367445794e-002dB,-1.77316522031546e+002°)
4.67735141287197e+001	(1.30856505846075e-002dB,-1.77254146679254e+002°)
4.78630092322638e+001	(1.37052809639145e-002dB,-1.77190327757262e+002°)
4.89778819368445e+001	(1.43540316412727e-002dB,-1.77125032305890e+002°)
5.01187233627271e+001	(1.50332671303876e-002dB,-1.77058226644839e+002°)
5.12861383991364e+001	(1.57444154941743e-002dB,-1.76989876360041e+002°)
5.24807460249772e+001	(1.64889712694336e-002dB,-1.76919946289923e+002°)
5.37031796370252e+001	(1.72684985189984e-002dB,-1.76848400511944e+002°)
5.49540873857624e+001	(1.80846340225876e-002dB,-1.76775202328859e+002°)
5.62341325190348e+001	(1.89390906071868e-002dB,-1.76700314255182e+002°)
5.75439937337156e+001	(1.98336606276229e-002dB,-1.76623698003431e+002°)
5.88843655355588e+001	(2.07702195999122e-002dB,-1.76545314470499e+002°)
6.02559586074357e+001	(2.17507299961785e-002dB,-1.76465123723954e+002°)
