Freq.	V(n003)
Step Information: Hola=10m  (Run: 1/5)
1.00000000000000e+000	(1.28899685181916e-002dB,-1.77542857473339e+002°)
1.02329299228075e+000	(1.35004291806516e-002dB,-1.77485758405075e+002°)
1.04712854805090e+000	(1.41395845660458e-002dB,-1.77427338971776e+002°)
1.07151930523761e+000	(1.48087797611613e-002dB,-1.77367569105345e+002°)
1.09647819614318e+000	(1.55094225504469e-002dB,-1.77306418085926e+002°)
1.12201845430196e+000	(1.62429863005018e-002dB,-1.77243854530513e+002°)
1.14815362149688e+000	(1.70110129792338e-002dB,-1.77179846381066e+002°)
1.17489755493953e+000	(1.78151163105150e-002dB,-1.77114360892593e+002°)
1.20226443461741e+000	(1.86569850636980e-002dB,-1.77047364621786e+002°)
1.23026877081238e+000	(1.95383865002969e-002dB,-1.76978823414757e+002°)
1.25892541179417e+000	(2.04611699632705e-002dB,-1.76908702395751e+002°)
1.28824955169313e+000	(2.14272706323851e-002dB,-1.76836965955318e+002°)
1.31825673855641e+000	(2.24387134424524e-002dB,-1.76763577738848e+002°)
1.34896288259165e+000	(2.34976171767858e-002dB,-1.76688500635017e+002°)
1.38038426460288e+000	(2.46061987373911e-002dB,-1.76611696764631e+002°)
1.41253754462275e+000	(2.57667776052346e-002dB,-1.76533127469384e+002°)
1.44543977074593e+000	(2.69817804876986e-002dB,-1.76452753301376e+002°)
1.47910838816821e+000	(2.82537461843765e-002dB,-1.76370534011701e+002°)
1.51356124843621e+000	(2.95853306400878e-002dB,-1.76286428540952e+002°)
1.54881661891248e+000	(3.09793122388663e-002dB,-1.76200395008460e+002°)
1.58489319246111e+000	(3.24385973062855e-002dB,-1.76112390703162e+002°)
1.62181009735893e+000	(3.39662258579101e-002dB,-1.76022372074144e+002°)
1.65958690743756e+000	(3.55653775874765e-002dB,-1.75930294721951e+002°)
1.69824365246174e+000	(3.72393781077467e-002dB,-1.75836113390441e+002°)
1.73780082874937e+000	(3.89917054579486e-002dB,-1.75739781958967e+002°)
1.77827941003892e+000	(4.08259968737389e-002dB,-1.75641253435768e+002°)
1.81970085860998e+000	(4.27460558450024e-002dB,-1.75540479951670e+002°)
1.86208713666287e+000	(4.47558594701199e-002dB,-1.75437412754303e+002°)
1.90546071796325e+000	(4.68595660902860e-002dB,-1.75332002204354e+002°)
1.94984459975804e+000	(4.90615232577649e-002dB,-1.75224197771493e+002°)
1.99526231496888e+000	(5.13662760151317e-002dB,-1.75113948031924e+002°)
2.04173794466953e+000	(5.37785754913143e-002dB,-1.75001200667818e+002°)
2.08929613085404e+000	(5.63033878724885e-002dB,-1.74885902466274e+002°)
2.13796208950223e+000	(5.89459036887615e-002dB,-1.74767999321489e+002°)
2.18776162394955e+000	(6.17115474711572e-002dB,-1.74647436237915e+002°)
2.23872113856834e+000	(6.46059878046644e-002dB,-1.74524157333907e+002°)
2.29086765276777e+000	(6.76351477306711e-002dB,-1.74398105848661e+002°)
2.34422881531992e+000	(7.08052155413805e-002dB,-1.74269224150957e+002°)
2.39883291901949e+000	(7.41226560144909e-002dB,-1.74137453748217e+002°)
2.45470891568503e+000	(7.75942219888158e-002dB,-1.74002735300802e+002°)
2.51188643150958e+000	(8.12269664346771e-002dB,-1.73865008635396e+002°)
2.57039578276886e+000	(8.50282548838455e-002dB,-1.73724212763838e+002°)
2.63026799189538e+000	(8.90057783404206e-002dB,-1.73580285902770e+002°)
2.69153480392691e+000	(9.31675665977620e-002dB,-1.73433165497688e+002°)
2.75422870333816e+000	(9.75220020280515e-002dB,-1.73282788249183e+002°)
2.81838293126445e+000	(1.02077833827014e-001dB,-1.73129090142572e+002°)
2.88403150312660e+000	(1.06844192661957e-001dB,-1.72972006483126e+002°)
2.95120922666638e+000	(1.11830605869790e-001dB,-1.72811471931948e+002°)
3.01995172040201e+000	(1.17047013029663e-001dB,-1.72647420549185e+002°)
3.09029543251359e+000	(1.22503782041975e-001dB,-1.72479785840079e+002°)
3.16227766016837e+000	(1.28211725676283e-001dB,-1.72308500805543e+002°)
3.23593656929628e+000	(1.34182118529203e-001dB,-1.72133497999350e+002°)
3.31131121482591e+000	(1.40426714482265e-001dB,-1.71954709589104e+002°)
