Freq.	V(n003)
Step Information: Hola=10m  (Run: 1/5)
1.00000000000000e+000	(3.38191928565920e-004dB,-1.79510035905479e+002°)
1.02329299228075e+000	(3.57903727296622e-004dB,-1.79498623971138e+002°)
1.04712854805090e+000	(3.78544431396104e-004dB,-1.79486946275590e+002°)
1.07151930523761e+000	(4.00157810815747e-004dB,-1.79474996632529e+002°)
1.09647819614318e+000	(4.22789697544893e-004dB,-1.79462768711844e+002°)
1.12201845430196e+000	(4.46488082714448e-004dB,-1.79450256036286e+002°)
1.14815362149688e+000	(4.71303218296113e-004dB,-1.79437451978068e+002°)
1.17489755493953e+000	(4.97287723523758e-004dB,-1.79424349755378e+002°)
1.20226443461741e+000	(5.24496696387081e-004dB,-1.79410942428820e+002°)
1.23026877081238e+000	(5.52987830337423e-004dB,-1.79397222897769e+002°)
1.25892541179417e+000	(5.82821536509429e-004dB,-1.79383183896644e+002°)
1.28824955169313e+000	(6.14061071636796e-004dB,-1.79368817991102e+002°)
1.31825673855641e+000	(6.46772672025380e-004dB,-1.79354117574133e+002°)
1.34896288259165e+000	(6.81025693850392e-004dB,-1.79339074862083e+002°)
1.38038426460288e+000	(7.16892760005703e-004dB,-1.79323681890570e+002°)
1.41253754462275e+000	(7.54449913852725e-004dB,-1.79307930510321e+002°)
1.44543977074593e+000	(7.93776780247002e-004dB,-1.79291812382908e+002°)
1.47910838816821e+000	(8.34956734068155e-004dB,-1.79275318976390e+002°)
1.51356124843621e+000	(8.78077076748603e-004dB,-1.79258441560856e+002°)
1.54881661891248e+000	(9.23229221010877e-004dB,-1.79241171203870e+002°)
1.58489319246111e+000	(9.70508884368295e-004dB,-1.79223498765813e+002°)
1.62181009735893e+000	(1.02001629168513e-003dB,-1.79205414895105e+002°)
1.65958690743756e+000	(1.07185638718082e-003dB,-1.79186910023362e+002°)
1.69824365246174e+000	(1.12613905651320e-003dB,-1.79167974360398e+002°)
1.73780082874937e+000	(1.18297935923202e-003dB,-1.79148597889143e+002°)
1.77827941003892e+000	(1.24249777210614e-003dB,-1.79128770360437e+002°)
1.81970085860998e+000	(1.30482044397334e-003dB,-1.79108481287718e+002°)
1.86208713666287e+000	(1.37007946241677e-003dB,-1.79087719941581e+002°)
1.90546071796325e+000	(1.43841313310336e-003dB,-1.79066475344228e+002°)
1.94984459975804e+000	(1.50996627211188e-003dB,-1.79044736263787e+002°)
