Frecuencia,Modulo,Fase,Modulo (dB)
1,1.02E+04,0,8.02E+01
10,1.03E+04,1.1,8.03E+01
50,9.80E+03,-4.7,7.98E+01
100,1.05E+04,-11.9,8.04E+01
150,8.70E+03,-20,7.88E+01
200,9.20E+03,-17.6,7.93E+01
250,8.70E+03,-18.9,7.88E+01
300,8.10E+03,-19.4,7.82E+01
350,7.80E+03,-19.4,7.78E+01
400,7.30E+03,-19.4,7.73E+01
500,6.90E+03,-18.5,7.68E+01
600,6.50E+03,-17.5,7.63E+01
700,6.30E+03,-16.2,7.60E+01
800,6.20E+03,-15,7.58E+01
900,6.08E+03,-14.4,7.57E+01
1.00E+03,5.90E+03,-13.5,7.54E+01
1.20E+03,5.80E+03,-12.4,7.53E+01
1.50E+03,5.70E+03,-10,7.51E+01
1.70E+03,5.70E+03,-10.1,7.51E+01
2.00E+03,5.60E+03,-9.8,7.50E+01
2.30E+03,5.60E+03,-9.3,7.50E+01
2.50E+03,5.60E+03,-9.3,7.50E+01
3.00E+03,5.60E+03,-9.1,7.50E+01
4.00E+03,5.50E+03,-9.1,7.48E+01
5.00E+03,5.50E+03,-10,7.48E+01
7.00E+03,5.40E+03,-12.3,7.46E+01
8.00E+03,5.40E+03,-13,7.46E+01
1.00E+04,5.30E+03,-15,7.45E+01
1.30E+04,5.10E+03,-19,7.42E+01
1.40E+04,5.10E+03,-20,7.42E+01
1.50E+04,5.00E+03,-21,7.40E+01
1.60E+04,4.90E+03,-22,7.38E+01
1.80E+04,4.80E+03,-24,7.36E+01
1.90E+04,4.81E+03,-25,7.36E+01
2.00E+04,4.75E+03,-26.39,7.35E+01
2.50E+04,4.40E+03,-30,7.29E+01
3.00E+04,4.10E+03,-34,7.23E+01
5.00E+04,3.10E+03,-44,6.98E+01
1.00E+05,1.90E+03,-48,6.56E+01
