Frequency, Vpp 1, Vpp 2, Phase, Ratio, Slope,
10.47370898,1.068,1.008,10.76190476,-0.502214412,,
10.96985798,1.07,1.0058,9.714285714,-0.537442928,-0.071003905,
11.48951,1.07,1.011666667,8.5,-0.48692674,0.097211568,
12.03377841,1.07,1.013,7.95,-0.475486646,0.021019213,
12.6038293,1.063333333,1.010166667,5.275862069,-0.445527894,0.052554523,
13.20088401,1.063166667,1.0065,4.785714286,-0.475751451,-0.050621084,
13.82622174,1.07,1.006166667,3.88,-0.534277044,-0.093590376,
14.48118228,1.0655,0.998,2.851851852,-0.568458255,-0.052188199,
15.16716888,1.066333333,0.993833333,2.142857143,-0.611588528,-0.062873345,
15.88565129,1.0625,0.9804,1.238095238,-0.698512723,-0.120983052,
16.63816886,1.07,0.9698,0.153846154,-0.854031958,-0.206665256,
17.42633386,1.062,0.966,-0.291666667,-0.822947807,0.039438635,
18.25183494,1.063333333,0.9675,-1.185185185,-0.820369093,0.003123816,
19.11644075,1.066666667,0.955,-2.076923077,-0.96050704,-0.162083051,
20.02200372,1.118,0.952,-2.952380952,-1.396097103,-0.481015766,
20.97046401,1.066666667,0.939,-3.956521739,-1.107262627,0.304529856,
21.96385372,1.064,0.921166667,-4,-1.252068275,-0.145769225,
23.0043012,1.063666667,0.905,-4.814814815,-1.403139405,-0.145198229,
24.0940356,1.063333333,0.9024,-5.210526316,-1.425406834,-0.020433813,
25.2353917,1.061666667,0.886,-5.684210526,-1.571089201,-0.127639715,
26.43081487,1.07,0.877,-7.433333333,-1.727683686,-0.130995023,
27.6828663,1.195,0.871,-7.833333333,-2.746995006,-0.814112976,
28.99422854,1.066666667,0.85,-8.64,-1.972195958,0.590835261,
30.36771118,1.0655,0.8426,-9,-2.038639985,-0.048376314,
31.80625693,1.07,0.8275,-9.16,-2.232315505,-0.134632854,
33.31294788,1.07,0.816833333,-9.333333333,-2.345006511,-0.07479371,
34.89101213,1.07,0.7965,-10.03703704,-2.563959951,-0.138748114,
36.54383071,1.069,0.775,-10.13043478,-2.793520054,-0.138890079,
38.27494479,1.067166667,0.759833333,-10.44444444,-2.950278192,-0.090553327,
40.08806329,1.063166667,0.751,-9.846153846,-3.019228295,-0.038028459,
41.98707084,1.07,0.736,-9.115384615,-3.250119267,-0.121585073,
43.97603609,1.066666667,0.722,-9.137931034,-3.389830521,-0.070243185,
46.05922041,1.07,0.706333333,-8.4,-3.607481514,-0.10447995,
48.24108704,1.073333333,0.693,-8.4,-3.800027647,-0.088248352,
50.52631065,1.071333333,0.668,-6,-4.102963105,-0.13256272,
52.91978736,1.073333333,0.6534,-5.666666667,-4.311109737,-0.086964135,
55.42664521,1.067833333,0.639666667,-4.04,-4.450995072,-0.055801064,
58.05225516,1.075,0.627,-3,-4.682818468,-0.088293159,
60.80224262,1.075,0.614333333,-1.818181818,-4.860087675,-0.064461824,
63.68249945,1.086666667,0.604,-0.217391304,-5.101188135,-0.083707972,
66.69919663,1.073333333,0.591,1.962962963,-5.182942722,-0.027100694,
69.85879747,1.075,0.586,3.291666667,-5.270216965,-0.02762192,
73.16807143,1.069,0.576333333,5.290322581,-5.366079333,-0.028967795,
76.63410868,1.074,0.5734,8.857142857,-5.450931855,-0.024481134,
80.26433522,1.0655,0.563,11.09090909,-5.540901184,-0.024783392,
84.06652886,1.0688,0.5645,13.5,-5.544649977,-0.000985955,
88.04883582,1.073333333,0.563,16.25,-5.604524442,-0.015035121,
92.21978823,1.0655,0.568,19,-5.464102367,0.033666669,
96.58832241,1.069,0.5726,24,-5.42252723,0.009516953,
101.163798,1.07,0.582,24,-5.289215861,0.029136069,
105.9560179,1.068333333,0.591,28.5,-5.142385965,0.030639223,
110.9752496,1.07,0.6,30,-5.024650546,0.023456861,
116.2322469,1.062,0.612,34,-4.787461892,0.045118657,
121.7382728,1.069666667,0.631666667,36,-4.575210056,0.038549008,
127.5051241,1.066666667,0.654,38.6,-4.249019506,0.056563024,
133.5451563,1.066666667,0.684,40,-3.859452438,0.064497515,
139.8713103,1.068333333,0.708,42,-3.573470429,0.045206299,
146.4971398,1.06375,0.736833333,44,-3.189406171,0.057964705,
153.4368409,1.07,0.7645,46,-2.920125759,0.038802884,
160.7052818,1.07,0.795,46,-2.580332981,0.04674906,
168.3180353,1.071666667,0.827,47.25,-2.25108426,0.043249623,
176.2914118,1.07,0.861,49.5,-1.887612525,0.045585673,
184.6424943,1.065,0.9,50.4,-1.462141967,0.050947953,
193.389175,1.07,0.941,50,-1.115883085,0.039587461,
202.5501939,1.07,0.995,51.2,-0.631213939,0.052905594,
212.1451785,1.07,1.034,51.5,-0.297264779,0.034804554,
222.1946861,1.067833333,1.081666667,51.6,0.111799456,0.040704903,
232.7202479,1.060166667,1.13,52,0.554085966,0.042020228,
243.744415,1.063166667,1.185,52,0.942339972,0.035218443,
255.2908068,1.063666667,1.245,52,1.367276039,0.036802499,
267.3841616,1.063333333,1.3,51.75,1.745478479,0.031273575,
280.0503894,1.061666667,1.375,51.5,2.246290324,0.039539147,
293.3166278,1.0655,1.436666667,50.5,2.596051228,0.026364738,
307.2112999,1.061666667,1.503333333,49.625,3.021342104,0.030608198,
321.764175,1.12,1.58,48.75,2.988781286,-0.002237415,
337.0064329,1.063166667,1.65,47.33333333,3.817651849,0.054379776,
352.9707303,1.057,1.706666667,45,4.161474379,0.021536966,
369.6912707,1.0655,1.776666667,44.2,4.441050005,0.01672049,
387.2038782,1.067166667,1.85,42.5,4.778789539,0.019285508,
405.5460736,1.066666667,1.908333333,41,5.052510254,0.014923007,
424.7571553,1.062,1.97,39,5.366834188,0.016361595,
444.8782831,1.064833333,2.028333333,37.5,5.597153802,0.011446655,
465.9525669,1.064333333,2.088,34.25,5.85305661,0.012142895,
488.0251584,1.0625,2.13,32,6.041013294,0.008515388,
511.1433483,1.063166667,2.18,30,6.237102837,0.008482046,
535.3566677,1.0625,2.203333333,27.2,6.335025321,0.004044158,
560.7169938,1.07,2.241666667,27.5,6.423745125,0.00349837,
587.2786613,1.06,2.24,25.66666667,6.498843061,0.002827305,
615.0985789,1.063333333,2.258333333,23.33333333,6.54237233,0.00156468,
644.2363509,1.059666667,2.251666667,21.16666667,6.546696509,0.000148405,
674.7544053,1.0585,2.243333333,20,6.524058943,-0.000741776,
706.7181274,1.06,2.22,16.85714286,6.420942184,-0.003226056,
740.1959997,1.062,2.2,15.66666667,6.325963282,-0.002837065,
775.2597489,1.057,2.188333333,14,6.320769768,-0.000148116,
811.9844993,1.066666667,2.171666667,13.25,6.175288835,-0.003961387,
850.4489342,1.066,2.135,13.6,6.032813493,-0.00370408,
