Frequency, Vpp 1, Vpp 2, Phase, Ratio, Slope
10.47370898,1.118333333,1.08,18,-0.302950286,
10.96985798,1.116666667,1.066666667,17.16666667,-0.397896574,-0.191366482
11.48951,1.121666667,1.08,16,-0.328801167,0.132964761
12.03377841,1.116666667,1.088333333,16,-0.223232429,0.19396448
12.6038293,1.118333333,1.088333333,15.2,-0.236186778,-0.0227249
13.20088401,1.121666667,1.091666667,14,-0.235475285,0.001191672
13.82622174,1.121666667,1.093333333,14.33333333,-0.222224497,0.02118981
14.48118228,1.115,1.09,13,-0.196967389,0.038562794
15.16716888,1.111666667,1.09,12.6,-0.170961712,0.03790989
15.88565129,1.108333333,1.09,12.8,-0.14487794,0.036303982
16.63816886,1.118333333,1.1,11.66666667,-0.143571693,0.001735836
17.42633386,1.12,1.1,11.4,-0.15650675,-0.016411611
18.25183494,1.121666667,1.104,11,-0.137894809,0.022546235
19.11644075,1.126,1.098333333,10,-0.216084526,-0.090433948
20.02200372,1.125,1.11,9.818181818,-0.116590873,0.109869393
20.97046401,1.11,1.091666667,10,-0.144658584,-0.029592921
21.96385372,1.12,1.1,9,-0.15650675,-0.011927008
23.0043012,1.118333333,1.1025,9,-0.123853433,0.031383917
24.0940356,1.125,1.1,8.346153846,-0.195196746,-0.065468533
25.2353917,1.12,1.101666667,8.117647059,-0.143356271,0.04542007
26.43081487,1.1175,1.101666667,7.8,-0.123946454,0.016236775
27.6828663,1.12,1.103333333,8.055555556,-0.130225672,-0.005015144
28.99422854,1.11,1.1,5.611111111,-0.078605873,0.039363494
30.36771118,1.115,1.1,5.607142857,-0.117643645,-0.028422472
31.80625693,1.12,1.103333333,5.8,-0.130225672,-0.008746352
33.31294788,1.118333333,1.103333333,5.5,-0.117290615,0.008585077
34.89101213,1.118333333,1.101666667,5.791666667,-0.130421214,-0.0083207
36.54383071,1.11,1.1,4.6,-0.078605873,0.031349685
38.27494479,1.118333333,1.098333333,4.222222222,-0.156742111,-0.045136389
40.08806329,1.113333333,1.093333333,4.272727273,-0.157452462,-0.000391784
41.98707084,1.111666667,1.101666667,4.2,-0.078487489,0.041582232
43.97603609,1.12,1.115,3.821428571,-0.038863106,0.019922109
46.05922041,1.116666667,1.111666667,3.928571429,-0.038979376,-5.58E-05
48.24108704,1.116666667,1.11,3.333333333,-0.052011471,-0.005972911
50.52631065,1.115,1.113333333,3.107142857,-0.012993106,0.0170742
52.91978736,1.116666667,1.108333333,3.08,-0.065063148,-0.021754982
55.42664521,1.111666667,1.11,3.266666667,-0.013032095,0.020755486
