Bode taken on 19092019-204954
0 points could not be taken due to noise in the signal.
Obtained data is as follows:
['Frequency', 'Vpp 1', 'Vpp 2', 'Phase', 'Ratio', 'Slope']
[10.473708979594498, 1.1183333333333334, 1.08, 18.0, -0.3029502859679749]
[10.969857978923836, 1.116666666666667, 1.0666666666666667, 17.166666666666668, -0.39789657433878745, -0.1913664816399003]
[11.489510001873091, 1.1216666666666668, 1.08, 16.0, -0.32880116706767104, 0.13296476145511632]
[12.033778407775893, 1.116666666666667, 1.0883333333333334, 16.0, -0.2232324285150521, 0.19396448040651462]
[12.603829296797274, 1.1183333333333334, 1.0883333333333332, 15.2, -0.2361867778783654, -0.022724899851576965]
[13.200884008314182, 1.1216666666666668, 1.0916666666666668, 14.0, -0.23547528464387574, 0.001191671752630511]
[13.826221737646557, 1.1216666666666668, 1.0933333333333335, 14.333333333333334, -0.22222449696633162, 0.021189810011449248]
[14.481182276745338, 1.1150000000000002, 1.09, 13.0, -0.19696738887111742, 0.0385627936149676]
[15.167168884709225, 1.1116666666666668, 1.09, 12.6, -0.17096171184563408, 0.037909890256709475]
[15.885651294280526, 1.1083333333333334, 1.09, 12.8, -0.1448779395767465, 0.036303981727890955]
[16.63816886076129, 1.1183333333333334, 1.0999999999999999, 11.666666666666666, -0.14357169254246915, 0.0017358359358787571]
[17.4263338600965, 1.12, 1.0999999999999999, 11.4, -0.1565067502391328, -0.01641161141077559]
[18.251834943190435, 1.1216666666666668, 1.104, 11.0, -0.13789480894306283, 0.02254623485933338]
[19.116440753857017, 1.126, 1.0983333333333334, 10.0, -0.21608452609922219, -0.09043394827045832]
[20.022003718155844, 1.125, 1.11, 9.818181818181818, -0.11659087321447589, 0.10986939263995157]
[20.970464013232327, 1.11, 1.0916666666666666, 10.0, -0.14465858357036115, -0.029592920759663327]
[21.963853724165457, 1.12, 1.1, 9.0, -0.15650675023913183, -0.011927007636953703]
[23.00430119772918, 1.1183333333333334, 1.1025, 9.0, -0.12385343290944598, 0.031383917169640715]
[24.094035602395245, 1.125, 1.1, 8.346153846153847, -0.19519674578312426, -0.06546853303722257]
[25.23539170434766, 1.12, 1.1016666666666666, 8.117647058823529, -0.1433562713637016, 0.045420070327519914]
[26.430814869741056, 1.1175000000000002, 1.1016666666666668, 7.8, -0.1239464540395502, 0.016236775299367665]
[27.682866303920665, 1.12, 1.1033333333333333, 8.055555555555555, -0.1302256722825077, -0.005015144004105456]
[28.994228538828768, 1.11, 1.0999999999999999, 5.611111111111111, -0.07860587256864998, 0.03936349418928868]
[30.367711180354576, 1.1150000000000002, 1.0999999999999999, 5.607142857142857, -0.11764364451909105, -0.02842247202125092]
[31.80625692794119, 1.12, 1.1033333333333335, 5.8, -0.13022567228250573, -0.008746352199450715]
[33.31294787934674, 1.1183333333333334, 1.1033333333333333, 5.5, -0.11729061458584349, 0.00858507690949861]
[34.891012134067736, 1.1183333333333334, 1.1016666666666666, 5.791666666666667, -0.13042121366703815, -0.008320699896669385]
[36.54383070957256, 1.11, 1.0999999999999999, 4.6, -0.07860587256864998, 0.03134968463345234]
[38.274944785163115, 1.1183333333333334, 1.0983333333333334, 4.222222222222222, -0.15674211149964418, -0.04513638935339297]
[40.08806328898464, 1.1133333333333335, 1.0933333333333335, 4.2727272727272725, -0.15745246199770815, -0.00039178382249520073]
[41.9870708444391, 1.1116666666666668, 1.1016666666666668, 4.2, -0.0784874886181747, 0.04158223233642479]
[43.97603609302721, 1.12, 1.1150000000000002, 3.8214285714285716, -0.038863105720041556, 0.019922109210435426]
[46.05922041145106, 1.116666666666667, 1.1116666666666668, 3.9285714285714284, -0.03897937568555025, -5.5813575630536024e-05]
[48.241087041653685, 1.116666666666667, 1.11, 3.3333333333333335, -0.05201147061050886, -0.005972910875743279]
[50.526310653356795, 1.1150000000000002, 1.1133333333333335, 3.107142857142857, -0.01299310584554949, 0.017074199901111708]
[52.91978735958442, 1.116666666666667, 1.1083333333333336, 3.08, -0.06506314795443693, -0.021754981769158483]
[55.42664520663107, 1.111666666666667, 1.11, 3.2666666666666666, -0.01303209492495978, 0.020755486032355323]
[58.05225516094899, 1.11, 1.1, 3.033333333333333, -0.07860587256864804, -0.024974683515291245]
[60.80224261649424, 1.12, 1.1039999999999999, 2.9655172413793105, -0.12497898554003181, -0.01686302709413239]
[63.68249944718586, 1.116666666666667, 1.0999999999999999, 2.962962962962963, -0.13061734317915855, -0.0019575884966386223]
[66.69919663030122, 1.1216666666666668, 1.1033333333333333, 2.6923076923076925, -0.1431414956855397, -0.004151610767059955]
[69.8587974678525, 1.1183333333333334, 1.1016666666666668, 2.8076923076923075, -0.13042121366703618, 0.004025914244396085]
[73.16807143427197, 1.1216666666666668, 1.0999999999999999, 2.9310344827586206, -0.16942257364216579, -0.011785473300455648]
[76.63410868007459, 1.1216666666666668, 1.0999999999999999, 2.066666666666667, -0.16942257364216579, 0.0]
[80.26433522257175, 1.1183333333333334, 1.0983333333333334, 1.896551724137931, -0.15674211149964418, 0.0034930222657120983]
[84.06652885618325, 1.115, 1.0999999999999999, 2.142857142857143, -0.11764364451909007, 0.010283134092625492]
[88.04883581643465, 1.1183333333333334, 1.1016666666666666, 1.9655172413793103, -0.13042121366703815, -0.00320858469110615]
[92.21978823334327, 1.1183333333333334, 1.0983333333333334, 2.1538461538461537, -0.15674211149964418, -0.006310524600065866]
[96.58832241158703, 1.112, 1.0999999999999999, 1.7857142857142858, -0.09424204175627386, 0.014306874386981808]
[101.1637979766207, 1.11, 1.098, 1.8275862068965518, -0.09441277345168661, -3.7314524574778745e-05]
[105.9560179277616, 1.1083333333333336, 1.0925000000000002, 2.037037037037037, -0.12497898554003081, -0.006378299076415982]
[110.97524964120721, 1.1050000000000002, 1.0999999999999999, 1.8888888888888888, -0.03939185725809201, 0.017051838442259253]
[116.23224686798518, 1.11, 1.0999999999999999, 1.8928571428571428, -0.07860587256864998, -0.007459394330818845]
[121.7382727739662, 1.1175000000000002, 1.1016666666666666, 1.2592592592592593, -0.12394645403955118, -0.008234719967744645]
[127.50512407130128, 1.1116666666666668, 1.11, 1.7777777777777777, -0.013032094924957851, 0.019233088109250878]
[133.54515629298987, 1.11, 1.1, 1.9565217391304348, -0.07860587256864804, -0.010856527786098125]
[139.87131026472386, 1.1083333333333336, 1.1060000000000003, 1.4482758620689655, -0.018305359015630074, 0.00953193896677948]
[146.49713983072849, 1.105, 1.1060000000000003, 1.3103448275862069, 0.007856978951000928, 0.003948537719844624]
[153.43684089300132, 1.11, 1.0999999999999999, 1.7037037037037037, -0.07860587256864998, -0.012459160811652215]
[160.70528182616385, 1.11, 1.1, 1.206896551724138, -0.07860587256864804, 2.673049572748832e-16]
[168.31803533309568, 1.115, 1.106666666666667, 1.064516129032258, -0.06516076799611002, 0.0017661289782068368]
[176.2914118095948, 1.12, 1.1016666666666668, 1.1666666666666667, -0.14335627136369963, -0.009807075283358887]
[184.64249428955426, 1.1083333333333336, 1.1, 1.1724137931034482, -0.06555419522471992, 0.009316406145632665]
[193.38917504552322, 1.1150000000000002, 1.1150000000000002, 0.9259259259259259, 0.0, 0.007494751100865789]
[202.55019392306664, 1.11, 1.1033333333333335, 0.8888888888888888, -0.05232479461202245, -0.005711678505574001]
[212.14517849106298, 1.11, 1.0999999999999999, 0.9629629629629629, -0.07860587256864998, -0.0027390432752009792]
[222.19468609395238, 1.1116666666666668, 1.0999999999999999, 1.2307692307692308, -0.09163796749360778, -0.0012967893990359137]
[232.72024789604072, 1.1083333333333336, 1.1033333333333333, 0.75, -0.039273117268095875, 0.004975017125938343]
[243.74441501222216, 1.1066666666666667, 1.0999999999999999, 0.967741935483871, -0.05248287652297795, -0.0011982546269180357]
[255.29080682395167, 1.1016666666666668, 1.0999999999999999, 0.8928571428571429, -0.013150478875433328, 0.003406466564523512]
[267.3841615839947, 1.1049999999999998, 1.0999999999999999, 0.9642857142857143, -0.03939185725808813, -0.0021699006523282927]
[280.0503894183631, 1.1066666666666667, 1.0999999999999999, 0.8076923076923077, -0.05248287652297795, -0.0010335373274566208]
[293.31662783900424, 1.0999999999999999, 1.098, 0.8846153846153846, -0.01580690088303691, 0.0027646100180799106]
[307.21129988617594, 1.1050000000000002, 1.1050000000000002, 1.0, 0.0, 0.001137623171628182]
[321.76417502507354, 1.11, 1.1075, 0.2962962962962963, -0.01958487783100702, -0.001345773783124109]
[337.0064329271928, 1.0999999999999999, 1.0999999999999999, 0.23076923076923078, 0.0, 0.0012849066035212516]
[352.970730273065, 1.0999999999999999, 1.1, 0.8148148148148148, 1.928654933106574e-15, 1.2081051181405472e-16]
[369.6912707195028, 1.1033333333333333, 1.1075, 0.9230769230769231, 0.03273991678101638, 0.00195806570283375]
[387.20387818125573, 1.0999999999999999, 1.095, 0.9629629629629629, -0.03957131964175675, -0.0041290959430626785]
[405.54607358408276, 1.104, 1.0983333333333334, 0.6428571428571429, -0.04469818365627805, -0.0002795120159788019]
[424.75715525368986, 1.1033333333333333, 1.1016666666666666, 1.0, -0.013130599081194318, 0.001643196625675963]
[444.87828311275854, 1.1066666666666667, 1.0999999999999999, 0.3333333333333333, -0.05248287652297795, -0.0019557689667007105]
[465.9525668664682, 1.1116666666666668, 1.0999999999999999, 0.6896551724137931, -0.09163796749360778, -0.0018579559537219117]
[488.02515836544336, 1.1083333333333336, 1.0966666666666667, 0.20689655172413793, -0.09191503378298438, -1.255250383216048e-05]
[511.14334834401654, 1.1083333333333336, 1.0983333333333334, 0.17857142857142858, -0.07872461418189607, 0.0005705645473678386]
[535.3566677410724, 1.1066666666666667, 1.09, 0.8275862068965517, -0.1318066208750041, -0.0021922647540659913]
[560.7169938205458, 1.1033333333333333, 1.0966666666666667, 0.14814814814814814, -0.05264191651488843, 0.00312159646969964]
[587.2786613189483, 1.1, 1.096, 0.3103448275862069, -0.031642620197493934, 0.0007905865216729138]
[615.0985788580505, 1.11, 1.095, 0.11538461538461539, -0.11817719221040655, -0.003110525827090758]
[644.236350872137, 1.0966666666666667, 1.096, 0.0, -0.005281781639229253, 0.003874538194498829]
[674.7544053110693, 1.1083333333333334, 1.0983333333333334, 0.1724137931034483, -0.0787246141818951, -0.0024065371758749433]
[706.7181273927491, 1.1083333333333334, 1.0966666666666667, 0.6666666666666666, -0.09191503378298242, -0.00041266844854240145]
[740.1959996915645, 1.1066666666666667, 1.0966666666666667, 0.037037037037037035, -0.07884371508124, 0.00039044651897441457]
[775.2597488629465, 1.1050000000000002, 1.0933333333333335, 0.17857142857142858, -0.09219378058225784, -0.00038073696671072943]
[811.9844993184009, 1.1050000000000002, 1.0933333333333335, 0.32142857142857145, -0.09219378058225784, 0.0]
[850.4489341802678, 1.1083333333333336, 1.09, 0.07407407407407407, -0.14487793957674844, -0.0013696849877994964]
[890.735463861044, 1.104, 1.0999999999999999, -0.034482758620689655, -0.031527764699103206, 0.002813599875090093]
[932.9304026284686, 1.106, 1.0950000000000002, 0.19230769230769232, -0.0868201558508453, -0.0013104033982964066]
[977.1241535346502, 1.11, 1.095, 0.2692307692307692, -0.11817719221040655, -0.0007095355274579156]
[1023.4114021054527, 1.1066666666666667, 1.1016666666666666, -0.14814814814814814, -0.03933239764754555, 0.0017033804556833277]
[1071.8913192051275, 1.1083333333333336, 1.0916666666666668, 0.06896551724137931, -0.1316069062264316, -0.0019033553293659607]
[1122.6677735108135, 1.1016666666666666, 1.0933333333333335, 0.19230769230769232, -0.06595240219959696, 0.0012930108044090542]
[1175.849554052157, 1.1050000000000002, 1.0916666666666668, -0.13793103448275862, -0.10544456825980197, -0.0007425882634656033]
[1231.550603292826, 1.0999999999999999, 1.0916666666666666, 0.0, -0.06605271100171209, 0.0007072013506942813]
[1289.8902612533082, 1.11, 1.09, 0.11538461538461539, -0.1579296169206763, -0.0015748619229341292]
[1350.9935211980264, 1.1050000000000002, 1.095, 0.06666666666666667, -0.07896317689984886, 0.0012923441415772328]
[1414.991297434576, 1.0999999999999999, 1.0916666666666668, -0.07692307692307693, -0.06605271100171015, 0.0002017330391359047]
[1482.0207057988587, 1.1016666666666666, 1.0866666666666667, -0.18518518518518517, -0.11907727507439998, -0.0007910641816278432]
[1552.225357427048, 1.1066666666666667, 1.09, -0.13333333333333333, -0.1318066208750041, -0.0001813176976935941]
[1625.755666443795, 1.11, 1.0933333333333335, -0.11538461538461539, -0.1314077958928158, 5.423953571274778e-06]
[1702.7691722258996, 1.11, 1.09, -0.21739130434782608, -0.1579296169206763, -0.0003443788301612846]
[1783.4308769319093, 1.1183333333333334, 1.0883333333333334, -0.12, -0.23618677787836342, -0.0009701897727417677]
[1867.9135990207828, 1.1216666666666668, 1.0916666666666666, -0.8076923076923077, -0.23547528464387774, 8.421760294811723e-06]
[1956.3983435170649, 1.1150000000000002, 1.094, -0.037037037037037035, -0.16515090773535146, 0.0007947627278449246]
[2049.074689815848, 1.116666666666667, 1.09, -0.27586206896551724, -0.20994108753118454, -0.0004832967805121716]
[2146.1411978584038, 1.1083333333333334, 1.09, -0.68, -0.1448779395767465, 0.0006702945152401409]
[2247.8058335487253, 1.104, 1.0883333333333334, -0.20833333333333334, -0.12414285003499623, 0.00020395577479774747]
[2354.286414322418, 1.1066666666666667, 1.0866666666666667, -0.8461538461538461, -0.15840967272194584, -0.0003218128830437005]
[2465.811075822604, 1.1, 1.0883333333333334, -0.7916666666666666, -0.09261508533589514, 0.0005899554995371218]
[2582.6187606826775, 1.1066666666666667, 1.084, -0.25, -0.17975093564011443, -0.0007459770340333447]
[2704.9597304631343, 1.1060000000000003, 1.08, -0.8076923076923077, -0.20662742963459685, -0.00021968514752427408]
[2833.096101839324, 1.1033333333333335, 1.0883333333333334, -0.9629629629629629, -0.1188961632925217, 0.0006846710687983264]
[2967.3024081888693, 1.0999999999999999, 1.08, -0.96, -0.15937859342550487, -0.00030164327768283255]
[3107.866187782014, 1.1016666666666666, 1.08, -0.7586206896551724, -0.17252907230093678, -9.355524526656408e-05]
[3255.08859983506, 1.1016666666666666, 1.0750000000000002, -0.9285714285714286, -0.21283489700744754, -0.00027377506009063426]
[3409.285069746811, 1.0999999999999999, 1.08, -0.4642857142857143, -0.15937859342550487, 0.00034667657186015013]
[3570.7859649004627, 1.1050000000000002, 1.08, -0.2962962962962963, -0.19877045068359728, -0.00024391107690527103]
[3739.937302478798, 1.1050000000000002, 1.0766666666666669, -0.8148148148148148, -0.22562020819378115, -0.00015873216194787438]
[3917.1014908092607, 1.0999999999999999, 1.0833333333333333, -0.6923076923076923, -0.13261157798026185, 0.0005249855012460594]
[4102.658105827195, 1.1033333333333333, 1.0725000000000002, -0.75, -0.24618876398588704, -0.0006120891243604967]
