Frequency, Vpp 1, Vpp 2, Phase, Ratio, Slope,
10.47370898,1.070666667,1.081666667,29.6,0.088783291,,
10.96985798,1.066666667,1.085,30,0.148020292,0.119393572,
11.48951,1.066666667,1.093333333,29.6,0.214477308,0.127887535,
12.03377841,1.063333333,1.108333333,29,0.360019332,0.267408547,
12.6038293,1.068333333,1.113333333,29,0.358368659,-0.002895658,
13.20088401,1.07,1.12,29,0.3966849,0.064175426,
13.82622174,1.065,1.128333333,29.25,0.501756211,0.168023303,
14.48118228,1.063166667,1.133333333,28.5,0.555126211,0.081485826,
15.16716888,1.07,1.15,29.75,0.626281253,0.103726576,
15.88565129,1.078333333,1.166666667,30,0.683875187,0.080160534,
16.63816886,1.076,1.17,29.66666667,0.727471808,0.057934357,
17.42633386,1.07,1.19,30.75,0.923263674,0.248414819,
18.25183494,1.069,1.198333333,30,0.991998696,0.083264605,
19.11644075,1.07,1.206,29.5,1.039270602,0.054674519,
20.02200372,1.067833333,1.216666667,30.2,1.133362723,0.103904559,
20.97046401,1.064,1.243333333,30.8,1.352918983,0.231487033,
21.96385372,1.066666667,1.256666667,30.75,1.423827438,0.0713803,
23.0043012,1.07,1.27,32,1.488398865,0.062061209,
24.0940356,1.06,1.281666667,31.6,1.649384483,0.147729224,
25.2353917,1.071666667,1.32,30.4,1.810284173,0.140972384,
26.43081487,1.075,1.34,32.75,1.913926682,0.086699432,
27.6828663,1.069,1.363333333,33.5,2.112486962,0.158587957,
28.99422854,1.0862,1.4,35,2.204364744,0.070062856,
30.36771118,1.08,1.433333333,34,2.458468907,0.185007189,
31.80625693,1.081666667,1.466666667,34,2.644759507,0.129499253,
33.31294788,1.086,1.503333333,34,2.824509238,0.119300996,
34.89101213,1.08,1.515,35.25,2.939777547,0.073044116,
36.54383071,1.29225,1.5425,33.83333333,1.537572637,-0.848371945,
38.27494479,1.07,1.588333333,35.2,3.431157451,1.093853283,
40.08806329,1.064,1.636666667,35,3.740372189,0.170543038,
41.98707084,1.0775,1.67,36,3.805983846,0.034550498,
43.97603609,1.076,1.725,36,4.099536562,0.147590671,
46.05922041,1.07,1.76,36,4.322577803,0.107067454,
48.24108704,1.0578,1.822,33.4,4.722896199,0.183475191,
50.52631065,1.0625,1.866666667,33.6,4.894756671,0.075205101,
