Frequency, Vpp 1, Vpp 2, Phase, Ratio, Slope
10.47370898,1.1165,1.029166667,7.217391304,-0.707460317,
10.96985798,1.1175,1.0185,4.111111111,-0.805729969,-0.1980648
11.48951,1.116666667,1.0205,3.3,-0.782210865,0.045259333
12.03377841,1.115,1.022333333,1.961538462,-0.753646922,0.052481354
12.6038293,1.104,1.017,1.25,-0.712962409,0.071369967
13.20088401,1.111764706,1.0215,0,-0.735490237,-0.037731596
13.82622174,1.121666667,1.019333333,-1.230769231,-0.83095175,-0.152655931
14.48118228,1.116666667,1.027,-2.178571429,-0.727062174,0.158619595
15.16716888,1.118333333,1.01,-3.296296296,-0.88499792,-0.230231529
15.88565129,1.12,1.0166,-4.166666667,-0.841358346,0.060738542
16.63816886,1.123333333,1.008,-5.611111111,-0.940962281,-0.132360943
17.42633386,1.11,1.005,-7.9,-0.863138341,0.09874067
18.25183494,1.12,0.990833333,-9,-1.064348282,-0.243742795
19.11644075,1.12,0.982,-10,-1.142130698,-0.089962865
20.02200372,1.118333333,0.977,-11,-1.173534121,-0.034678344
20.97046401,1.118333333,0.967,-13.2,-1.262895914,-0.094217748
21.96385372,1.12,0.96,-13,-1.338935793,-0.076545869
23.0043012,1.118333333,0.95,-14,-1.41695329,-0.074984561
24.0940356,1.116666667,0.927,-15.25,-1.616876363,-0.183460367
25.2353917,1.12,0.9105,-15.66666667,-1.798761451,-0.159358755
26.43081487,1.116666667,0.902,-17,-1.854340296,-0.04649303
27.6828663,1.111666667,0.887,-17.4,-1.961019274,-0.085203352
28.99422854,1.115,0.872,-20.5,-2.135167649,-0.132799596
30.36771118,1.123333333,0.863666667,-20.33333333,-2.283249758,-0.107815057
31.80625693,1.118333333,0.846,-22,-2.424018135,-0.097854641
33.31294788,1.12,0.832,-22,-2.581893928,-0.104783129
34.89101213,1.12,0.816,-23.2,-2.750557278,-0.106879901
36.54383071,1.121666667,0.7995,-24,-2.940906915,-0.115166685
38.27494479,1.12,0.7855,-24.8,-3.081436666,-0.081178793
40.08806329,1.12,0.7665,-24.6,-3.29411727,-0.117300995
