Bode taken on 19092019-114906
0 points could not be taken due to noise in the signal.
Obtained data is as follows:
['Frequency', 'Vpp 1', 'Vpp 2', 'Phase', 'Ratio', 'Slope']
[12.067926406393289, 2.075, 1.9166666666666667, 2.0639285714285713, -0.6894302215628698]
[14.563484775012437, 2.08, 1.89, 2.0839999999999996, -0.8320306157903492, -0.05714167860012169]
[17.57510624854792, 2.09, 1.8499999999999999, 2.083529411764706, -1.0594911541608045, -0.07552759879329346]
[21.209508879201906, 2.0733333333333337, 1.7533333333333332, 2.0707999999999998, -1.4560928107415951, -0.1091243037399588]
[25.59547922699536, 2.075, 1.66, 2.0804, -1.938200260161129, -0.10992036224368874]
[30.888435964774818, 2.086, 1.5616666666666668, 2.083157894736842, -2.514519271727548, -0.10888413416509439]
[37.2759372031494, 2.07, 1.4233333333333331, 2.0704, -3.253274503031127, -0.11565637386734495]
[44.98432668969444, 2.0783333333333336, 1.28, 2.0796, -4.2101046689406125, -0.1241284145773417]
[54.286754393238596, 2.0716666666666668, 1.13, 2.0736000000000003, -5.264828695491629, -0.11338158813630714]
[65.51285568595509, 2.07, 1.0073333333333332, 2.0696, -6.2559428034714735, -0.08828658161341196]
[79.06043210907697, 2.0783333333333336, 0.924, 2.0780000000000003, -7.040864637495846, -0.05793817355292665]
[95.40954763499938, 2.06, 0.872, 2.0624000000000002, -7.467014708731724, -0.02606563459412794]
[115.1395399326447, 2.07, 0.879, 2.0683999999999996, -7.439629407662917, 0.0013880036370858243]
[138.94954943731375, 2.0733333333333337, 0.9220000000000002, 2.072, -7.038764178350538, 0.016835996190332065]
[167.68329368110065, 2.06, 0.9579999999999999, 2.0632, -6.650034225812181, 0.013528691187623842]
[202.35896477251555, 2.0683333333333334, 0.9744999999999999, 2.0667999999999997, -6.53677375322892, 0.0032662806232264165]
[244.205309454865, 2.06, 0.9736666666666666, 2.064545454545455, -6.509138362305322, 0.0006604015508015188]
[294.705170255181, 2.06, 0.947, 2.0633333333333335, -6.7503448273176, -0.004776378809558406]
[355.64803062231283, 2.0566666666666666, 0.8983333333333333, 2.0551999999999997, -7.194527890209683, -0.007288516820776638]
[429.1934260128778, 2.06, 0.8490000000000001, 2.06, -7.699190602504014, -0.006861921261206165]
[517.9474679231213, 2.0399999999999996, 0.8330000000000001, 2.0492, -7.779703320382221, -0.0009071442398040696]
[625.0551925273969, 2.0500000000000003, 0.8490000000000001, 1.9429999999999994, -7.656923416236033, 0.0011463216551356598]
[754.3120063354615, 2.0583333333333336, 0.915, 2.2022222222222223, -7.041892262911854, 0.00475821069083018]
[910.2981779915218, 2.0466666666666664, 0.979, 2.1874074074074072, -6.405288492367347, 0.004081155167704083]
[1098.5411419875584, 2.06, 1.03, 2.177666666666666, -6.020599913279624, 0.0020435748084365207]
[1325.7113655901082, 2.06, 1.06, 2.0604, -5.771227102087664, 0.0010977354656667288]
[1599.8587196060573, 2.0500000000000003, 1.0583333333333336, 2.0452, -5.742627722948443, 0.00010432119340300962]
[1930.6977288832495, 2.0566666666666666, 1.0116666666666665, 2.054, -6.162529372439307, -0.0012692023543664135]
[2329.951810515372, 2.06, 0.9453333333333332, 2.0584000000000002, -6.76564497155574, -0.0015106059696395307]
[2811.768697974228, 2.0566666666666666, 0.859, 2.0564, -7.583414909646739, -0.0016972629216132054]
[3393.221771895326, 2.0399999999999996, 0.795, 2.0424, -8.185260775388567, -0.0010350721197210447]
[4094.9150623804235, 2.0500000000000003, 0.759, 2.0483999999999996, -8.63024170320548, -0.0006341530321734819]
[4941.713361323833, 2.045, 0.7465, 2.040384615384615, -8.753270005646328, -0.000145286430776204]
[5963.623316594642, 2.05, 0.7654, 2.035925925925926, -8.557308063345475, 0.00019176047878790106]
[7196.856730011514, 2.038333333333333, 0.7695, 2.1818518518518517, -8.461331649702885, 7.782501884754533e-05]
[8685.11373751352, 2.03, 0.77075, 2.0307999999999997, -8.41165009029334, 3.338237895679932e-05]
[10481.131341546852, 2.0399999999999996, 0.7656666666666667, 2.0404, -8.5118085390107, -5.5766963805049646e-05]
[12648.552168552958, 2.028333333333333, 0.7842, 14.5, -8.254249797644666, 0.00011883190294973914]
[15264.179671752303, 2.03, 0.827, 22.5, -7.799810567213324, 0.00017374004130002763]
[18420.699693267165, 2.033333333333333, 0.9206, 27.333333333333332, -6.882752194662983, 0.0002905282926449589]
[22229.96482526191, 2.0366666666666666, 1.031666666666667, 29.4, -5.907611137728345, 0.00025599191002596296]
[26826.957952797275, 2.0366666666666666, 1.1716666666666666, 26.8, -4.8023176177342295, 0.0002404383668475722]
[32374.5754281764, 2.0366666666666666, 1.3366666666666667, 25.8, -3.657936752447438, 0.0002062833045655486]
[39069.39937054613, 2.028333333333333, 1.4833333333333334, 25.0, -2.718011431703041, 0.0001403958235250763]
[47148.663634573895, 2.023333333333333, 1.6066666666666667, 18.5, -2.002833056728158, 8.852023545747277e-05]
[56898.66029018293, 2.023333333333333, 1.706666666666667, 2.0232, -1.4783746019885329, 5.3790629193489165e-05]
[68664.88450042998, 2.025, 1.7825000000000002, 2.0288, -1.1079097805356821, 3.1485446378815205e-05]
[82864.27728546843, 2.005, 1.8583333333333334, 2.0261111111111116, -0.6598151991133049, 3.155730587962349e-05]
[100000.0, 2.028333333333333, 1.8966666666666667, 2.025, -0.5829663234202507, 4.48471750933996e-06]
