Freq.	V(n003)
1.00000000000000e+000	(-7.44939361198123e+001dB,9.00112815166798e+001°)
1.00230523807790e+000	(-7.44739361039908e+001dB,9.00113075231667e+001°)
1.00461579027840e+000	(-7.44539360880964e+001dB,9.00113335896042e+001°)
1.00693166885180e+000	(-7.44339360721285e+001dB,9.00113597161303e+001°)
1.00925288607668e+000	(-7.44139360560870e+001dB,9.00113859028837e+001°)
1.01157945425990e+000	(-7.43939360399714e+001dB,9.00114121500031e+001°)
1.01391138573668e+000	(-7.43739360237814e+001dB,9.00114384576276e+001°)
1.01624869287070e+000	(-7.43539360075167e+001dB,9.00114648258968e+001°)
1.01859138805412e+000	(-7.43339359911769e+001dB,9.00114912549505e+001°)
1.02093948370768e+000	(-7.43139359747617e+001dB,9.00115177449287e+001°)
1.02329299228075e+000	(-7.42939359582708e+001dB,9.00115442959719e+001°)
1.02565192625141e+000	(-7.42739359417037e+001dB,9.00115709082209e+001°)
1.02801629812647e+000	(-7.42539359250601e+001dB,9.00115975818168e+001°)
1.03038612044162e+000	(-7.42339359083397e+001dB,9.00116243169010e+001°)
1.03276140576140e+000	(-7.42139358915422e+001dB,9.00116511136152e+001°)
1.03514216667934e+000	(-7.41939358746671e+001dB,9.00116779721014e+001°)
1.03752841581801e+000	(-7.41739358577141e+001dB,9.00117048925022e+001°)
1.03992016582906e+000	(-7.41539358406828e+001dB,9.00117318749601e+001°)
1.04231742939330e+000	(-7.41339358235730e+001dB,9.00117589196184e+001°)
1.04472021922080e+000	(-7.41139358063842e+001dB,9.00117860266202e+001°)
1.04712854805090e+000	(-7.40939357891160e+001dB,9.00118131961094e+001°)
1.04954242865232e+000	(-7.40739357717682e+001dB,9.00118404282300e+001°)
1.05196187382322e+000	(-7.40539357543402e+001dB,9.00118677231263e+001°)
1.05438689639126e+000	(-7.40339357368318e+001dB,9.00118950809432e+001°)
1.05681750921366e+000	(-7.40139357192426e+001dB,9.00119225018255e+001°)
1.05925372517729e+000	(-7.39939357015722e+001dB,9.00119499859187e+001°)
1.06169555719872e+000	(-7.39739356838203e+001dB,9.00119775333686e+001°)
1.06414301822431e+000	(-7.39539356659864e+001dB,9.00120051443210e+001°)
1.06659612123026e+000	(-7.39339356480702e+001dB,9.00120328189226e+001°)
1.06905487922266e+000	(-7.39139356300713e+001dB,9.00120605573198e+001°)
1.07151930523761e+000	(-7.38939356119893e+001dB,9.00120883596599e+001°)
1.07398941234124e+000	(-7.38739355938238e+001dB,9.00121162260902e+001°)
1.07646521362983e+000	(-7.38539355755745e+001dB,9.00121441567584e+001°)
1.07894672222983e+000	(-7.38339355572410e+001dB,9.00121721518127e+001°)
1.08143395129794e+000	(-7.38139355388229e+001dB,9.00122002114014e+001°)
1.08392691402120e+000	(-7.37939355203197e+001dB,9.00122283356733e+001°)
1.08642562361706e+000	(-7.37739355017311e+001dB,9.00122565247775e+001°)
1.08893009333343e+000	(-7.37539354830567e+001dB,9.00122847788635e+001°)
1.09144033644876e+000	(-7.37339354642962e+001dB,9.00123130980811e+001°)
1.09395636627209e+000	(-7.37139354454490e+001dB,9.00123414825803e+001°)
1.09647819614318e+000	(-7.36939354265148e+001dB,9.00123699325117e+001°)
1.09900583943252e+000	(-7.36739354074933e+001dB,9.00123984480261e+001°)
1.10153930954141e+000	(-7.36539353883839e+001dB,9.00124270292747e+001°)
1.10407861990207e+000	(-7.36339353691864e+001dB,9.00124556764090e+001°)
1.10662378397766e+000	(-7.36139353499002e+001dB,9.00124843895808e+001°)
1.10917481526240e+000	(-7.35939353305250e+001dB,9.00125131689425e+001°)
1.11173172728159e+000	(-7.35739353110604e+001dB,9.00125420146466e+001°)
1.11429453359173e+000	(-7.35539352915059e+001dB,9.00125709268460e+001°)
1.11686324778056e+000	(-7.35339352718612e+001dB,9.00125999056940e+001°)
1.11943788346715e+000	(-7.35139352521257e+001dB,9.00126289513443e+001°)
1.12201845430196e+000	(-7.34939352322993e+001dB,9.00126580639507e+001°)
1.12460497396692e+000	(-7.34739352123812e+001dB,9.00126872436678e+001°)
1.12719745617551e+000	(-7.34539351923713e+001dB,9.00127164906501e+001°)
1.12979591467280e+000	(-7.34339351722690e+001dB,9.00127458050527e+001°)
1.13240036323556e+000	(-7.34139351520739e+001dB,9.00127751870310e+001°)
1.13501081567231e+000	(-7.33939351317856e+001dB,9.00128046367409e+001°)
1.13762728582343e+000	(-7.33739351114036e+001dB,9.00128341543384e+001°)
1.14024978756117e+000	(-7.33539350909276e+001dB,9.00128637399800e+001°)
1.14287833478977e+000	(-7.33339350703570e+001dB,9.00128933938226e+001°)
1.14551294144553e+000	(-7.33139350496915e+001dB,9.00129231160234e+001°)
1.14815362149688e+000	(-7.32939350289306e+001dB,9.00129529067399e+001°)
1.15080038894443e+000	(-7.32739350080739e+001dB,9.00129827661302e+001°)
1.15345325782109e+000	(-7.32539349871209e+001dB,9.00130126943525e+001°)
1.15611224219210e+000	(-7.32339349660712e+001dB,9.00130426915654e+001°)
1.15877735615512e+000	(-7.32139349449243e+001dB,9.00130727579281e+001°)
1.16144861384034e+000	(-7.31939349236799e+001dB,9.00131028935999e+001°)
1.16412602941049e+000	(-7.31739349023373e+001dB,9.00131330987405e+001°)
1.16680961706096e+000	(-7.31539348808963e+001dB,9.00131633735102e+001°)
1.16949939101987e+000	(-7.31339348593563e+001dB,9.00131937180693e+001°)
1.17219536554813e+000	(-7.31139348377168e+001dB,9.00132241325789e+001°)
1.17489755493953e+000	(-7.30939348159775e+001dB,9.00132546172001e+001°)
1.17760597352080e+000	(-7.30739347941378e+001dB,9.00132851720945e+001°)
1.18032063565173e+000	(-7.30539347721974e+001dB,9.00133157974242e+001°)
1.18304155572516e+000	(-7.30339347501556e+001dB,9.00133464933515e+001°)
1.18576874816716e+000	(-7.30139347280121e+001dB,9.00133772600391e+001°)
1.18850222743702e+000	(-7.29939347057664e+001dB,9.00134080976502e+001°)
1.19124200802737e+000	(-7.29739346834181e+001dB,9.00134390063482e+001°)
1.19398810446427e+000	(-7.29539346609665e+001dB,9.00134699862970e+001°)
1.19674053130724e+000	(-7.29339346384114e+001dB,9.00135010376608e+001°)
1.19949930314938e+000	(-7.29139346157521e+001dB,9.00135321606044e+001°)
1.20226443461741e+000	(-7.28939345929882e+001dB,9.00135633552926e+001°)
1.20503594037179e+000	(-7.28739345701193e+001dB,9.00135946218908e+001°)
1.20781383510678e+000	(-7.28539345471448e+001dB,9.00136259605649e+001°)
1.21059813355048e+000	(-7.28339345240643e+001dB,9.00136573714809e+001°)
1.21338885046497e+000	(-7.28139345008772e+001dB,9.00136888548054e+001°)
1.21618600064636e+000	(-7.27939344775831e+001dB,9.00137204107053e+001°)
