Freq.	V(N002,N003)
1.00000000000000e+000	(-6.34666405968881e-008dB,-8.91000705692224e-003°)
1.00230523807790e+000	(-6.37595897827879e-008dB,-8.93054674433115e-003°)
1.00461579027840e+000	(-6.40538909558157e-008dB,-8.95113378060865e-003°)
1.00693166885180e+000	(-6.43495479732815e-008dB,-8.97176827490517e-003°)
1.00925288607668e+000	(-6.46465733714426e-008dB,-8.99245033662272e-003°)
1.01157945425990e+000	(-6.49449681146265e-008dB,-9.01318007541553e-003°)
1.01391138573668e+000	(-6.52447408817808e-008dB,-9.03395760119060e-003°)
1.01624869287070e+000	(-6.55458974588704e-008dB,-9.05478302410830e-003°)
1.01859138805412e+000	(-6.58484436318603e-008dB,-9.07565645458293e-003°)
1.02093948370768e+000	(-6.61523851867154e-008dB,-9.09657800328334e-003°)
1.02329299228075e+000	(-6.64577317667107e-008dB,-9.11754778113349e-003°)
1.02565192625141e+000	(-6.67644872291561e-008dB,-9.13856589931305e-003°)
1.02801629812647e+000	(-6.70726573600168e-008dB,-9.15963246925797e-003°)
1.03038612044162e+000	(-6.73822508382401e-008dB,-9.18074760266110e-003°)
1.03276140576140e+000	(-6.76932734497909e-008dB,-9.20191141147277e-003°)
1.03514216667934e+000	(-6.80057309806344e-008dB,-9.22312400790138e-003°)
1.03752841581801e+000	(-6.83196311453905e-008dB,-9.24438550441398e-003°)
1.03992016582906e+000	(-6.86349797300240e-008dB,-9.26569601373693e-003°)
1.04231742939330e+000	(-6.89517854134826e-008dB,-9.28705564885639e-003°)
1.04472021922080e+000	(-6.92700501244212e-008dB,-9.30846452301902e-003°)
1.04712854805090e+000	(-6.95897892920797e-008dB,-9.32992274973253e-003°)
1.04954242865232e+000	(-6.99109990591483e-008dB,-9.35143044276629e-003°)
1.05196187382322e+000	(-7.02336948548667e-008dB,-9.37298771615195e-003°)
1.05438689639126e+000	(-7.05578786078901e-008dB,-9.39459468418400e-003°)
1.05681750921366e+000	(-7.08835589971659e-008dB,-9.41625146142043e-003°)
1.05925372517729e+000	(-7.12107418086592e-008dB,-9.43795816268332e-003°)
1.06169555719872e+000	(-7.15394366856447e-008dB,-9.45971490305941e-003°)
1.06414301822431e+000	(-7.18696465211052e-008dB,-9.48152179790077e-003°)
1.06659612123026e+000	(-7.22013819226430e-008dB,-9.50337896282538e-003°)
1.06905487922266e+000	(-7.25346486762232e-008dB,-9.52528651371773e-003°)
1.07151930523761e+000	(-7.28694535321382e-008dB,-9.54724456672947e-003°)
1.07398941234124e+000	(-7.32058032406805e-008dB,-9.56925323828001e-003°)
1.07646521362983e+000	(-7.35437074451251e-008dB,-9.59131264505711e-003°)
1.07894672222983e+000	(-7.38831680741271e-008dB,-9.61342290401756e-003°)
1.08143395129794e+000	(-7.42241966996164e-008dB,-9.63558413238771e-003°)
1.08392691402120e+000	(-7.45668020005405e-008dB,-9.65779644766421e-003°)
1.08642562361706e+000	(-7.49109859055544e-008dB,-9.68005996761451e-003°)
1.08893009333343e+000	(-7.52567580579331e-008dB,-9.70237481027756e-003°)
1.09144033644876e+000	(-7.56041281009516e-008dB,-9.72474109396445e-003°)
1.09395636627209e+000	(-7.59530998919199e-008dB,-9.74715893725896e-003°)
1.09647819614318e+000	(-7.63036830741130e-008dB,-9.76962845901827e-003°)
1.09900583943252e+000	(-7.66558872908058e-008dB,-9.79214977837351e-003°)
1.10153930954141e+000	(-7.70097144706535e-008dB,-9.81472301473048e-003°)
1.10407861990207e+000	(-7.73651752212586e-008dB,-9.83734828777022e-003°)
1.10662378397766e+000	(-7.77222782215684e-008dB,-9.86002571744966e-003°)
1.10917481526240e+000	(-7.80810263645656e-008dB,-9.88275542400226e-003°)
1.11173172728159e+000	(-7.84414321865076e-008dB,-9.90553752793866e-003°)
1.11429453359173e+000	(-7.88035005090320e-008dB,-9.92837215004729e-003°)
1.11686324778056e+000	(-7.91672409754137e-008dB,-9.95125941139503e-003°)
1.11943788346715e+000	(-7.95326613002728e-008dB,-9.97419943332785e-003°)
1.12201845430196e+000	(-7.98997672695742e-008dB,-9.99719233747146e-003°)
1.12460497396692e+000	(-8.02685675622656e-008dB,-1.00202382457319e-002°)
1.12719745617551e+000	(-8.06390708572944e-008dB,-1.00433372802963e-002°)
1.12979591467280e+000	(-8.10112819762982e-008dB,-1.00664895636335e-002°)
1.13240036323556e+000	(-8.13852144198619e-008dB,-1.00896952184945e-002°)
1.13501081567231e+000	(-8.17608710809681e-008dB,-1.01129543679133e-002°)
1.13762728582343e+000	(-8.21382625672192e-008dB,-1.01362671352077e-002°)
1.14024978756117e+000	(-8.25173946645805e-008dB,-1.01596336439796e-002°)
1.14287833478977e+000	(-8.28982779806542e-008dB,-1.01830540181160e-002°)
1.14551294144553e+000	(-8.32809192657331e-008dB,-1.02065283817892e-002°)
1.14815362149688e+000	(-8.36653271987645e-008dB,-1.02300568594581e-002°)
1.15080038894443e+000	(-8.40515085300411e-008dB,-1.02536395758682e-002°)
1.15345325782109e+000	(-8.44394719385104e-008dB,-1.02772766560527e-002°)
1.15611224219210e+000	(-8.48292280317748e-008dB,-1.03009682253331e-002°)
1.15877735615512e+000	(-8.52207816314721e-008dB,-1.03247144093198e-002°)
1.16144861384034e+000	(-8.56141423808771e-008dB,-1.03485153339125e-002°)
1.16412602941049e+000	(-8.60093189589374e-008dB,-1.03723711253015e-002°)
1.16680961706096e+000	(-8.64063210089281e-008dB,-1.03962819099677e-002°)
1.16949939101987e+000	(-8.68051552811416e-008dB,-1.04202478146838e-002°)
1.17219536554813e+000	(-8.72058304545256e-008dB,-1.04442689665145e-002°)
1.17489755493953e+000	(-8.76083523150452e-008dB,-1.04683454928176e-002°)
1.17760597352080e+000	(-8.80127333989578e-008dB,-1.04924775212445e-002°)
1.18032063565173e+000	(-8.84189823852109e-008dB,-1.05166651797406e-002°)
1.18304155572516e+000	(-8.88271060240972e-008dB,-1.05409085965467e-002°)
1.18576874816716e+000	(-8.92371139588916e-008dB,-1.05652079001988e-002°)
1.18850222743702e+000	(-8.96490119755594e-008dB,-1.05895632195294e-002°)
1.19124200802737e+000	(-9.00628135746854e-008dB,-1.06139746836680e-002°)
1.19398810446427e+000	(-9.04785255065623e-008dB,-1.06384424220417e-002°)
1.19674053130724e+000	(-9.08961525928276e-008dB,-1.06629665643760e-002°)
1.19949930314938e+000	(-9.13157131557039e-008dB,-1.06875472406955e-002°)
1.20226443461741e+000	(-9.17372081595187e-008dB,-1.07121845813245e-002°)
1.20503594037179e+000	(-9.21606472475472e-008dB,-1.07368787168876e-002°)
1.20781383510678e+000	(-9.25860410273918e-008dB,-1.07616297783107e-002°)
1.21059813355048e+000	(-9.30133981780003e-008dB,-1.07864378968215e-002°)
1.21338885046497e+000	(-9.34427293069750e-008dB,-1.08113032039500e-002°)
1.21618600064636e+000	(-9.38740421289361e-008dB,-1.08362258315298e-002°)
1.21898959892486e+000	(-9.43073433941763e-008dB,-1.08612059116979e-002°)
1.22179966016487e+000	(-9.47426456389530e-008dB,-1.08862435768965e-002°)
1.22461619926504e+000	(-9.51799594708688e-008dB,-1.09113389598725e-002°)
1.22743923115840e+000	(-9.56192897115613e-008dB,-1.09364921936793e-002°)
1.23026877081238e+000	(-9.60606488972882e-008dB,-1.09617034116768e-002°)
1.23310483322890e+000	(-9.65040457069969e-008dB,-1.09869727475322e-002°)
1.23594743344451e+000	(-9.69494868909802e-008dB,-1.10123003352212e-002°)
1.23879658653036e+000	(-9.73969859498231e-008dB,-1.10376863090280e-002°)
1.24165230759241e+000	(-9.78465496338181e-008dB,-1.10631308035465e-002°)
1.24451461177138e+000	(-9.82981875862405e-008dB,-1.10886339536809e-002°)
1.24738351424294e+000	(-9.87519123433476e-008dB,-1.11141958946463e-002°)
1.25025903021771e+000	(-9.92077306554323e-008dB,-1.11398167619696e-002°)
1.25314117494141e+000	(-9.96656521657696e-008dB,-1.11654966914901e-002°)
1.25602996369487e+000	(-1.00125689410617e-007dB,-1.11912358193601e-002°)
1.25892541179416e+000	(-1.00587849140267e-007dB,-1.12170342820459e-002°)
1.26182753459066e+000	(-1.01052140033668e-007dB,-1.12428922163285e-002°)
1.26473634747115e+000	(-1.01518575591404e-007dB,-1.12688097593040e-002°)
1.26765186585784e+000	(-1.01987164492424e-007dB,-1.12947870483845e-002°)
1.27057410520854e+000	(-1.02457915415674e-007dB,-1.13208242212992e-002°)
1.27350308101666e+000	(-1.02930839933085e-007dB,-1.13469214160944e-002°)
1.27643880881134e+000	(-1.03405946723604e-007dB,-1.13730787711349e-002°)
1.27938130415752e+000	(-1.03883245430508e-007dB,-1.13992964251043e-002°)
1.28233058265602e+000	(-1.04362752447362e-007dB,-1.14255745170061e-002°)
1.28528665994361e+000	(-1.04844465845513e-007dB,-1.14519131861639e-002°)
1.28824955169313e+000	(-1.05328407804493e-007dB,-1.14783125722230e-002°)
1.29121927361353e+000	(-1.05814580252957e-007dB,-1.15047728151500e-002°)
1.29419584144998e+000	(-1.06302998620146e-007dB,-1.15312940552346e-002°)
1.29717927098395e+000	(-1.06793670620679e-007dB,-1.15578764330897e-002°)
1.30016957803328e+000	(-1.07286608790814e-007dB,-1.15845200896525e-002°)
1.30316677845229e+000	(-1.07781819880844e-007dB,-1.16112251661849e-002°)
1.30617088813183e+000	(-1.08279318355681e-007dB,-1.16379918042746e-002°)
1.30918192299940e+000	(-1.08779112894274e-007dB,-1.16648201458355e-002°)
1.31219989901920e+000	(-1.09281215068552e-007dB,-1.16917103331090e-002°)
1.31522483219223e+000	(-1.09785635486117e-007dB,-1.17186625086640e-002°)
1.31825673855640e+000	(-1.10292381861591e-007dB,-1.17456768153982e-002°)
1.32129563418657e+000	(-1.10801468659886e-007dB,-1.17727533965390e-002°)
1.32434153519466e+000	(-1.11312903595621e-007dB,-1.17998923956434e-002°)
1.32739445772973e+000	(-1.11826701133710e-007dB,-1.18270939565999e-002°)
1.33045441797808e+000	(-1.12342868988773e-007dB,-1.18543582236283e-002°)
1.33352143216332e+000	(-1.12861420661395e-007dB,-1.18816853412811e-002°)
1.33659551654643e+000	(-1.13382366759179e-007dB,-1.19090754544439e-002°)
1.33967668742593e+000	(-1.13905714996745e-007dB,-1.19365287083364e-002°)
1.34276496113786e+000	(-1.14431479839005e-007dB,-1.19640452485128e-002°)
1.34586035405594e+000	(-1.14959670929235e-007dB,-1.19916252208632e-002°)
1.34896288259164e+000	(-1.15490301768019e-007dB,-1.20192687716139e-002°)
1.35207256319427e+000	(-1.16023380069980e-007dB,-1.20469760473281e-002°)
1.35518941235103e+000	(-1.16558920300027e-007dB,-1.20747471949070e-002°)
1.35831344658715e+000	(-1.17096931137111e-007dB,-1.21025823615905e-002°)
1.36144468246594e+000	(-1.17637426081815e-007dB,-1.21304816949579e-002°)
1.36458313658892e+000	(-1.18180416706071e-007dB,-1.21584453429286e-002°)
1.36772882559584e+000	(-1.18725911688825e-007dB,-1.21864734537631e-002°)
1.37088176616484e+000	(-1.19273926459318e-007dB,-1.22145661760635e-002°)
1.37404197501251e+000	(-1.19824469696498e-007dB,-1.22427236587748e-002°)
1.37720946889394e+000	(-1.20377552972295e-007dB,-1.22709460511850e-002°)
