Freq.	V(n004)
1.00000000000000e+000	(4.21542712754573e+001dB,1.79999065908088e+002°)
1.00230523807790e+000	(4.21542712754525e+001dB,1.79999063754784e+002°)
1.00461579027840e+000	(4.21542712754478e+001dB,1.79999061596516e+002°)
1.00693166885180e+000	(4.21542712754428e+001dB,1.79999059433272e+002°)
1.00925288607668e+000	(4.21542712754379e+001dB,1.79999057265042e+002°)
1.01157945425990e+000	(4.21542712754329e+001dB,1.79999055091814e+002°)
1.01391138573668e+000	(4.21542712754282e+001dB,1.79999052913575e+002°)
1.01624869287070e+000	(4.21542712754233e+001dB,1.79999050730316e+002°)
1.01859138805412e+000	(4.21542712754183e+001dB,1.79999048542023e+002°)
1.02093948370768e+000	(4.21542712754135e+001dB,1.79999046348686e+002°)
1.02329299228075e+000	(4.21542712754085e+001dB,1.79999044150292e+002°)
1.02565192625141e+000	(4.21542712754036e+001dB,1.79999041946831e+002°)
1.02801629812647e+000	(4.21542712753986e+001dB,1.79999039738291e+002°)
1.03038612044162e+000	(4.21542712753935e+001dB,1.79999037524659e+002°)
1.03276140576140e+000	(4.21542712753885e+001dB,1.79999035305924e+002°)
1.03514216667934e+000	(4.21542712753835e+001dB,1.79999033082074e+002°)
1.03752841581801e+000	(4.21542712753783e+001dB,1.79999030853098e+002°)
1.03992016582906e+000	(4.21542712753731e+001dB,1.79999028618984e+002°)
1.04231742939330e+000	(4.21542712753680e+001dB,1.79999026379720e+002°)
1.04472021922080e+000	(4.21542712753628e+001dB,1.79999024135293e+002°)
1.04712854805090e+000	(4.21542712753577e+001dB,1.79999021885693e+002°)
1.04954242865232e+000	(4.21542712753524e+001dB,1.79999019630906e+002°)
1.05196187382322e+000	(4.21542712753471e+001dB,1.79999017370922e+002°)
1.05438689639126e+000	(4.21542712753420e+001dB,1.79999015105728e+002°)
1.05681750921366e+000	(4.21542712753367e+001dB,1.79999012835312e+002°)
1.05925372517729e+000	(4.21542712753315e+001dB,1.79999010559663e+002°)
1.06169555719872e+000	(4.21542712753260e+001dB,1.79999008278767e+002°)
1.06414301822431e+000	(4.21542712753207e+001dB,1.79999005992614e+002°)
1.06659612123026e+000	(4.21542712753152e+001dB,1.79999003701190e+002°)
1.06905487922266e+000	(4.21542712753098e+001dB,1.79999001404484e+002°)
1.07151930523761e+000	(4.21542712753044e+001dB,1.79998999102484e+002°)
