Freq.	V(n013)
1.00000000000000e+000	(-1.04557450040894e+002dB,-1.76650294547826e+002°)
1.00230523807790e+000	(-1.04557381599575e+002dB,-1.76642590324439e+002°)
1.00461579027840e+000	(-1.04557312846379e+002dB,-1.76634868461814e+002°)
1.00693166885180e+000	(-1.04557243776441e+002dB,-1.76627128921453e+002°)
1.00925288607668e+000	(-1.04557174388239e+002dB,-1.76619371663483e+002°)
1.01157945425990e+000	(-1.04557104680436e+002dB,-1.76611596647867e+002°)
1.01391138573668e+000	(-1.04557034651566e+002dB,-1.76603803834531e+002°)
1.01624869287070e+000	(-1.04556964301048e+002dB,-1.76595993182964e+002°)
1.01859138805412e+000	(-1.04556893630521e+002dB,-1.76588164651690e+002°)
1.02093948370768e+000	(-1.04556822630853e+002dB,-1.76580318203377e+002°)
1.02329299228075e+000	(-1.04556751304362e+002dB,-1.76572453796107e+002°)
1.02565192625141e+000	(-1.04556679650966e+002dB,-1.76564571388812e+002°)
1.02801629812647e+000	(-1.04556607669417e+002dB,-1.76556670940787e+002°)
1.03038612044162e+000	(-1.04556535355577e+002dB,-1.76548752412390e+002°)
1.03276140576140e+000	(-1.04556462711028e+002dB,-1.76540815761614e+002°)
1.03514216667934e+000	(-1.04556389727445e+002dB,-1.76532860950311e+002°)
1.03752841581801e+000	(-1.04556316412266e+002dB,-1.76524887933955e+002°)
1.03992016582906e+000	(-1.04556242758895e+002dB,-1.76516896673525e+002°)
1.04231742939330e+000	(-1.04556168766784e+002dB,-1.76508887127501e+002°)
1.04472021922080e+000	(-1.04556094435749e+002dB,-1.76500859254117e+002°)
1.04712854805090e+000	(-1.04556019759815e+002dB,-1.76492813013851e+002°)
1.04954242865232e+000	(-1.04555944744045e+002dB,-1.76484748362635e+002°)
1.05196187382322e+000	(-1.04555869381643e+002dB,-1.76476665261103e+002°)
1.05438689639126e+000	(-1.04555793671921e+002dB,-1.76468563667324e+002°)
1.05681750921366e+000	(-1.04555717617403e+002dB,-1.76460443537968e+002°)
1.05925372517729e+000	(-1.04555641209407e+002dB,-1.76452304834174e+002°)
1.06169555719872e+000	(-1.04555564450560e+002dB,-1.76444147512384e+002°)
1.06414301822431e+000	(-1.04555487339501e+002dB,-1.76435971530568e+002°)
1.06659612123026e+000	(-1.04555409876485e+002dB,-1.76427776845937e+002°)
1.06905487922266e+000	(-1.04555332052479e+002dB,-1.76419563419435e+002°)
1.07151930523761e+000	(-1.04555253873726e+002dB,-1.76411331205622e+002°)
