Freq.	V(n013)
1.00000000000000e+000	(-9.68115650532733e+001dB,-1.76379712717613e+002°)
1.00230523807790e+000	(-9.68114851223317e+001dB,-1.76371389367392e+002°)
1.00461579027840e+000	(-9.68114048270126e+001dB,-1.76363046982472e+002°)
1.00693166885180e+000	(-9.68113241609266e+001dB,-1.76354685522006e+002°)
1.00925288607668e+000	(-9.68112431251796e+001dB,-1.76346304941915e+002°)
1.01157945425990e+000	(-9.68111617154098e+001dB,-1.76337905200321e+002°)
1.01391138573668e+000	(-9.68110799313539e+001dB,-1.76329486253529e+002°)
1.01624869287070e+000	(-9.68109977729483e+001dB,-1.76321048057656e+002°)
1.01859138805412e+000	(-9.68109152359058e+001dB,-1.76312590570514e+002°)
1.02093948370768e+000	(-9.68108323197470e+001dB,-1.76304113748209e+002°)
1.02329299228075e+000	(-9.68107490218340e+001dB,-1.76295617547664e+002°)
1.02565192625141e+000	(-9.68106653416858e+001dB,-1.76287101924791e+002°)
1.02801629812647e+000	(-9.68105812766658e+001dB,-1.76278566836321e+002°)
1.03038612044162e+000	(-9.68104968256745e+001dB,-1.76270012238235e+002°)
1.03276140576140e+000	(-9.68104119870677e+001dB,-1.76261438086648e+002°)
1.03514216667934e+000	(-9.68103267563958e+001dB,-1.76252844338790e+002°)
1.03752841581801e+000	(-9.68102411359329e+001dB,-1.76244230948893e+002°)
1.03992016582906e+000	(-9.68101551204940e+001dB,-1.76235597874315e+002°)
1.04231742939330e+000	(-9.68100687105804e+001dB,-1.76226945069855e+002°)
1.04472021922080e+000	(-9.68099819041801e+001dB,-1.76218272491301e+002°)
1.04712854805090e+000	(-9.68098946985735e+001dB,-1.76209580094653e+002°)
1.04954242865232e+000	(-9.68098070913479e+001dB,-1.76200867835686e+002°)
1.05196187382322e+000	(-9.68097190830463e+001dB,-1.76192135668778e+002°)
1.05438689639126e+000	(-9.68096306682161e+001dB,-1.76183383550839e+002°)
1.05681750921366e+000	(-9.68095418476219e+001dB,-1.76174611435953e+002°)
1.05925372517729e+000	(-9.68094526197544e+001dB,-1.76165819279101e+002°)
1.06169555719872e+000	(-9.68093629811691e+001dB,-1.76157007036018e+002°)
1.06414301822431e+000	(-9.68092729320042e+001dB,-1.76148174660761e+002°)
1.06659612123026e+000	(-9.68091824675354e+001dB,-1.76139322109439e+002°)
1.06905487922266e+000	(-9.68090915877829e+001dB,-1.76130449335960e+002°)
1.07151930523761e+000	(-9.68090002913548e+001dB,-1.76121556294755e+002°)
1.07398941234124e+000	(-9.68089085737552e+001dB,-1.76112642941542e+002°)
