Freq.	V(cascada)
2.00000000000000e+001	(3.28846888843507e+000dB,-1.43820547493042e+002°)
2.00461047615580e+001	(3.30014742550226e+000dB,-1.43776863183502e+002°)
2.00923158055679e+001	(3.31185800308442e+000dB,-1.43733259519054e+002°)
2.01386333770361e+001	(3.32360065828084e+000dB,-1.43689737315627e+002°)
2.01850577215337e+001	(3.33537542799270e+000dB,-1.43646297392401e+002°)
2.02315890851980e+001	(3.34718234891911e+000dB,-1.43602940571793e+002°)
2.02782277147336e+001	(3.35902145755316e+000dB,-1.43559667679462e+002°)
2.03249738574139e+001	(3.37089279018093e+000dB,-1.43516479544311e+002°)
2.03718277610823e+001	(3.38279638288569e+000dB,-1.43473376998554e+002°)
2.04187896741536e+001	(3.39473227153925e+000dB,-1.43430360877668e+002°)
2.04658598456151e+001	(3.40670049180626e+000dB,-1.43387432020436e+002°)
2.05130385250281e+001	(3.41870107913925e+000dB,-1.43344591268956e+002°)
2.05603259625295e+001	(3.43073406877659e+000dB,-1.43301839468650e+002°)
2.06077224088323e+001	(3.44279949574789e+000dB,-1.43259177468302e+002°)
2.06552281152279e+001	(3.45489739486329e+000dB,-1.43216606120021e+002°)
2.07028433335869e+001	(3.46702780071577e+000dB,-1.43174126279304e+002°)
2.07505683163602e+001	(3.47919074768400e+000dB,-1.43131738805025e+002°)
2.07984033165812e+001	(3.49138626992704e+000dB,-1.43089444559472e+002°)
2.08463485878661e+001	(3.50361440137890e+000dB,-1.43047244408321e+002°)
2.08944043844160e+001	(3.51587517575609e+000dB,-1.43005139220690e+002°)
2.09425709610180e+001	(3.52816862654621e+000dB,-1.42963129869135e+002°)
2.09908485730464e+001	(3.54049478701668e+000dB,-1.42921217229668e+002°)
2.10392374764644e+001	(3.55285369020375e+000dB,-1.42879402181775e+002°)
2.10877379278252e+001	(3.56524536891722e+000dB,-1.42837685608423e+002°)
2.11363501842731e+001	(3.57766985573621e+000dB,-1.42796068396103e+002°)
2.11850745035458e+001	(3.59012718301115e+000dB,-1.42754551434796e+002°)
2.12339111439745e+001	(3.60261738285190e+000dB,-1.42713135618028e+002°)
2.12828603644863e+001	(3.61514048713984e+000dB,-1.42671821842877e+002°)
2.13319224246051e+001	(3.62769652751630e+000dB,-1.42630611009987e+002°)
2.13810975844531e+001	(3.64028553538790e+000dB,-1.42589504023588e+002°)
2.14303861047521e+001	(3.65290754191837e+000dB,-1.42548501791501e+002°)
2.14797882468249e+001	(3.66556257803222e+000dB,-1.42507605225175e+002°)
2.15293042725967e+001	(3.67825067440519e+000dB,-1.42466815239663e+002°)
2.15789344445965e+001	(3.69097186147463e+000dB,-1.42426132753711e+002°)
2.16286790259587e+001	(3.70372616943013e+000dB,-1.42385558689706e+002°)
2.16785382804240e+001	(3.71651362820730e+000dB,-1.42345093973710e+002°)
2.17285124723413e+001	(3.72933426749713e+000dB,-1.42304739535515e+002°)
2.17786018666686e+001	(3.74218811673304e+000dB,-1.42264496308602e+002°)
2.18288067289751e+001	(3.75507520510039e+000dB,-1.42224365230221e+002°)
