Freq.	V(cascada)
2.00000000000000e+001	(-3.28900350714023e+000dB,1.43815833671807e+002°)
2.00461047615580e+001	(-3.30068183300427e+000dB,1.43772138054558e+002°)
2.00923158055679e+001	(-3.31239219842569e+000dB,1.43728523052640e+002°)
2.01386333770361e+001	(-3.32413464050421e+000dB,1.43684989481922e+002°)
2.01850577215337e+001	(-3.33590919613734e+000dB,1.43641538161456e+002°)
2.02315890851980e+001	(-3.34771590201608e+000dB,1.43598169913573e+002°)
2.02782277147336e+001	(-3.35955479463084e+000dB,1.43554885563822e+002°)
2.03249738574139e+001	(-3.37142591026920e+000dB,1.43511685941015e+002°)
2.03718277610823e+001	(-3.38332928500719e+000dB,1.43468571877252e+002°)
2.04187896741536e+001	(-3.39526495471089e+000dB,1.43425544207925e+002°)
2.04658598456151e+001	(-3.40723295504791e+000dB,1.43382603771686e+002°)
2.05130385250281e+001	(-3.41923332145764e+000dB,1.43339751410567e+002°)
2.05603259625295e+001	(-3.43126608918474e+000dB,1.43296987969859e+002°)
2.06077224088323e+001	(-3.44333129324700e+000dB,1.43254314298249e+002°)
2.06552281152279e+001	(-3.45542896845352e+000dB,1.43211731247753e+002°)
2.07028433335869e+001	(-3.46755914939801e+000dB,1.43169239673745e+002°)
2.07505683163602e+001	(-3.47972187044939e+000dB,1.43126840435024e+002°)
2.07984033165812e+001	(-3.49191716576589e+000dB,1.43084534393731e+002°)
2.08463485878661e+001	(-3.50414506927756e+000dB,1.43042322415460e+002°)
2.08944043844160e+001	(-3.51640561469971e+000dB,1.43000205369204e+002°)
2.09425709610180e+001	(-3.52869883551371e+000dB,1.42958184127429e+002°)
2.09908485730464e+001	(-3.54102476498120e+000dB,1.42916259566043e+002°)
2.10392374764644e+001	(-3.55338343613673e+000dB,1.42874432564417e+002°)
2.10877379278252e+001	(-3.56577488178880e+000dB,1.42832704005403e+002°)
2.11363501842731e+001	(-3.57819913451086e+000dB,1.42791074775379e+002°)
2.11850745035458e+001	(-3.59065622664567e+000dB,1.42749545764226e+002°)
2.12339111439745e+001	(-3.60314619030764e+000dB,1.42708117865347e+002°)
2.12828603644863e+001	(-3.61566905736724e+000dB,1.42666791975736e+002°)
2.13319224246051e+001	(-3.62822485947000e+000dB,1.42625568995887e+002°)
2.13810975844531e+001	(-3.64081362801182e+000dB,1.42584449829950e+002°)
2.14303861047521e+001	(-3.65343539415178e+000dB,1.42543435385619e+002°)
2.14797882468249e+001	(-3.66609018881643e+000dB,1.42502526574217e+002°)
2.15293042725967e+001	(-3.67877804267987e+000dB,1.42461724310700e+002°)
2.15789344445965e+001	(-3.69149898616614e+000dB,1.42421029513713e+002°)
2.16286790259587e+001	(-3.70425304946807e+000dB,1.42380443105486e+002°)
2.16785382804240e+001	(-3.71704026251470e+000dB,1.42339966011997e+002°)
2.17285124723413e+001	(-3.72986065499425e+000dB,1.42299599162913e+002°)
2.17786018666686e+001	(-3.74271425634006e+000dB,1.42259343491593e+002°)
2.18288067289751e+001	(-3.75560109572807e+000dB,1.42219199935174e+002°)
2.18791273254418e+001	(-3.76852120208276e+000dB,1.42179169434513e+002°)
2.19295639228637e+001	(-3.78147460406661e+000dB,1.42139252934266e+002°)
2.19801167886504e+001	(-3.79446133008699e+000dB,1.42099451382860e+002°)
2.20307861908283e+001	(-3.80748140828299e+000dB,1.42059765732560e+002°)
2.20815723980414e+001	(-3.82053486654095e+000dB,1.42020196939416e+002°)
2.21324756795533e+001	(-3.83362173245916e+000dB,1.41980745963403e+002°)
2.21834963052480e+001	(-3.84674203339720e+000dB,1.41941413768286e+002°)
2.22346345456318e+001	(-3.85989579642475e+000dB,1.41902201321742e+002°)
2.22858906718345e+001	(-3.87308304834296e+000dB,1.41863109595391e+002°)
2.23372649556112e+001	(-3.88630381568870e+000dB,1.41824139564719e+002°)
2.23887576693430e+001	(-3.89955812470520e+000dB,1.41785292209231e+002°)
2.24403690860392e+001	(-3.91284600136557e+000dB,1.41746568512364e+002°)
2.24920994793385e+001	(-3.92616747137342e+000dB,1.41707969461519e+002°)
2.25439491235101e+001	(-3.93952256013440e+000dB,1.41669496048133e+002°)
2.25959182934559e+001	(-3.95291129276843e+000dB,1.41631149267703e+002°)
2.26480072647111e+001	(-3.96633369412354e+000dB,1.41592930119720e+002°)
2.27002163134462e+001	(-3.97978978873521e+000dB,1.41554839607794e+002°)
2.27525457164686e+001	(-3.99327960087073e+000dB,1.41516878739596e+002°)
2.28049957512233e+001	(-4.00680315447982e+000dB,1.41479048526966e+002°)
2.28575666957954e+001	(-4.02036047323470e+000dB,1.41441349985814e+002°)
2.29102588289106e+001	(-4.03395158049673e+000dB,1.41403784136260e+002°)
2.29630724299376e+001	(-4.04757649932713e+000dB,1.41366352002593e+002°)
2.30160077788886e+001	(-4.06123525247983e+000dB,1.41329054613327e+002°)
2.30690651564218e+001	(-4.07492786240895e+000dB,1.41291893001164e+002°)
2.31222448438419e+001	(-4.08865435125852e+000dB,1.41254868203083e+002°)
2.31755471231024e+001	(-4.10241474084553e+000dB,1.41217981260376e+002°)
2.32289722768068e+001	(-4.11620905268679e+000dB,1.41181233218578e+002°)
2.32825205882097e+001	(-4.13003730798118e+000dB,1.41144625127548e+002°)
2.33361923412192e+001	(-4.14389952759663e+000dB,1.41108158041549e+002°)
2.33899878203973e+001	(-4.15779573208388e+000dB,1.41071833019164e+002°)
2.34439073109625e+001	(-4.17172594166403e+000dB,1.41035651123413e+002°)
