Freq.	V(n005)/(-I(R1)-I(R2))
2.00000000000000e+001	(6.48057313572675e+001dB,-5.28504343114035e+001°)
2.00461047615580e+001	(6.47902459249166e+001dB,-5.29211662276705e+001°)
2.00923158055679e+001	(6.47747170482160e+001dB,-5.29918302078273e+001°)
2.01386333770361e+001	(6.47591446660315e+001dB,-5.30624252897342e+001°)
2.01850577215337e+001	(6.47435287174157e+001dB,-5.31329505071589e+001°)
2.02315890851980e+001	(6.47278691416214e+001dB,-5.32034048897647e+001°)
2.02782277147336e+001	(6.47121658780981e+001dB,-5.32737874631096e+001°)
2.03249738574139e+001	(6.46964188664960e+001dB,-5.33440972486240e+001°)
2.03718277610823e+001	(6.46806280466591e+001dB,-5.34143332635540e+001°)
2.04187896741536e+001	(6.46647933586407e+001dB,-5.34844945210272e+001°)
2.04658598456151e+001	(6.46489147426930e+001dB,-5.35545800299405e+001°)
2.05130385250281e+001	(6.46329921392817e+001dB,-5.36245887950387e+001°)
2.05603259625295e+001	(6.46170254890670e+001dB,-5.36945198167962e+001°)
2.06077224088323e+001	(6.46010147329332e+001dB,-5.37643720914975e+001°)
2.06552281152279e+001	(6.45849598119684e+001dB,-5.38341446111439e+001°)
2.07028433335869e+001	(6.45688606674703e+001dB,-5.39038363634706e+001°)
2.07505683163602e+001	(6.45527172409608e+001dB,-5.39734463319375e+001°)
2.07984033165812e+001	(6.45365294741709e+001dB,-5.40429734956750e+001°)
2.08463485878661e+001	(6.45202973090562e+001dB,-5.41124168295155e+001°)
2.08944043844160e+001	(6.45040206877879e+001dB,-5.41817753039069e+001°)
2.09425709610180e+001	(6.44876995527640e+001dB,-5.42510478849793e+001°)
2.09908485730464e+001	(6.44713338466071e+001dB,-5.43202335344462e+001°)
2.10392374764644e+001	(6.44549235121643e+001dB,-5.43893312096370e+001°)
2.10877379278252e+001	(6.44384684925129e+001dB,-5.44583398634524e+001°)
2.11363501842731e+001	(6.44219687309645e+001dB,-5.45272584443692e+001°)
2.11850745035458e+001	(6.44054241710586e+001dB,-5.45960858963880e+001°)
2.12339111439745e+001	(6.43888347565698e+001dB,-5.46648211590240e+001°)
2.12828603644863e+001	(6.43722004315159e+001dB,-5.47334631673214e+001°)
2.13319224246051e+001	(6.43555211401489e+001dB,-5.48020108517938e+001°)
2.13810975844531e+001	(6.43387968269611e+001dB,-5.48704631383932e+001°)
2.14303861047521e+001	(6.43220274366983e+001dB,-5.49388189485516e+001°)
2.14797882468249e+001	(6.43052129143425e+001dB,-5.50070771990954e+001°)
2.15293042725967e+001	(6.42883532051252e+001dB,-5.50752368022461e+001°)
