Freq.	V(n003)
1.00000000000000e+000	(-1.34093361351690e+002dB,1.79779822447422e+002°)
1.00230523807790e+000	(-1.34053361554675e+002dB,1.79780154763146e+002°)
1.00461579027840e+000	(-1.34013361756736e+002dB,1.79780485913298e+002°)
1.00693166885180e+000	(-1.33973361957875e+002dB,1.79780815899635e+002°)
1.00925288607668e+000	(-1.33933362158098e+002dB,1.79781144723904e+002°)
1.01157945425990e+000	(-1.33893362357409e+002dB,1.79781472387850e+002°)
1.01391138573668e+000	(-1.33853362555812e+002dB,1.79781798893210e+002°)
1.01624869287070e+000	(-1.33813362753310e+002dB,1.79782124241714e+002°)
1.01859138805412e+000	(-1.33773362949909e+002dB,1.79782448435087e+002°)
1.02093948370768e+000	(-1.33733363145612e+002dB,1.79782771475048e+002°)
1.02329299228075e+000	(-1.33693363340424e+002dB,1.79783093363310e+002°)
1.02565192625141e+000	(-1.33653363534349e+002dB,1.79783414101578e+002°)
1.02801629812647e+000	(-1.33613363727390e+002dB,1.79783733691554e+002°)
1.03038612044162e+000	(-1.33573363919553e+002dB,1.79784052134931e+002°)
1.03276140576140e+000	(-1.33533364110840e+002dB,1.79784369433398e+002°)
1.03514216667934e+000	(-1.33493364301256e+002dB,1.79784685588637e+002°)
1.03752841581801e+000	(-1.33453364490806e+002dB,1.79785000602323e+002°)
1.03992016582906e+000	(-1.33413364679492e+002dB,1.79785314476128e+002°)
1.04231742939330e+000	(-1.33373364867320e+002dB,1.79785627211714e+002°)
1.04472021922080e+000	(-1.33333365054293e+002dB,1.79785938810740e+002°)
1.04712854805090e+000	(-1.33293365240415e+002dB,1.79786249274858e+002°)
1.04954242865232e+000	(-1.33253365425690e+002dB,1.79786558605714e+002°)
1.05196187382322e+000	(-1.33213365610122e+002dB,1.79786866804946e+002°)
1.05438689639126e+000	(-1.33173365793714e+002dB,1.79787173874191e+002°)
1.05681750921366e+000	(-1.33133365976472e+002dB,1.79787479815074e+002°)
1.05925372517729e+000	(-1.33093366158398e+002dB,1.79787784629219e+002°)
1.06169555719872e+000	(-1.33053366339496e+002dB,1.79788088318241e+002°)
1.06414301822431e+000	(-1.33013366519771e+002dB,1.79788390883750e+002°)
