Freq.	V(N002,N003)
1.00000000000000e+000	(-7.89476057496324e-008dB,-8.37000535369365e-003°)
1.00230523807790e+000	(-7.93120096733232e-008dB,-8.38930020853298e-003°)
1.00461579027840e+000	(-7.96780982771288e-008dB,-8.40863954260490e-003°)
1.00693166885180e+000	(-8.00458763826868e-008dB,-8.42802345844463e-003°)
1.00925288607668e+000	(-8.04153497759623e-008dB,-8.44745205882375e-003°)
1.01157945425990e+000	(-8.07865300288852e-008dB,-8.46692544675075e-003°)
1.01391138573668e+000	(-8.11594258204030e-008dB,-8.48644372547157e-003°)
1.01624869287070e+000	(-8.15340390791708e-008dB,-8.50600699847018e-003°)
1.01859138805412e+000	(-8.19103823414461e-008dB,-8.52561536946909e-003°)
1.02093948370768e+000	(-8.22884652505038e-008dB,-8.54526894242991e-003°)
1.02329299228075e+000	(-8.26682926279816e-008dB,-8.56496782155392e-003°)
1.02565192625141e+000	(-8.30498702598445e-008dB,-8.58471211128260e-003°)
1.02801629812647e+000	(-8.34332106823500e-008dB,-8.60450191629819e-003°)
1.03038612044162e+000	(-8.38183216101181e-008dB,-8.62433734152425e-003°)
1.03276140576140e+000	(-8.42052088291139e-008dB,-8.64421849212622e-003°)
1.03514216667934e+000	(-8.45938829469398e-008dB,-8.66414547351197e-003°)
1.03752841581801e+000	(-8.49843507138884e-008dB,-8.68411839133235e-003°)
1.03992016582906e+000	(-8.53766198445799e-008dB,-8.70413735148177e-003°)
1.04231742939330e+000	(-8.57707009466166e-008dB,-8.72420246009874e-003°)
1.04472021922080e+000	(-8.61666017346186e-008dB,-8.74431382356647e-003°)
1.04712854805090e+000	(-8.65643279945510e-008dB,-8.76447154851338e-003°)
1.04954242865232e+000	(-8.69638893696889e-008dB,-8.78467574181371e-003°)
1.05196187382322e+000	(-8.73652983962897e-008dB,-8.80492651058806e-003°)
1.05438689639126e+000	(-8.77685579673360e-008dB,-8.82522396220398e-003°)
1.05681750921366e+000	(-8.81736796547579e-008dB,-8.84556820427652e-003°)
1.05925372517729e+000	(-8.85806702088478e-008dB,-8.86595934466881e-003°)
1.06169555719872e+000	(-8.89895412015359e-008dB,-8.88639749149264e-003°)
1.06414301822431e+000	(-8.94002984187873e-008dB,-8.90688275310900e-003°)
1.06659612123026e+000	(-8.98129495752220e-008dB,-8.92741523812869e-003°)
1.06905487922266e+000	(-9.02275081714249e-008dB,-8.94799505541290e-003°)
1.07151930523761e+000	(-9.06439780647063e-008dB,-8.96862231407375e-003°)
1.07398941234124e+000	(-9.10623727556510e-008dB,-8.98929712347489e-003°)
1.07646521362983e+000	(-9.14826961015694e-008dB,-9.01001959323208e-003°)
1.07894672222983e+000	(-9.19049606387187e-008dB,-9.03078983321379e-003°)
1.08143395129794e+000	(-9.23291760103742e-008dB,-9.05160795354175e-003°)
