Freq.	V(vout)
1.00000000000000e-002	(-1.20395356139916e+002dB,4.63386573017606e+000°)
1.00230523807790e-002	(-1.20395225306349e+002dB,4.64450121344626e+000°)
1.00461579027840e-002	(-1.20395093872849e+002dB,4.65516089216771e+000°)
1.00693166885180e-002	(-1.20394961836686e+002dB,4.66584481990523e+000°)
1.00925288607668e-002	(-1.20394829195113e+002dB,4.67655305033197e+000°)
1.01157945425990e-002	(-1.20394695945374e+002dB,4.68728563722965e+000°)
1.01391138573668e-002	(-1.20394562084698e+002dB,4.69804263448861e+000°)
1.01624869287070e-002	(-1.20394427610304e+002dB,4.70882409610806e+000°)
1.01859138805412e-002	(-1.20394292519397e+002dB,4.71963007619614e+000°)
1.02093948370768e-002	(-1.20394156809169e+002dB,4.73046062897010e+000°)
1.02329299228075e-002	(-1.20394020476802e+002dB,4.74131580875648e+000°)
1.02565192625141e-002	(-1.20393883519463e+002dB,4.75219566999119e+000°)
1.02801629812647e-002	(-1.20393745934305e+002dB,4.76310026721969e+000°)
1.03038612044162e-002	(-1.20393607718473e+002dB,4.77402965509715e+000°)
1.03276140576140e-002	(-1.20393468869094e+002dB,4.78498388838857e+000°)
1.03514216667934e-002	(-1.20393329383286e+002dB,4.79596302196892e+000°)
1.03752841581801e-002	(-1.20393189258151e+002dB,4.80696711082330e+000°)
1.03992016582906e-002	(-1.20393048490780e+002dB,4.81799621004709e+000°)
1.04231742939330e-002	(-1.20392907078251e+002dB,4.82905037484607e+000°)
1.04472021922080e-002	(-1.20392765017627e+002dB,4.84012966053658e+000°)
1.04712854805090e-002	(-1.20392622305961e+002dB,4.85123412254565e+000°)
1.04954242865232e-002	(-1.20392478940289e+002dB,4.86236381641115e+000°)
1.05196187382322e-002	(-1.20392334917637e+002dB,4.87351879778192e+000°)
1.05438689639126e-002	(-1.20392190235016e+002dB,4.88469912241794e+000°)
1.05681750921366e-002	(-1.20392044889423e+002dB,4.89590484619043e+000°)
1.05925372517729e-002	(-1.20391898877843e+002dB,4.90713602508202e+000°)
1.06169555719872e-002	(-1.20391752197247e+002dB,4.91839271518686e+000°)
1.06414301822431e-002	(-1.20391604844593e+002dB,4.92967497271082e+000°)
1.06659612123026e-002	(-1.20391456816824e+002dB,4.94098285397155e+000°)
1.06905487922266e-002	(-1.20391308110870e+002dB,4.95231641539866e+000°)
1.07151930523760e-002	(-1.20391158723647e+002dB,4.96367571353387e+000°)
1.07398941234124e-002	(-1.20391008652058e+002dB,4.97506080503111e+000°)
1.07646521362983e-002	(-1.20390857892992e+002dB,4.98647174665669e+000°)
1.07894672222983e-002	(-1.20390706443323e+002dB,4.99790859528941e+000°)
1.08143395129794e-002	(-1.20390554299912e+002dB,5.00937140792073e+000°)
1.08392691402120e-002	(-1.20390401459606e+002dB,5.02086024165486e+000°)
1.08642562361706e-002	(-1.20390247919237e+002dB,5.03237515370892e+000°)
1.08893009333343e-002	(-1.20390093675623e+002dB,5.04391620141309e+000°)
1.09144033644875e-002	(-1.20389938725569e+002dB,5.05548344221071e+000°)
1.09395636627209e-002	(-1.20389783065865e+002dB,5.06707693365843e+000°)
1.09647819614318e-002	(-1.20389626693286e+002dB,5.07869673342636e+000°)
1.09900583943252e-002	(-1.20389469604593e+002dB,5.09034289929816e+000°)
1.10153930954141e-002	(-1.20389311796533e+002dB,5.10201548917121e+000°)
1.10407861990207e-002	(-1.20389153265837e+002dB,5.11371456105671e+000°)
1.10662378397766e-002	(-1.20388994009224e+002dB,5.12544017307984e+000°)
1.10917481526240e-002	(-1.20388834023396e+002dB,5.13719238347989e+000°)
1.11173172728159e-002	(-1.20388673305042e+002dB,5.14897125061033e+000°)
1.11429453359173e-002	(-1.20388511850833e+002dB,5.16077683293903e+000°)
1.11686324778056e-002	(-1.20388349657430e+002dB,5.17260918904832e+000°)
1.11943788346715e-002	(-1.20388186721475e+002dB,5.18446837763515e+000°)
1.12201845430196e-002	(-1.20388023039597e+002dB,5.19635445751118e+000°)
1.12460497396692e-002	(-1.20387858608409e+002dB,5.20826748760297e+000°)
1.12719745617551e-002	(-1.20387693424510e+002dB,5.22020752695205e+000°)
1.12979591467279e-002	(-1.20387527484483e+002dB,5.23217463471505e+000°)
1.13240036323555e-002	(-1.20387360784896e+002dB,5.24416887016387e+000°)
1.13501081567231e-002	(-1.20387193322301e+002dB,5.25619029268573e+000°)
1.13762728582343e-002	(-1.20387025093235e+002dB,5.26823896178337e+000°)
1.14024978756117e-002	(-1.20386856094221e+002dB,5.28031493707512e+000°)
1.14287833478977e-002	(-1.20386686321765e+002dB,5.29241827829503e+000°)
1.14551294144553e-002	(-1.20386515772357e+002dB,5.30454904529302e+000°)
1.14815362149688e-002	(-1.20386344442472e+002dB,5.31670729803498e+000°)
1.15080038894443e-002	(-1.20386172328571e+002dB,5.32889309660285e+000°)
1.15345325782109e-002	(-1.20385999427095e+002dB,5.34110650119484e+000°)
1.15611224219210e-002	(-1.20385825734474e+002dB,5.35334757212543e+000°)
1.15877735615512e-002	(-1.20385651247119e+002dB,5.36561636982558e+000°)
1.16144861384034e-002	(-1.20385475961425e+002dB,5.37791295484280e+000°)
1.16412602941049e-002	(-1.20385299873773e+002dB,5.39023738784128e+000°)
1.16680961706096e-002	(-1.20385122980525e+002dB,5.40258972960199e+000°)
1.16949939101987e-002	(-1.20384945278031e+002dB,5.41497004102283e+000°)
1.17219536554813e-002	(-1.20384766762620e+002dB,5.42737838311870e+000°)
1.17489755493953e-002	(-1.20384587430608e+002dB,5.43981481702165e+000°)
1.17760597352080e-002	(-1.20384407278293e+002dB,5.45227940398097e+000°)
1.18032063565173e-002	(-1.20384226301958e+002dB,5.46477220536332e+000°)
1.18304155572516e-002	(-1.20384044497867e+002dB,5.47729328265281e+000°)
1.18576874816716e-002	(-1.20383861862269e+002dB,5.48984269745114e+000°)
1.18850222743701e-002	(-1.20383678391398e+002dB,5.50242051147770e+000°)
1.19124200802737e-002	(-1.20383494081467e+002dB,5.51502678656969e+000°)
1.19398810446427e-002	(-1.20383308928677e+002dB,5.52766158468219e+000°)
1.19674053130724e-002	(-1.20383122929208e+002dB,5.54032496788831e+000°)
1.19949930314937e-002	(-1.20382936079225e+002dB,5.55301699837927e+000°)
1.20226443461741e-002	(-1.20382748374877e+002dB,5.56573773846451e+000°)
1.20503594037179e-002	(-1.20382559812293e+002dB,5.57848725057182e+000°)
1.20781383510677e-002	(-1.20382370387587e+002dB,5.59126559724740e+000°)
1.21059813355048e-002	(-1.20382180096856e+002dB,5.60407284115599e+000°)
1.21338885046497e-002	(-1.20381988936177e+002dB,5.61690904508096e+000°)
1.21618600064636e-002	(-1.20381796901613e+002dB,5.62977427192443e+000°)
1.21898959892486e-002	(-1.20381603989208e+002dB,5.64266858470734e+000°)
1.22179966016487e-002	(-1.20381410194988e+002dB,5.65559204656958e+000°)
1.22461619926504e-002	(-1.20381215514961e+002dB,5.66854472077007e+000°)
1.22743923115840e-002	(-1.20381019945119e+002dB,5.68152667068685e+000°)
1.23026877081238e-002	(-1.20380823481436e+002dB,5.69453795981720e+000°)
1.23310483322890e-002	(-1.20380626119866e+002dB,5.70757865177773e+000°)
1.23594743344450e-002	(-1.20380427856347e+002dB,5.72064881030444e+000°)
1.23879658653036e-002	(-1.20380228686798e+002dB,5.73374849925286e+000°)
1.24165230759240e-002	(-1.20380028607122e+002dB,5.74687778259813e+000°)
1.24451461177138e-002	(-1.20379827613201e+002dB,5.76003672443506e+000°)
1.24738351424294e-002	(-1.20379625700900e+002dB,5.77322538897827e+000°)
1.25025903021771e-002	(-1.20379422866067e+002dB,5.78644384056224e+000°)
1.25314117494141e-002	(-1.20379219104529e+002dB,5.79969214364142e+000°)
1.25602996369487e-002	(-1.20379014412096e+002dB,5.81297036279030e+000°)
1.25892541179416e-002	(-1.20378808784561e+002dB,5.82627856270353e+000°)
1.26182753459066e-002	(-1.20378602217694e+002dB,5.83961680819596e+000°)
1.26473634747114e-002	(-1.20378394707251e+002dB,5.85298516420276e+000°)
1.26765186585784e-002	(-1.20378186248967e+002dB,5.86638369577948e+000°)
1.27057410520853e-002	(-1.20377976838557e+002dB,5.87981246810216e+000°)
1.27350308101665e-002	(-1.20377766471720e+002dB,5.89327154646737e+000°)
1.27643880881134e-002	(-1.20377555144134e+002dB,5.90676099629234e+000°)
1.27938130415752e-002	(-1.20377342851458e+002dB,5.92028088311499e+000°)
1.28233058265601e-002	(-1.20377129589333e+002dB,5.93383127259406e+000°)
1.28528665994361e-002	(-1.20376915353379e+002dB,5.94741223050912e+000°)
1.28824955169313e-002	(-1.20376700139197e+002dB,5.96102382276072e+000°)
1.29121927361353e-002	(-1.20376483942370e+002dB,5.97466611537041e+000°)
1.29419584144998e-002	(-1.20376266758461e+002dB,5.98833917448084e+000°)
1.29717927098395e-002	(-1.20376048583012e+002dB,6.00204306635581e+000°)
1.30016957803328e-002	(-1.20375829411546e+002dB,6.01577785738037e+000°)
1.30316677845229e-002	(-1.20375609239568e+002dB,6.02954361406087e+000°)
1.30617088813183e-002	(-1.20375388062562e+002dB,6.04334040302504e+000°)
1.30918192299940e-002	(-1.20375165875990e+002dB,6.05716829102203e+000°)
1.31219989901920e-002	(-1.20374942675296e+002dB,6.07102734492253e+000°)
1.31522483219223e-002	(-1.20374718455906e+002dB,6.08491763171878e+000°)
1.31825673855640e-002	(-1.20374493213221e+002dB,6.09883921852467e+000°)
1.32129563418657e-002	(-1.20374266942626e+002dB,6.11279217257577e+000°)
1.32434153519466e-002	(-1.20374039639483e+002dB,6.12677656122943e+000°)
