Freq.	V(vout)
1.00000000000000e-002	(-1.54308306065431e-009dB,-1.07999999997996e-003°)
1.00230523807790e-002	(-1.55020654765101e-009dB,-1.08248965710395e-003°)
1.00461579027840e-002	(-1.55736185745411e-009dB,-1.08498505348035e-003°)
1.00693166885180e-002	(-1.56455188304602e-009dB,-1.08748620233949e-003°)
1.00925288607668e-002	(-1.57177276711688e-009dB,-1.08999311694222e-003°)
1.01157945425990e-002	(-1.57902836697654e-009dB,-1.09250581057995e-003°)
1.01391138573668e-002	(-1.58631482531515e-009dB,-1.09502429657472e-003°)
1.01624869287070e-002	(-1.59363889242496e-009dB,-1.09754858827932e-003°)
1.01859138805412e-002	(-1.60099381801371e-009dB,-1.10007869907727e-003°)
1.02093948370768e-002	(-1.60838249506381e-009dB,-1.10261464238297e-003°)
1.02329299228075e-002	(-1.61580781655765e-009dB,-1.10515643164174e-003°)
1.02565192625141e-002	(-1.62326688951283e-009dB,-1.10770408032990e-003°)
1.02801629812647e-002	(-1.63075971392935e-009dB,-1.11025760195482e-003°)
1.03038612044162e-002	(-1.63828628980722e-009dB,-1.11281701005502e-003°)
1.03276140576140e-002	(-1.64584661714642e-009dB,-1.11538231820023e-003°)
1.03514216667934e-002	(-1.65344455325684e-009dB,-1.11795353999146e-003°)
1.03752841581801e-002	(-1.66107527650113e-009dB,-1.12053068906107e-003°)
1.03992016582906e-002	(-1.66874360851663e-009dB,-1.12311377907285e-003°)
1.04231742939330e-002	(-1.67644858497588e-009dB,-1.12570282372207e-003°)
1.04472021922080e-002	(-1.68418441991406e-009dB,-1.12829783673561e-003°)
1.04712854805090e-002	(-1.69195689929599e-009dB,-1.13089883187196e-003°)
1.04954242865232e-002	(-1.69976505879420e-009dB,-1.13350582292134e-003°)
1.05196187382322e-002	(-1.70761372004602e-009dB,-1.13611882370575e-003°)
1.05438689639126e-002	(-1.71549420410424e-009dB,-1.13873784807907e-003°)
1.05681750921366e-002	(-1.72341133260621e-009dB,-1.14136290992710e-003°)
1.05925372517729e-002	(-1.73136799853433e-009dB,-1.14399402316765e-003°)
1.06169555719872e-002	(-1.73935841592378e-009dB,-1.14663120175064e-003°)
1.06414301822431e-002	(-1.74738740641192e-009dB,-1.14927445965811e-003°)
1.06659612123026e-002	(-1.75545207701633e-009dB,-1.15192381090436e-003°)
1.06905487922266e-002	(-1.76355532071942e-009dB,-1.15457926953598e-003°)
1.07151930523760e-002	(-1.77169713752119e-009dB,-1.15724084963196e-003°)
1.07398941234124e-002	(-1.77987656309416e-009dB,-1.15990856530372e-003°)
1.07646521362983e-002	(-1.78808974012848e-009dB,-1.16258243069522e-003°)
1.07894672222983e-002	(-1.79634245458895e-009dB,-1.16526245998304e-003°)
1.08143395129794e-002	(-1.80463374214809e-009dB,-1.16794866737643e-003°)
1.08392691402120e-002	(-1.81296553146085e-009dB,-1.17064106711738e-003°)
1.08642562361706e-002	(-1.82133396521735e-009dB,-1.17333967348073e-003°)
1.08893009333343e-002	(-1.82974000774506e-009dB,-1.17604450077423e-003°)
1.09144033644875e-002	(-1.83818558769892e-009dB,-1.17875556333860e-003°)
1.09395636627209e-002	(-1.84667166940639e-009dB,-1.18147287554762e-003°)
1.09647819614318e-002	(-1.85519343123013e-009dB,-1.18419645180822e-003°)
1.09900583943252e-002	(-1.86375858778989e-009dB,-1.18692630656052e-003°)
1.10153930954141e-002	(-1.87236328177580e-009dB,-1.18966245427794e-003°)
1.10407861990207e-002	(-1.88100558453292e-009dB,-1.19240490946726e-003°)
1.10662378397766e-002	(-1.88968742471618e-009dB,-1.19515368666872e-003°)
1.10917481526240e-002	(-1.89840976665306e-009dB,-1.19790880045604e-003°)
1.11173172728159e-002	(-1.90717164601608e-009dB,-1.20067026543658e-003°)
1.11429453359173e-002	(-1.91597402713272e-009dB,-1.20343809625134e-003°)
1.11686324778056e-002	(-1.92481691000296e-009dB,-1.20621230757508e-003°)
1.11943788346715e-002	(-1.93370222328176e-009dB,-1.20899291411641e-003°)
1.12201845430196e-002	(-1.94262900264164e-009dB,-1.21177993061781e-003°)
1.12460497396692e-002	(-1.95159146211779e-009dB,-1.21457337185577e-003°)
1.12719745617551e-002	(-1.96060213796729e-009dB,-1.21737325264085e-003°)
1.12979591467279e-002	(-1.96965235124294e-009dB,-1.22017958781772e-003°)
1.13240036323555e-002	(-1.97874403059968e-009dB,-1.22299239226530e-003°)
1.13501081567231e-002	(-1.98787814036495e-009dB,-1.22581168089679e-003°)
1.13762728582343e-002	(-1.99705275188385e-009dB,-1.22863746865980e-003°)
1.14024978756117e-002	(-2.00626979381129e-009dB,-1.23146977053635e-003°)
1.14287833478977e-002	(-2.01553215912968e-009dB,-1.23430860154303e-003°)
1.14551294144553e-002	(-2.02483213321928e-009dB,-1.23715397673105e-003°)
1.14815362149688e-002	(-2.03418032368223e-009dB,-1.24000591118630e-003°)
1.15080038894443e-002	(-2.04356901589880e-009dB,-1.24286442002944e-003°)
1.15345325782109e-002	(-2.05300206717885e-009dB,-1.24572951841602e-003°)
1.15611224219210e-002	(-2.06247754886744e-009dB,-1.24860122153650e-003°)
1.15877735615512e-002	(-2.07199931827446e-009dB,-1.25147954461635e-003°)
1.16144861384034e-002	(-2.08156351809002e-009dB,-1.25436450291617e-003°)
1.16412602941049e-002	(-2.09117111264160e-009dB,-1.25725611173171e-003°)
1.16680961706096e-002	(-2.10082306625666e-009dB,-1.26015438639400e-003°)
1.16949939101987e-002	(-2.11051841460773e-009dB,-1.26305934226940e-003°)
1.17219536554813e-002	(-2.12026197933216e-009dB,-1.26597099475970e-003°)
1.17489755493953e-002	(-2.13004893879261e-009dB,-1.26888935930219e-003°)
1.17760597352080e-002	(-2.13988218597147e-009dB,-1.27181445136974e-003°)
1.18032063565173e-002	(-2.14975593490394e-009dB,-1.27474628647091e-003°)
