Freq.	V(vout)
1.00000000000000e-002	(-1.64595944346003e-009dB,-1.07999999996376e-003°)
1.00230523807790e-002	(-1.65355545091551e-009dB,-1.08248965708764e-003°)
1.00461579027840e-002	(-1.66119003146967e-009dB,-1.08498505346392e-003°)
1.00693166885180e-002	(-1.66885643483024e-009dB,-1.08748620232295e-003°)
1.00925288607668e-002	(-1.67656044696202e-009dB,-1.08999311692557e-003°)
1.01157945425990e-002	(-1.68430013921007e-009dB,-1.09250581056318e-003°)
1.01391138573668e-002	(-1.69207454724694e-009dB,-1.09502429655784e-003°)
1.01624869287070e-002	(-1.69988270674514e-009dB,-1.09754858826232e-003°)
1.01859138805412e-002	(-1.70773040366949e-009dB,-1.10007869906015e-003°)
1.02093948370768e-002	(-1.71561281638265e-009dB,-1.10261464236573e-003°)
1.02329299228075e-002	(-1.72353187353956e-009dB,-1.10515643162438e-003°)
1.02565192625141e-002	(-1.73148661081274e-009dB,-1.10770408031242e-003°)
1.02801629812647e-002	(-1.73947992118459e-009dB,-1.11025760193722e-003°)
1.03038612044162e-002	(-1.74750698301780e-009dB,-1.11281701003730e-003°)
1.03276140576140e-002	(-1.75557261794967e-009dB,-1.11538231818239e-003°)
1.03514216667934e-002	(-1.76367586165276e-009dB,-1.11795353997350e-003°)
1.03752841581801e-002	(-1.77181767845453e-009dB,-1.12053068904298e-003°)
1.03992016582906e-002	(-1.77999517537257e-009dB,-1.12311377905463e-003°)
1.04231742939330e-002	(-1.78821220971676e-009dB,-1.12570282370373e-003°)
1.04472021922080e-002	(-1.79646685283216e-009dB,-1.12829783671714e-003°)
1.04712854805090e-002	(-1.80475814039130e-009dB,-1.13089883185336e-003°)
1.04954242865232e-002	(-1.81308992970406e-009dB,-1.13350582290261e-003°)
1.05196187382322e-002	(-1.82145836346056e-009dB,-1.13611882368689e-003°)
1.05438689639126e-002	(-1.82986537031574e-009dB,-1.13873784806008e-003°)
1.05681750921366e-002	(-1.83830998594213e-009dB,-1.14136290990798e-003°)
1.05925372517729e-002	(-1.84679703197707e-009dB,-1.14399402314840e-003°)
1.06169555719872e-002	(-1.85532168678321e-009dB,-1.14663120173125e-003°)
1.06414301822431e-002	(-1.86388395036057e-009dB,-1.14927445963859e-003°)
1.06659612123026e-002	(-1.87248864434648e-009dB,-1.15192381088471e-003°)
1.06905487922266e-002	(-1.88113191143106e-009dB,-1.15457926951619e-003°)
1.07151930523760e-002	(-1.88981568026926e-009dB,-1.15724084961203e-003°)
1.07398941234124e-002	(-1.89853609355120e-009dB,-1.15990856528365e-003°)
1.07646521362983e-002	(-1.90729990156916e-009dB,-1.16258243067502e-003°)
