Freq.	V(n004)
1.00000000000000e+000	(-9.62229740552949e+001dB,3.67255791530523e+000°)
1.00230523807790e+000	(-9.62228917201354e+001dB,3.68100074846880e+000°)
1.00461579027840e+000	(-9.62228091326404e+001dB,3.68946293714045e+000°)
1.00693166885180e+000	(-9.62227260979142e+001dB,3.69794444272814e+000°)
1.00925288607668e+000	(-9.62226425497630e+001dB,3.70644528097127e+000°)
1.01157945425990e+000	(-9.62225588393442e+001dB,3.71496564619507e+000°)
1.01391138573668e+000	(-9.62224745839554e+001dB,3.72350541919624e+000°)
1.01624869287070e+000	(-9.62223900239758e+001dB,3.73206474743200e+000°)
1.01859138805412e+000	(-9.62223049815954e+001dB,3.74064359908601e+000°)
1.02093948370768e+000	(-9.62222196726743e+001dB,3.74924211190938e+000°)
1.02329299228075e+000	(-9.62221338995578e+001dB,3.75786024543994e+000°)
1.02565192625141e+000	(-9.62220477748455e+001dB,3.76649809327567e+000°)
1.02801629812647e+000	(-9.62219612031083e+001dB,3.77515565900626e+000°)
1.03038612044162e+000	(-9.62218742861335e+001dB,3.78383303200967e+000°)
1.03276140576140e+000	(-9.62217870034310e+001dB,3.79253024868769e+000°)
1.03514216667934e+000	(-9.62216992424479e+001dB,3.80124730511708e+000°)
1.03752841581801e+000	(-9.62216110529457e+001dB,3.80998426833253e+000°)
1.03992016582906e+000	(-9.62215225168863e+001dB,3.81874121985747e+000°)
1.04231742939330e+000	(-9.62214335736849e+001dB,3.82751817874250e+000°)
1.04472021922080e+000	(-9.62213442284092e+001dB,3.83631519294272e+000°)
1.04712854805090e+000	(-9.62212543550965e+001dB,3.84513225242728e+000°)
1.04954242865232e+000	(-9.62211642377873e+001dB,3.85396952898464e+000°)
1.05196187382322e+000	(-9.62210736494401e+001dB,3.86282696800090e+000°)
1.05438689639126e+000	(-9.62209825814175e+001dB,3.87170461157766e+000°)
1.05681750921366e+000	(-9.62208911081453e+001dB,3.88060253901926e+000°)
1.05925372517729e+000	(-9.62207993069169e+001dB,3.88952083136469e+000°)
1.06169555719872e+000	(-9.62207070103413e+001dB,3.89845946004710e+000°)
1.06414301822431e+000	(-9.62206143025585e+001dB,3.90741850929056e+000°)
1.06659612123026e+000	(-9.62205211697288e+001dB,3.91639801949799e+000°)
1.06905487922266e+000	(-9.62204276185640e+001dB,3.92539804043351e+000°)
1.07151930523761e+000	(-9.62203336144705e+001dB,3.93441860326289e+000°)
1.07398941234124e+000	(-9.62202392147840e+001dB,3.94345978090532e+000°)
1.07646521362983e+000	(-9.62201443831838e+001dB,3.95252160397105e+000°)
1.07894672222983e+000	(-9.62200490716191e+001dB,3.96160409763772e+000°)
1.08143395129794e+000	(-9.62199533159426e+001dB,3.97070732541709e+000°)
1.08392691402120e+000	(-9.62198571962792e+001dB,3.97983137143377e+000°)
1.08642562361706e+000	(-9.62197605518801e+001dB,3.98897620939124e+000°)
1.08893009333343e+000	(-9.62196634987437e+001dB,3.99814194008972e+000°)
1.09144033644876e+000	(-9.62195660179906e+001dB,4.00732860254746e+000°)
1.09395636627209e+000	(-9.62194680671777e+001dB,4.01653622493436e+000°)
1.09647819614318e+000	(-9.62193696652650e+001dB,4.02576486386344e+000°)
1.09900583943252e+000	(-9.62192708645929e+001dB,4.03501459162407e+000°)
1.10153930954141e+000	(-9.62191715149501e+001dB,4.04428538642133e+000°)
1.10407861990207e+000	(-9.62190717582477e+001dB,4.05357736246336e+000°)
1.10662378397766e+000	(-9.62189715523663e+001dB,4.06289054845709e+000°)
1.10917481526240e+000	(-9.62188708392775e+001dB,4.07222496557653e+000°)
1.11173172728159e+000	(-9.62187697010481e+001dB,4.08158070079190e+000°)
1.11429453359173e+000	(-9.62186681584939e+001dB,4.09095781265524e+000°)
1.11686324778056e+000	(-9.62185660609405e+001dB,4.10035627880704e+000°)
1.11943788346715e+000	(-9.62184634831854e+001dB,4.10977618322934e+000°)
1.12201845430196e+000	(-9.62183605028113e+001dB,4.11921761166877e+000°)
1.12460497396692e+000	(-9.62182570065298e+001dB,4.12868055944223e+000°)
