Freq.	V(cascada)
2.00000000000000e+001	(3.28846888843992e+000dB,-1.43820547493059e+002°)
2.00461047615580e+001	(3.30014742550851e+000dB,-1.43776863183521e+002°)
2.00923158055679e+001	(3.31185800308900e+000dB,-1.43733259519060e+002°)
2.01386333770361e+001	(3.32360065828526e+000dB,-1.43689737315640e+002°)
2.01850577215337e+001	(3.33537542799783e+000dB,-1.43646297392419e+002°)
2.02315890851980e+001	(3.34718234892463e+000dB,-1.43602940571813e+002°)
2.02782277147336e+001	(3.35902145755698e+000dB,-1.43559667679475e+002°)
2.03249738574139e+001	(3.37089279018548e+000dB,-1.43516479544328e+002°)
2.03718277610823e+001	(3.38279638288997e+000dB,-1.43473376998575e+002°)
2.04187896741536e+001	(3.39473227154562e+000dB,-1.43430360877687e+002°)
2.04658598456151e+001	(3.40670049181155e+000dB,-1.43387432020453e+002°)
2.05130385250281e+001	(3.41870107914362e+000dB,-1.43344591268974e+002°)
2.05603259625295e+001	(3.43073406878303e+000dB,-1.43301839468670e+002°)
2.06077224088323e+001	(3.44279949575432e+000dB,-1.43259177468317e+002°)
2.06552281152279e+001	(3.45489739486700e+000dB,-1.43216606120034e+002°)
2.07028433335869e+001	(3.46702780072074e+000dB,-1.43174126279316e+002°)
2.07505683163602e+001	(3.47919074769061e+000dB,-1.43131738805048e+002°)
2.07984033165812e+001	(3.49138626993259e+000dB,-1.43089444559494e+002°)
2.08463485878661e+001	(3.50361440138427e+000dB,-1.43047244408334e+002°)
2.08944043844160e+001	(3.51587517576141e+000dB,-1.43005139220713e+002°)
2.09425709610180e+001	(3.52816862655244e+000dB,-1.42963129869152e+002°)
2.09908485730464e+001	(3.54049478702172e+000dB,-1.42921217229682e+002°)
2.10392374764644e+001	(3.55285369020912e+000dB,-1.42879402181789e+002°)
2.10877379278252e+001	(3.56524536892386e+000dB,-1.42837685608447e+002°)
2.11363501842731e+001	(3.57766985574321e+000dB,-1.42796068396119e+002°)
2.11850745035458e+001	(3.59012718301616e+000dB,-1.42754551434805e+002°)
2.12339111439745e+001	(3.60261738285626e+000dB,-1.42713135618037e+002°)
2.12828603644863e+001	(3.61514048714302e+000dB,-1.42671821842887e+002°)
2.13319224246051e+001	(3.62769652752162e+000dB,-1.42630611009997e+002°)
2.13810975844531e+001	(3.64028553539475e+000dB,-1.42589504023603e+002°)
2.14303861047521e+001	(3.65290754192465e+000dB,-1.42548501791513e+002°)
2.14797882468249e+001	(3.66556257803717e+000dB,-1.42507605225184e+002°)
2.15293042725967e+001	(3.67825067441186e+000dB,-1.42466815239688e+002°)
2.15789344445965e+001	(3.69097186148213e+000dB,-1.42426132753736e+002°)
2.16286790259587e+001	(3.70372616943736e+000dB,-1.42385558689729e+002°)
2.16785382804240e+001	(3.71651362821366e+000dB,-1.42345093973731e+002°)
2.17285124723413e+001	(3.72933426750400e+000dB,-1.42304739535537e+002°)
2.17786018666686e+001	(3.74218811673896e+000dB,-1.42264496308624e+002°)
2.18288067289751e+001	(3.75507520510523e+000dB,-1.42224365230233e+002°)
2.18791273254418e+001	(3.76799556152867e+000dB,-1.42184347241365e+002°)
2.19295639228637e+001	(3.78094921467485e+000dB,-1.42144443286774e+002°)
2.19801167886504e+001	(3.79393619295223e+000dB,-1.42104654315016e+002°)
2.20307861908283e+001	(3.80695652450863e+000dB,-1.42064981278457e+002°)
2.20815723980414e+001	(3.82001023722608e+000dB,-1.42025425133317e+002°)
2.21324756795533e+001	(3.83309735871986e+000dB,-1.41985986839623e+002°)
2.21834963052480e+001	(3.84621791634072e+000dB,-1.41946667361303e+002°)
2.22346345456318e+001	(3.85937193716821e+000dB,-1.41907467666175e+002°)
2.22858906718345e+001	(3.87255944800553e+000dB,-1.41868388725939e+002°)
2.23372649556112e+001	(3.88578047538613e+000dB,-1.41829431516248e+002°)
2.23887576693430e+001	(3.89903504556835e+000dB,-1.41790597016700e+002°)
2.24403690860392e+001	(3.91232318452670e+000dB,-1.41751886210836e+002°)
2.24920994793385e+001	(3.92564491796244e+000dB,-1.41713300086243e+002°)
2.25439491235101e+001	(3.93900027128503e+000dB,-1.41674839634460e+002°)
2.25959182934559e+001	(3.95238926962523e+000dB,-1.41636505851088e+002°)
2.26480072647111e+001	(3.96581193782296e+000dB,-1.41598299735773e+002°)
2.27002163134462e+001	(3.97926830043126e+000dB,-1.41560222292243e+002°)
2.27525457164686e+001	(3.99275838170830e+000dB,-1.41522274528308e+002°)
2.28049957512233e+001	(4.00628220561664e+000dB,-1.41484457455912e+002°)
2.28575666957954e+001	(4.01983979582717e+000dB,-1.41446772091126e+002°)
2.29102588289106e+001	(4.03343117570257e+000dB,-1.41409219454193e+002°)
2.29630724299376e+001	(4.04705636831144e+000dB,-1.41371800569531e+002°)
2.30160077788886e+001	(4.06071539641231e+000dB,-1.41334516465762e+002°)
2.30690651564218e+001	(4.07440828246189e+000dB,-1.41297368175776e+002°)
2.31222448438419e+001	(4.08813504859731e+000dB,-1.41260356736646e+002°)
2.31755471231024e+001	(4.10189571665578e+000dB,-1.41223483189799e+002°)
2.32289722768068e+001	(4.11569030814900e+000dB,-1.41186748580914e+002°)
2.32825205882097e+001	(4.12951884427525e+000dB,-1.41150153960002e+002°)
2.33361923412192e+001	(4.14338134591183e+000dB,-1.41113700381437e+002°)
2.33899878203973e+001	(4.15727783360970e+000dB,-1.41077388903956e+002°)
2.34439073109625e+001	(4.17120832759862e+000dB,-1.41041220590707e+002°)
2.34979510987905e+001	(4.18517284777099e+000dB,-1.41005196509232e+002°)
2.35521194704161e+001	(4.19917141369514e+000dB,-1.40969317731544e+002°)
2.36064127130345e+001	(4.21320404459837e+000dB,-1.40933585334128e+002°)
2.36608311145032e+001	(4.22727075937132e+000dB,-1.40898000397957e+002°)
2.37153749633431e+001	(4.24137157656351e+000dB,-1.40862564008534e+002°)
2.37700445487403e+001	(4.25550651437875e+000dB,-1.40827277255912e+002°)
2.38248401605474e+001	(4.26967559067135e+000dB,-1.40792141234717e+002°)
2.38797620892854e+001	(4.28387882294953e+000dB,-1.40757157044184e+002°)
2.39348106261448e+001	(4.29811622836328e+000dB,-1.40722325788167e+002°)
2.39899860629875e+001	(4.31238782370162e+000dB,-1.40687648575179e+002°)
2.40452886923482e+001	(4.32669362540080e+000dB,-1.40653126518427e+002°)
2.41007188074358e+001	(4.34103364952608e+000dB,-1.40618760735822e+002°)
2.41562767021355e+001	(4.35540791177568e+000dB,-1.40584552350012e+002°)
2.42119626710095e+001	(4.36981642747556e+000dB,-1.40550502488391e+002°)
2.42677770092994e+001	(4.38425921157937e+000dB,-1.40516612283195e+002°)
2.43237200129273e+001	(4.39873627866053e+000dB,-1.40482882871448e+002°)
2.43797919784972e+001	(4.41324764290561e+000dB,-1.40449315395024e+002°)
2.44359932032973e+001	(4.42779331811915e+000dB,-1.40415911000679e+002°)
2.44923239853009e+001	(4.44237331771531e+000dB,-1.40382670840101e+002°)
2.45487846231680e+001	(4.45698765471223e+000dB,-1.40349596069890e+002°)
2.46053754162475e+001	(4.47163634172957e+000dB,-1.40316687851618e+002°)
2.46620966645781e+001	(4.48631939098610e+000dB,-1.40283947351871e+002°)
2.47189486688901e+001	(4.50103681429434e+000dB,-1.40251375742247e+002°)
2.47759317306073e+001	(4.51578862305408e+000dB,-1.40218974199398e+002°)
2.48330461518481e+001	(4.53057482825184e+000dB,-1.40186743905077e+002°)
2.48902922354276e+001	(4.54539544045749e+000dB,-1.40154686046163e+002°)
2.49476702848587e+001	(4.56025046981441e+000dB,-1.40122801814663e+002°)
2.50051806043543e+001	(4.57513992603689e+000dB,-1.40091092407766e+002°)
2.50628234988282e+001	(4.59006381841169e+000dB,-1.40059559027904e+002°)
2.51205992738974e+001	(4.60502215578579e+000dB,-1.40028202882724e+002°)
2.51785082358832e+001	(4.62001494656446e+000dB,-1.39997025185159e+002°)
2.52365506918133e+001	(4.63504219870717e+000dB,-1.39966027153448e+002°)
2.52947269494229e+001	(4.65010391972376e+000dB,-1.39935210011183e+002°)
2.53530373171568e+001	(4.66520011666672e+000dB,-1.39904574987310e+002°)
2.54114821041707e+001	(4.68033079612801e+000dB,-1.39874123316208e+002°)
2.54700616203331e+001	(4.69549596423417e+000dB,-1.39843856237663e+002°)
2.55287761762267e+001	(4.71069562664178e+000dB,-1.39813774996964e+002°)
2.55876260831504e+001	(4.72592978853000e+000dB,-1.39783880844891e+002°)
2.56466116531203e+001	(4.74119845459784e+000dB,-1.39754175037771e+002°)
2.57057331988722e+001	(4.75650162905721e+000dB,-1.39724658837498e+002°)
2.57649910338625e+001	(4.77183931562655e+000dB,-1.39695333511583e+002°)
2.58243854722705e+001	(4.78721151753092e+000dB,-1.39666200333185e+002°)
2.58839168289996e+001	(4.80261823748801e+000dB,-1.39637260581140e+002°)
2.59435854196790e+001	(4.81805947771030e+000dB,-1.39608515539979e+002°)
2.60033915606657e+001	(4.83353523989293e+000dB,-1.39579966500008e+002°)
2.60633355690458e+001	(4.84904552521269e+000dB,-1.39551614757304e+002°)
2.61234177626367e+001	(4.86459033431849e+000dB,-1.39523461613764e+002°)
2.61836384599880e+001	(4.88016966732817e+000dB,-1.39495508377148e+002°)
2.62439979803839e+001	(4.89578352382170e+000dB,-1.39467756361100e+002°)
2.63044966438446e+001	(4.91143190283071e+000dB,-1.39440206885193e+002°)
2.63651347711280e+001	(4.92711480284163e+000dB,-1.39412861274980e+002°)
2.64259126837313e+001	(4.94283222178122e+000dB,-1.39385720862014e+002°)
2.64868307038931e+001	(4.95858415700770e+000dB,-1.39358786983850e+002°)
2.65478891545946e+001	(4.97437060531603e+000dB,-1.39332060984177e+002°)
2.66090883595617e+001	(4.99019156291946e+000dB,-1.39305544212754e+002°)
2.66704286432663e+001	(5.00604702544959e+000dB,-1.39279238025513e+002°)
2.67319103309287e+001	(5.02193698794455e+000dB,-1.39253143784570e+002°)
2.67935337485185e+001	(5.03786144484565e+000dB,-1.39227262858263e+002°)
2.68552992227571e+001	(5.05382038998818e+000dB,-1.39201596621207e+002°)
2.69172070811188e+001	(5.06981381659851e+000dB,-1.39176146454325e+002°)
2.69792576518329e+001	(5.08584171727846e+000dB,-1.39150913744866e+002°)
2.70414512638854e+001	(5.10190408400514e+000dB,-1.39125899886463e+002°)
2.71037882470205e+001	(5.11800090812036e+000dB,-1.39101106279196e+002°)
2.71662689317429e+001	(5.13413218032363e+000dB,-1.39076534329576e+002°)
2.72288936493188e+001	(5.15029789066242e+000dB,-1.39052185450625e+002°)
2.72916627317783e+001	(5.16649802852773e+000dB,-1.39028061061901e+002°)
2.73545765119168e+001	(5.18273258264382e+000dB,-1.39004162589564e+002°)
2.74176353232969e+001	(5.19900154105870e+000dB,-1.38980491466348e+002°)
2.74808395002501e+001	(5.21530489113908e+000dB,-1.38957049131686e+002°)
2.75441893778787e+001	(5.23164261955936e+000dB,-1.38933837031700e+002°)
2.76076852920575e+001	(5.24801471229439e+000dB,-1.38910856619256e+002°)
2.76713275794354e+001	(5.26442115460903e+000dB,-1.38888109353975e+002°)
2.77351165774376e+001	(5.28086193105228e+000dB,-1.38865596702340e+002°)
2.77990526242669e+001	(5.29733702544605e+000dB,-1.38843320137667e+002°)
2.78631360589058e+001	(5.31384642087576e+000dB,-1.38821281140192e+002°)
2.79273672211185e+001	(5.33039009968079e+000dB,-1.38799481197081e+002°)
2.79917464514521e+001	(5.34696804345076e+000dB,-1.38777921802503e+002°)
2.80562740912389e+001	(5.36358023300699e+000dB,-1.38756604457645e+002°)
2.81209504825981e+001	(5.38022664839766e+000dB,-1.38735530670759e+002°)
2.81857759684373e+001	(5.39690726888946e+000dB,-1.38714701957215e+002°)
2.82507508924549e+001	(5.41362207295565e+000dB,-1.38694119839545e+002°)
2.83158755991414e+001	(5.43037103826209e+000dB,-1.38673785847447e+002°)
2.83811504337816e+001	(5.44715414166740e+000dB,-1.38653701517892e+002°)
2.84465757424562e+001	(5.46397135920036e+000dB,-1.38633868395101e+002°)
2.85121518720435e+001	(5.48082266605937e+000dB,-1.38614288030633e+002°)
2.85778791702218e+001	(5.49770803659416e+000dB,-1.38594961983404e+002°)
2.86437579854706e+001	(5.51462744429725e+000dB,-1.38575891819727e+002°)
2.87097886670729e+001	(5.53158086179769e+000dB,-1.38557079113379e+002°)
2.87759715651167e+001	(5.54856826084310e+000dB,-1.38538525445620e+002°)
2.88423070304971e+001	(5.56558961229097e+000dB,-1.38520232405242e+002°)
2.89087954149183e+001	(5.58264488609930e+000dB,-1.38502201588610e+002°)
2.89754370708950e+001	(5.59973405130818e+000dB,-1.38484434599691e+002°)
2.90422323517546e+001	(5.61685707604061e+000dB,-1.38466933050171e+002°)
2.91091816116391e+001	(5.63401392747196e+000dB,-1.38449698559370e+002°)
2.91762852055067e+001	(5.65120457183638e+000dB,-1.38432732754386e+002°)
2.92435434891341e+001	(5.66842897440181e+000dB,-1.38416037270108e+002°)
2.93109568191180e+001	(5.68568709946242e+000dB,-1.38399613749235e+002°)
2.93785255528771e+001	(5.70297891032741e+000dB,-1.38383463842370e+002°)
2.94462500486541e+001	(5.72030436929799e+000dB,-1.38367589207989e+002°)
2.95141306655176e+001	(5.73766343767351e+000dB,-1.38351991512578e+002°)
2.95821677633639e+001	(5.75505607571544e+000dB,-1.38336672430579e+002°)
2.96503617029188e+001	(5.77248224265092e+000dB,-1.38321633644496e+002°)
2.97187128457399e+001	(5.78994189665195e+000dB,-1.38306876844918e+002°)
2.97872215542180e+001	(5.80743499482133e+000dB,-1.38292403730552e+002°)
2.98558881915797e+001	(5.82496149317881e+000dB,-1.38278216008286e+002°)
2.99247131218884e+001	(5.84252134664975e+000dB,-1.38264315393210e+002°)
2.99936967100472e+001	(5.86011450904804e+000dB,-1.38250703608666e+002°)
3.00628393218002e+001	(5.87774093305862e+000dB,-1.38237382386296e+002°)
3.01321413237346e+001	(5.89540057022865e+000dB,-1.38224353466073e+002°)
3.02016030832827e+001	(5.91309337095045e+000dB,-1.38211618596357e+002°)
3.02712249687239e+001	(5.93081928443893e+000dB,-1.38199179533899e+002°)
3.03410073491864e+001	(5.94857825872707e+000dB,-1.38187038043944e+002°)
3.04109505946496e+001	(5.96637024064363e+000dB,-1.38175195900211e+002°)
3.04810550759455e+001	(5.98419517579760e+000dB,-1.38163654884974e+002°)
3.05513211647612e+001	(6.00205300856342e+000dB,-1.38152416789075e+002°)
3.06217492336403e+001	(6.01994368206389e+000dB,-1.38141483411984e+002°)
3.06923396559856e+001	(6.03786713815373e+000dB,-1.38130856561845e+002°)
3.07630928060604e+001	(6.05582331739831e+000dB,-1.38120538055457e+002°)
3.08340090589909e+001	(6.07381215906783e+000dB,-1.38110529718418e+002°)
3.09050887907680e+001	(6.09183360110445e+000dB,-1.38100833385045e+002°)
3.09763323782493e+001	(6.10988758011939e+000dB,-1.38091450898513e+002°)
3.10477401991613e+001	(6.12797403136147e+000dB,-1.38082384110836e+002°)
3.11193126321012e+001	(6.14609288871196e+000dB,-1.38073634882916e+002°)
3.11910500565388e+001	(6.16424408465423e+000dB,-1.38065205084582e+002°)
3.12629528528188e+001	(6.18242755026684e+000dB,-1.38057096594645e+002°)
3.13350214021627e+001	(6.20064321519252e+000dB,-1.38049311300903e+002°)
3.14072560866707e+001	(6.21889100762904e+000dB,-1.38041851100197e+002°)
3.14796572893241e+001	(6.23717085430338e+000dB,-1.38034717898433e+002°)
3.15522253939866e+001	(6.25548268045421e+000dB,-1.38027913610644e+002°)
3.16249607854073e+001	(6.27382640981515e+000dB,-1.38021440160990e+002°)
