time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.500000000000000e-003	0.000000e+000	0.000000e+000
2.500001116071429e-003	1.428571e-001	-6.413391e-008
2.500002232142857e-003	2.857143e-001	-9.067184e-009
2.500003348214286e-003	4.285714e-001	1.652002e-007
2.500004464285714e-003	5.714286e-001	4.586682e-007
2.500005580357143e-003	7.142857e-001	8.713369e-007
2.500006696428571e-003	8.571429e-001	1.403206e-006
2.500007812500000e-003	1.000000e+000	2.054276e-006
2.500013746086415e-003	1.000000e+000	1.294738e-005
2.500019679672829e-003	1.000000e+000	2.849520e-005
2.500025613259244e-003	1.000000e+000	4.869774e-005
2.500031546845659e-003	1.000000e+000	7.355500e-005
2.500037480432074e-003	1.000000e+000	1.030670e-004
2.500043414018489e-003	1.000000e+000	1.372337e-004
2.500049347604904e-003	1.000000e+000	1.760551e-004
2.500089661573377e-003	1.000000e+000	4.369908e-004
2.500146067153781e-003	1.000000e+000	8.112844e-004
2.500360185366770e-003	1.000000e+000	2.192571e-003
2.501065205854746e-003	1.000000e+000	6.727346e-003
2.502005233172047e-003	1.000000e+000	1.275135e-002
2.503885287806650e-003	1.000000e+000	2.471854e-002
2.507645397075856e-003	1.000000e+000	4.828506e-002
2.515165615614266e-003	1.000000e+000	9.417529e-002
2.522978115614266e-003	1.000000e+000	1.399387e-001
2.530790615614266e-003	1.000000e+000	1.831832e-001
2.538603115614266e-003	1.000000e+000	2.235210e-001
2.546415615614266e-003	1.000000e+000	2.606205e-001
2.554228115614266e-003	1.000000e+000	2.941909e-001
2.562040615614266e-003	1.000000e+000	3.239838e-001
2.569853115614266e-003	1.000000e+000	3.497949e-001
2.577665615614266e-003	1.000000e+000	3.714646e-001
2.585478115614266e-003	1.000000e+000	3.888788e-001
2.593290615614266e-003	1.000000e+000	4.019690e-001
2.601103115614266e-003	1.000000e+000	4.107115e-001
2.608915615614266e-003	1.000000e+000	4.151267e-001
2.616728115614266e-003	1.000000e+000	4.152778e-001
2.624540615614267e-003	1.000000e+000	4.112693e-001
2.632353115614267e-003	1.000000e+000	4.032443e-001
2.640165615614267e-003	1.000000e+000	3.913831e-001
2.647978115614267e-003	1.000000e+000	3.758994e-001
2.655790615614267e-003	1.000000e+000	3.570383e-001
2.663603115614267e-003	1.000000e+000	3.350722e-001
2.671415615614267e-003	1.000000e+000	3.102980e-001
2.679228115614267e-003	1.000000e+000	2.830335e-001
2.687040615614267e-003	1.000000e+000	2.536133e-001
2.694853115614267e-003	1.000000e+000	2.223853e-001
2.702665615614267e-003	1.000000e+000	1.897070e-001
2.710478115614267e-003	1.000000e+000	1.559412e-001
2.718290615614267e-003	1.000000e+000	1.214531e-001
2.726103115614267e-003	1.000000e+000	8.660565e-002
2.733915615614267e-003	1.000000e+000	5.175649e-002
2.741728115614267e-003	1.000000e+000	1.725445e-002
2.749540615614267e-003	1.000000e+000	-1.656381e-002
2.757353115614267e-003	1.000000e+000	-4.937682e-002
2.765165615614267e-003	1.000000e+000	-8.088114e-002
2.772978115614267e-003	1.000000e+000	-1.107940e-001
2.780790615614267e-003	1.000000e+000	-1.388555e-001
2.788603115614267e-003	1.000000e+000	-1.648308e-001
2.796415615614267e-003	1.000000e+000	-1.885117e-001
2.804228115614267e-003	1.000000e+000	-2.097182e-001
2.812040615614267e-003	1.000000e+000	-2.282995e-001
2.819853115614267e-003	1.000000e+000	-2.441348e-001
2.827665615614267e-003	1.000000e+000	-2.571338e-001
2.835478115614267e-003	1.000000e+000	-2.672367e-001
2.843290615614267e-003	1.000000e+000	-2.744145e-001
2.851103115614267e-003	1.000000e+000	-2.786678e-001
2.858915615614267e-003	1.000000e+000	-2.800267e-001
2.866728115614267e-003	1.000000e+000	-2.785494e-001
2.874540615614267e-003	1.000000e+000	-2.743212e-001
2.882353115614267e-003	1.000000e+000	-2.674526e-001
2.890165615614267e-003	1.000000e+000	-2.580779e-001
2.897978115614267e-003	1.000000e+000	-2.463532e-001
2.905790615614267e-003	1.000000e+000	-2.324541e-001
2.913603115614267e-003	1.000000e+000	-2.165737e-001
2.921415615614267e-003	1.000000e+000	-1.989200e-001
2.929228115614267e-003	1.000000e+000	-1.797139e-001
2.937040615614267e-003	1.000000e+000	-1.591860e-001
2.944853115614267e-003	1.000000e+000	-1.375746e-001
2.952665615614267e-003	1.000000e+000	-1.151228e-001
2.960478115614267e-003	1.000000e+000	-9.207622e-002
2.968290615614267e-003	1.000000e+000	-6.868028e-002
2.976103115614267e-003	1.000000e+000	-4.517777e-002
2.983915615614267e-003	1.000000e+000	-2.180654e-002
2.991728115614267e-003	1.000000e+000	1.202769e-003
2.999540615614267e-003	1.000000e+000	2.362888e-002
3.007353115614267e-003	1.000000e+000	4.526184e-002
3.015165615614267e-003	1.000000e+000	6.590483e-002
3.022978115614267e-003	1.000000e+000	8.537584e-002
3.030790615614267e-003	1.000000e+000	1.035091e-001
3.038603115614267e-003	1.000000e+000	1.201564e-001
3.046415615614267e-003	1.000000e+000	1.351879e-001
3.054228115614267e-003	1.000000e+000	1.484934e-001
3.062040615614267e-003	1.000000e+000	1.599825e-001
3.069853115614267e-003	1.000000e+000	1.695854e-001
3.077665615614267e-003	1.000000e+000	1.772527e-001
3.085478115614267e-003	1.000000e+000	1.829558e-001
3.093290615614267e-003	1.000000e+000	1.866864e-001
3.101103115614267e-003	1.000000e+000	1.884561e-001
3.108915615614267e-003	1.000000e+000	1.882959e-001
3.116728115614267e-003	1.000000e+000	1.862552e-001
3.124540615614267e-003	1.000000e+000	1.824013e-001
3.132353115614267e-003	1.000000e+000	1.768175e-001
3.140165615614267e-003	1.000000e+000	1.696029e-001
3.147978115614267e-003	1.000000e+000	1.608700e-001
3.155790615614267e-003	1.000000e+000	1.507439e-001
3.163603115614267e-003	1.000000e+000	1.393607e-001
3.171415615614267e-003	1.000000e+000	1.268653e-001
3.179228115614267e-003	1.000000e+000	1.134105e-001
3.187040615614267e-003	1.000000e+000	9.915469e-002
3.194853115614267e-003	1.000000e+000	8.426046e-002
3.202665615614267e-003	1.000000e+000	6.889271e-002
3.210478115614267e-003	1.000000e+000	5.321699e-002
3.218290615614267e-003	1.000000e+000	3.739782e-002
3.226103115614267e-003	1.000000e+000	2.159708e-002
3.233915615614267e-003	1.000000e+000	5.972426e-003
3.241728115614267e-003	1.000000e+000	-9.324133e-003
3.249540615614267e-003	1.000000e+000	-2.414766e-002
3.257353115614267e-003	1.000000e+000	-3.836155e-002
3.265165615614267e-003	1.000000e+000	-5.183869e-002
3.272978115614267e-003	1.000000e+000	-6.446249e-002
3.280790615614267e-003	1.000000e+000	-7.612780e-002
3.288603115614267e-003	1.000000e+000	-8.674166e-002
3.296415615614267e-003	1.000000e+000	-9.622397e-002
3.304228115614267e-003	1.000000e+000	-1.045079e-001
3.312040615614267e-003	1.000000e+000	-1.115403e-001
3.319853115614267e-003	1.000000e+000	-1.172819e-001
3.327665615614267e-003	1.000000e+000	-1.217072e-001
3.335478115614267e-003	1.000000e+000	-1.248047e-001
3.343290615614267e-003	1.000000e+000	-1.265763e-001
3.351103115614267e-003	1.000000e+000	-1.270371e-001
3.358915615614267e-003	1.000000e+000	-1.262152e-001
3.366728115614267e-003	1.000000e+000	-1.241505e-001
3.374540615614267e-003	1.000000e+000	-1.208946e-001
3.382353115614267e-003	1.000000e+000	-1.165097e-001
3.390165615614267e-003	1.000000e+000	-1.110676e-001
3.397978115614267e-003	1.000000e+000	-1.046490e-001
3.405790615614267e-003	1.000000e+000	-9.734253e-002
3.413603115614267e-003	1.000000e+000	-8.924321e-002
3.421415615614267e-003	1.000000e+000	-8.045183e-002
3.429228115614267e-003	1.000000e+000	-7.107353e-002
3.437040615614267e-003	1.000000e+000	-6.121675e-002
3.444853115614267e-003	1.000000e+000	-5.099201e-002
3.452665615614267e-003	1.000000e+000	-4.051076e-002
3.460478115614267e-003	1.000000e+000	-2.988426e-002
3.468290615614267e-003	1.000000e+000	-1.922248e-002
3.476103115614267e-003	1.000000e+000	-8.632974e-003
3.483915615614267e-003	1.000000e+000	1.780063e-003
3.491728115614267e-003	1.000000e+000	1.191680e-002
3.499540615614267e-003	1.000000e+000	2.168266e-002
3.507353115614267e-003	1.000000e+000	3.098911e-002
3.515165615614267e-003	1.000000e+000	3.975441e-002
3.522978115614267e-003	1.000000e+000	4.790429e-002
3.530790615614267e-003	1.000000e+000	5.537245e-002
3.538603115614267e-003	1.000000e+000	6.210108e-002
3.546415615614267e-003	1.000000e+000	6.804121e-002
3.554228115614267e-003	1.000000e+000	7.315294e-002
3.562040615614267e-003	1.000000e+000	7.740570e-002
3.569853115614267e-003	1.000000e+000	8.077824e-002
3.577665615614267e-003	1.000000e+000	8.325867e-002
3.585478115614267e-003	1.000000e+000	8.484430e-002
3.593290615614267e-003	1.000000e+000	8.554148e-002
3.601103115614267e-003	1.000000e+000	8.536529e-002
3.608915615614267e-003	1.000000e+000	8.433916e-002
3.616728115614267e-003	1.000000e+000	8.249447e-002
3.624540615614267e-003	1.000000e+000	7.987001e-002
3.632353115614267e-003	1.000000e+000	7.651138e-002
3.640165615614267e-003	1.000000e+000	7.247042e-002
3.647978115614267e-003	1.000000e+000	6.780452e-002
3.655790615614267e-003	1.000000e+000	6.257588e-002
3.663603115614267e-003	1.000000e+000	5.685079e-002
3.671415615614267e-003	1.000000e+000	5.069889e-002
3.679228115614267e-003	1.000000e+000	4.419231e-002
3.687040615614267e-003	1.000000e+000	3.740500e-002
3.694853115614267e-003	1.000000e+000	3.041184e-002
3.702665615614267e-003	1.000000e+000	2.328793e-002
3.710478115614267e-003	1.000000e+000	1.610780e-002
3.718290615614267e-003	1.000000e+000	8.944706e-003
3.726103115614267e-003	1.000000e+000	1.869916e-003
3.733915615614267e-003	1.000000e+000	-5.047962e-003
3.741728115614267e-003	1.000000e+000	-1.174359e-002
3.749540615614268e-003	1.000000e+000	-1.815548e-002
3.757353115614268e-003	1.000000e+000	-2.422651e-002
3.765165615614268e-003	1.000000e+000	-2.990437e-002
3.772978115614268e-003	1.000000e+000	-3.514202e-002
3.780790615614268e-003	1.000000e+000	-3.989795e-002
3.788603115614268e-003	1.000000e+000	-4.413653e-002
3.796415615614268e-003	1.000000e+000	-4.782819e-002
3.804228115614268e-003	1.000000e+000	-5.094955e-002
3.812040615614268e-003	1.000000e+000	-5.348353e-002
3.819853115614268e-003	1.000000e+000	-5.541937e-002
3.827665615614268e-003	1.000000e+000	-5.675252e-002
3.835478115614268e-003	1.000000e+000	-5.748462e-002
3.843290615614268e-003	1.000000e+000	-5.762324e-002
3.851103115614268e-003	1.000000e+000	-5.718175e-002
3.858915615614268e-003	1.000000e+000	-5.617895e-002
3.866728115614268e-003	1.000000e+000	-5.463882e-002
3.874540615614268e-003	1.000000e+000	-5.259011e-002
3.882353115614268e-003	1.000000e+000	-5.006594e-002
3.890165615614268e-003	1.000000e+000	-4.710338e-002
3.897978115614268e-003	1.000000e+000	-4.374296e-002
3.905790615614268e-003	1.000000e+000	-4.002819e-002
3.913603115614267e-003	1.000000e+000	-3.600504e-002
3.921415615614267e-003	1.000000e+000	-3.172141e-002
3.929228115614267e-003	1.000000e+000	-2.722667e-002
3.937040615614267e-003	1.000000e+000	-2.257101e-002
3.944853115614267e-003	1.000000e+000	-1.780504e-002
3.952665615614267e-003	1.000000e+000	-1.297918e-002
3.960478115614267e-003	1.000000e+000	-8.143216e-003
3.968290615614267e-003	1.000000e+000	-3.345800e-003
3.976103115614267e-003	1.000000e+000	1.366017e-003
3.983915615614267e-003	1.000000e+000	5.947205e-003
3.991728115614267e-003	1.000000e+000	1.035516e-002
3.999540615614267e-003	1.000000e+000	1.455007e-002
4.007353115614267e-003	1.000000e+000	1.849524e-002
4.015165615614267e-003	1.000000e+000	2.215738e-002
4.022978115614267e-003	1.000000e+000	2.550688e-002
4.030790615614267e-003	1.000000e+000	2.851798e-002
4.038603115614267e-003	1.000000e+000	3.116893e-002
4.046415615614267e-003	1.000000e+000	3.344216e-002
4.054228115614267e-003	1.000000e+000	3.532428e-002
4.062040615614267e-003	1.000000e+000	3.680617e-002
4.069853115614267e-003	1.000000e+000	3.788294e-002
4.077665615614267e-003	1.000000e+000	3.855386e-002
4.085478115614267e-003	1.000000e+000	3.882230e-002
4.093290615614267e-003	1.000000e+000	3.869556e-002
4.101103115614267e-003	1.000000e+000	3.818471e-002
4.108915615614267e-003	1.000000e+000	3.730441e-002
4.116728115614267e-003	1.000000e+000	3.607264e-002
4.124540615614267e-003	1.000000e+000	3.451044e-002
4.132353115614267e-003	1.000000e+000	3.264166e-002
4.140165615614267e-003	1.000000e+000	3.049261e-002
4.147978115614267e-003	1.000000e+000	2.809174e-002
4.155790615614267e-003	1.000000e+000	2.546935e-002
4.163603115614267e-003	1.000000e+000	2.265717e-002
4.171415615614267e-003	1.000000e+000	1.968805e-002
4.179228115614267e-003	1.000000e+000	1.659561e-002
4.187040615614267e-003	1.000000e+000	1.341386e-002
4.194853115614267e-003	1.000000e+000	1.017685e-002
4.202665615614267e-003	1.000000e+000	6.918356e-003
4.210478115614267e-003	1.000000e+000	3.671516e-003
4.218290615614267e-003	1.000000e+000	4.685338e-004
4.226103115614267e-003	1.000000e+000	-2.659623e-003
4.233915615614267e-003	1.000000e+000	-5.683506e-003
4.241728115614268e-003	1.000000e+000	-8.575443e-003
4.249540615614268e-003	1.000000e+000	-1.130977e-002
4.257353115614268e-003	1.000000e+000	-1.386303e-002
4.265165615614268e-003	1.000000e+000	-1.621416e-002
4.272978115614268e-003	1.000000e+000	-1.834466e-002
4.280790615614268e-003	1.000000e+000	-2.023869e-002
4.288603115614268e-003	1.000000e+000	-2.188314e-002
4.296415615614268e-003	1.000000e+000	-2.326778e-002
4.304228115614268e-003	1.000000e+000	-2.438518e-002
4.312040615614268e-003	1.000000e+000	-2.523080e-002
4.319853115614268e-003	1.000000e+000	-2.580292e-002
4.327665615614268e-003	1.000000e+000	-2.610260e-002
4.335478115614268e-003	1.000000e+000	-2.613362e-002
4.343290615614268e-003	1.000000e+000	-2.590232e-002
4.351103115614268e-003	1.000000e+000	-2.541754e-002
4.358915615614268e-003	1.000000e+000	-2.469041e-002
4.366728115614268e-003	1.000000e+000	-2.373424e-002
4.374540615614268e-003	1.000000e+000	-2.256427e-002
4.382353115614268e-003	1.000000e+000	-2.119752e-002
4.390165615614268e-003	1.000000e+000	-1.965255e-002
4.397978115614268e-003	1.000000e+000	-1.794926e-002
4.405790615614268e-003	1.000000e+000	-1.610861e-002
4.413603115614268e-003	1.000000e+000	-1.415244e-002
4.421415615614268e-003	1.000000e+000	-1.210319e-002
4.429228115614268e-003	1.000000e+000	-9.983676e-003
4.437040615614268e-003	1.000000e+000	-7.816858e-003
4.444853115614268e-003	1.000000e+000	-5.625594e-003
4.452665615614268e-003	1.000000e+000	-3.432421e-003
4.460478115614268e-003	1.000000e+000	-1.259334e-003
4.468290615614268e-003	1.000000e+000	8.724177e-004
4.476103115614268e-003	1.000000e+000	2.942526e-003
4.483915615614268e-003	1.000000e+000	4.931805e-003
4.491728115614268e-003	1.000000e+000	6.822351e-003
4.499540615614268e-003	1.000000e+000	8.597698e-003
4.507353115614268e-003	1.000000e+000	1.024294e-002
4.515165615614268e-003	1.000000e+000	1.174483e-002
4.522978115614268e-003	1.000000e+000	1.309191e-002
4.530790615614268e-003	1.000000e+000	1.427453e-002
4.538603115614268e-003	1.000000e+000	1.528495e-002
4.546415615614268e-003	1.000000e+000	1.611733e-002
4.554228115614268e-003	1.000000e+000	1.676775e-002
4.562040615614268e-003	1.000000e+000	1.723422e-002
4.569853115614268e-003	1.000000e+000	1.751664e-002
4.577665615614268e-003	1.000000e+000	1.761676e-002
4.585478115614268e-003	1.000000e+000	1.753809e-002
4.593290615614268e-003	1.000000e+000	1.728587e-002
4.601103115614268e-003	1.000000e+000	1.686692e-002
4.608915615614268e-003	1.000000e+000	1.628957e-002
4.616728115614268e-003	1.000000e+000	1.556354e-002
4.624540615614268e-003	1.000000e+000	1.469979e-002
4.632353115614268e-003	1.000000e+000	1.371037e-002
4.640165615614268e-003	1.000000e+000	1.260830e-002
4.647978115614268e-003	1.000000e+000	1.140742e-002
4.655790615614268e-003	1.000000e+000	1.012219e-002
4.663603115614268e-003	1.000000e+000	8.767569e-003
4.671415615614268e-003	1.000000e+000	7.358837e-003
4.679228115614268e-003	1.000000e+000	5.911435e-003
4.687040615614268e-003	1.000000e+000	4.440807e-003
4.694853115614268e-003	1.000000e+000	2.962247e-003
4.702665615614268e-003	1.000000e+000	1.490751e-003
4.710478115614268e-003	1.000000e+000	4.086796e-005
4.718290615614268e-003	1.000000e+000	-1.373428e-003
4.726103115614268e-003	1.000000e+000	-2.738867e-003
4.733915615614268e-003	1.000000e+000	-4.042996e-003
4.741728115614268e-003	1.000000e+000	-5.274286e-003
4.749540615614268e-003	1.000000e+000	-6.422223e-003
4.757353115614268e-003	1.000000e+000	-7.477387e-003
4.765165615614268e-003	1.000000e+000	-8.431522e-003
4.772978115614268e-003	1.000000e+000	-9.277588e-003
4.780790615614268e-003	1.000000e+000	-1.000980e-002
4.788603115614268e-003	1.000000e+000	-1.062365e-002
4.796415615614268e-003	1.000000e+000	-1.111595e-002
4.804228115614268e-003	1.000000e+000	-1.148477e-002
4.812040615614268e-003	1.000000e+000	-1.172950e-002
4.819853115614268e-003	1.000000e+000	-1.185076e-002
4.827665615614268e-003	1.000000e+000	-1.185041e-002
4.835478115614268e-003	1.000000e+000	-1.173146e-002
4.843290615614268e-003	1.000000e+000	-1.149806e-002
4.851103115614268e-003	1.000000e+000	-1.115538e-002
4.858915615614268e-003	1.000000e+000	-1.070956e-002
4.866728115614268e-003	1.000000e+000	-1.016763e-002
4.874540615614268e-003	1.000000e+000	-9.537383e-003
4.882353115614268e-003	1.000000e+000	-8.827332e-003
4.890165615614268e-003	1.000000e+000	-8.046563e-003
4.897978115614268e-003	1.000000e+000	-7.204641e-003
4.905790615614268e-003	1.000000e+000	-6.311512e-003
4.913603115614268e-003	1.000000e+000	-5.377385e-003
4.921415615614268e-003	1.000000e+000	-4.412625e-003
4.929228115614268e-003	1.000000e+000	-3.427650e-003
4.937040615614268e-003	1.000000e+000	-2.432816e-003
4.944853115614268e-003	1.000000e+000	-1.438326e-003
4.952665615614268e-003	1.000000e+000	-4.541231e-004
4.960478115614268e-003	1.000000e+000	5.101982e-004
4.968290615614268e-003	1.000000e+000	1.445481e-003
4.976103115614268e-003	1.000000e+000	2.343086e-003
4.983915615614268e-003	1.000000e+000	3.194966e-003
4.991728115614268e-003	1.000000e+000	3.993730e-003
4.999540615614268e-003	1.000000e+000	4.732702e-003
5.007353115614268e-003	1.000000e+000	5.405973e-003
5.015165615614268e-003	1.000000e+000	6.008434e-003
