f,mag,phase
1.00000000000000e+001,-5.28322303412296e+001,8.99232348660899e+001
1.00230523807790e+001,-5.28122295018310e+001,8.99231132727715e+001
1.00461579027840e+001,-5.27922286585497e+001,8.99229912717457e+001
1.00693166885180e+001,-5.27722278113679e+001,8.99228688623713e+001
1.00925288607668e+001,-5.27522269602676e+001,8.99227460439939e+001
1.01157945425990e+001,-5.27322261052308e+001,8.99226228159656e+001
1.01391138573668e+001,-5.27122252462392e+001,8.99224991776306e+001
1.01624869287070e+001,-5.26922243832747e+001,8.99223751283339e+001
1.01859138805412e+001,-5.26722235163190e+001,8.99222506674167e+001
1.02093948370768e+001,-5.26522226453537e+001,8.99221257942193e+001
1.02329299228075e+001,-5.26322217703603e+001,8.99220005080771e+001
1.02565192625141e+001,-5.26122208913203e+001,8.99218748083281e+001
1.02801629812647e+001,-5.25922200082150e+001,8.99217486943062e+001
1.03038612044162e+001,-5.25722191210256e+001,8.99216221653381e+001
1.03276140576140e+001,-5.25522182297335e+001,8.99214952207569e+001
1.03514216667934e+001,-5.25322173343196e+001,8.99213678598851e+001
1.03752841581801e+001,-5.25122164347650e+001,8.99212400820488e+001
1.03992016582906e+001,-5.24922155310507e+001,8.99211118865739e+001
1.04231742939330e+001,-5.24722146231573e+001,8.99209832727729e+001
1.04472021922080e+001,-5.24522137110657e+001,8.99208542399691e+001
1.04712854805090e+001,-5.24322127947566e+001,8.99207247874770e+001
1.04954242865232e+001,-5.24122118742105e+001,8.99205949146058e+001
1.05196187382322e+001,-5.23922109494078e+001,8.99204646206749e+001
1.05438689639126e+001,-5.23722100203290e+001,8.99203339049837e+001
1.05681750921366e+001,-5.23522090869544e+001,8.99202027668418e+001
1.05925372517729e+001,-5.23322081492641e+001,8.99200712055580e+001
1.06169555719872e+001,-5.23122072072383e+001,8.99199392204291e+001
1.06414301822431e+001,-5.22922062608570e+001,8.99198068107557e+001
1.06659612123026e+001,-5.22722053101002e+001,8.99196739758368e+001
1.06905487922266e+001,-5.22522043549475e+001,8.99195407149658e+001
1.07151930523761e+001,-5.22322033953789e+001,8.99194070274373e+001
1.07398941234124e+001,-5.22122024313740e+001,8.99192729125413e+001
1.07646521362983e+001,-5.21922014629122e+001,8.99191383695668e+001
1.07894672222983e+001,-5.21722004899731e+001,8.99190033977990e+001
1.08143395129794e+001,-5.21521995125360e+001,8.99188679965224e+001
1.08392691402120e+001,-5.21321985305803e+001,8.99187321650204e+001
