time,V(vin),V(vout)
0.000000000000000e+000,0.000000e+000,0.000000e+000
3.417968750000000e-009,1.000000e+000,4.070400e-007
8.793131465597347e-009,1.000000e+000,7.385943e-006
1.416829418119470e-008,1.000000e+000,1.871972e-005
1.954345689679204e-008,1.000000e+000,3.440836e-005
2.491861961238939e-008,1.000000e+000,5.445188e-005
3.029378232798674e-008,1.000000e+000,7.885026e-005
3.566894504358408e-008,1.000000e+000,1.076035e-004
4.104410775918141e-008,1.000000e+000,1.407117e-004
7.881780025467335e-008,1.000000e+000,3.794706e-004
1.251205763993068e-007,1.000000e+000,6.875455e-004
3.133331283166153e-007,1.000000e+000,1.905214e-003
8.869751260848658e-007,1.000000e+000,5.596527e-003
1.651831123109200e-006,1.000000e+000,1.050368e-002
3.181543117157868e-006,1.000000e+000,2.026613e-002
6.240967105255204e-006,1.000000e+000,3.962009e-002
9.658935855255204e-006,1.000000e+000,6.097201e-002
1.307690460525520e-005,1.000000e+000,8.197977e-002
1.649487335525520e-005,1.000000e+000,1.025989e-001
1.991284210525520e-005,1.000000e+000,1.227937e-001
2.333081085525520e-005,1.000000e+000,1.425298e-001
2.674877960525520e-005,1.000000e+000,1.617742e-001
3.016674835525520e-005,1.000000e+000,1.804949e-001
3.358471710525520e-005,1.000000e+000,1.986617e-001
3.700268585525521e-005,1.000000e+000,2.162453e-001
4.042065460525521e-005,1.000000e+000,2.332182e-001
4.383862335525521e-005,1.000000e+000,2.495544e-001
4.725659210525522e-005,1.000000e+000,2.652291e-001
5.067456085525522e-005,1.000000e+000,2.802194e-001
5.409252960525522e-005,1.000000e+000,2.945038e-001
5.751049835525523e-005,1.000000e+000,3.080623e-001
6.092846710525523e-005,1.000000e+000,3.208769e-001
6.434643585525523e-005,1.000000e+000,3.329307e-001
6.776440460525524e-005,1.000000e+000,3.442089e-001
7.118237335525524e-005,1.000000e+000,3.546982e-001
7.460034210525524e-005,1.000000e+000,3.643869e-001
7.801831085525524e-005,1.000000e+000,3.732651e-001
8.143627960525525e-005,1.000000e+000,3.813246e-001
8.485424835525525e-005,1.000000e+000,3.885586e-001
8.827221710525525e-005,1.000000e+000,3.949623e-001
9.169018585525526e-005,1.000000e+000,4.005324e-001
9.510815460525526e-005,1.000000e+000,4.052672e-001
9.852612335525526e-005,1.000000e+000,4.091668e-001
1.019440921052553e-004,1.000000e+000,4.122327e-001
1.053620608552553e-004,1.000000e+000,4.144682e-001
1.087800296052553e-004,1.000000e+000,4.158781e-001
1.121979983552553e-004,1.000000e+000,4.164687e-001
1.156159671052553e-004,1.000000e+000,4.162478e-001
1.190339358552553e-004,1.000000e+000,4.152247e-001
1.224519046052553e-004,1.000000e+000,4.134102e-001
1.258698733552553e-004,1.000000e+000,4.108166e-001
1.292878421052553e-004,1.000000e+000,4.074572e-001
1.327058108552553e-004,1.000000e+000,4.033471e-001
1.395417483552553e-004,1.000000e+000,3.929406e-001
1.463776858552553e-004,1.000000e+000,3.797408e-001
1.532136233552553e-004,1.000000e+000,3.639102e-001
1.600495608552553e-004,1.000000e+000,3.456278e-001
1.668854983552553e-004,1.000000e+000,3.250875e-001
1.771394046052553e-004,1.000000e+000,2.904997e-001
1.873933108552553e-004,1.000000e+000,2.520447e-001
1.976472171052553e-004,1.000000e+000,2.105089e-001
2.079011233552554e-004,1.000000e+000,1.667064e-001
2.181550296052554e-004,1.000000e+000,1.214635e-001
2.215729983552554e-004,1.000000e+000,1.062052e-001
2.284089358552554e-004,1.000000e+000,7.560453e-002
2.352448733552554e-004,1.000000e+000,4.508978e-002
2.420808108552554e-004,1.000000e+000,1.489365e-002
2.454987796052554e-004,1.000000e+000,-1.425219e-005
2.489167483552554e-004,1.000000e+000,-1.475875e-002
2.523347171052554e-004,1.000000e+000,-2.931313e-002
2.557526858552554e-004,1.000000e+000,-4.365135e-002
2.625886233552554e-004,1.000000e+000,-7.157867e-002
2.694245608552554e-004,1.000000e+000,-9.834711e-002
2.762604983552554e-004,1.000000e+000,-1.237762e-001
2.796784671052554e-004,1.000000e+000,-1.359359e-001
2.830964358552554e-004,1.000000e+000,-1.476997e-001
2.865144046052554e-004,1.000000e+000,-1.590490e-001
2.899323733552554e-004,1.000000e+000,-1.699665e-001
2.933503421052554e-004,1.000000e+000,-1.804358e-001
2.967683108552554e-004,1.000000e+000,-1.904416e-001
3.001862796052554e-004,1.000000e+000,-1.999697e-001
3.036042483552554e-004,1.000000e+000,-2.090068e-001
3.070222171052554e-004,1.000000e+000,-2.175409e-001
3.104401858552554e-004,1.000000e+000,-2.255609e-001
3.138581546052554e-004,1.000000e+000,-2.330571e-001
3.172761233552554e-004,1.000000e+000,-2.400206e-001
3.206940921052555e-004,1.000000e+000,-2.464439e-001
3.241120608552555e-004,1.000000e+000,-2.523204e-001
3.275300296052555e-004,1.000000e+000,-2.576448e-001
3.309479983552555e-004,1.000000e+000,-2.624128e-001
3.343659671052555e-004,1.000000e+000,-2.666214e-001
3.377839358552555e-004,1.000000e+000,-2.702684e-001
3.412019046052555e-004,1.000000e+000,-2.733532e-001
3.446198733552555e-004,1.000000e+000,-2.758757e-001
3.480378421052555e-004,1.000000e+000,-2.778372e-001
3.514558108552555e-004,1.000000e+000,-2.792403e-001
3.548737796052555e-004,1.000000e+000,-2.800882e-001
3.582917483552555e-004,1.000000e+000,-2.803855e-001
3.617097171052555e-004,1.000000e+000,-2.801375e-001
3.651276858552555e-004,1.000000e+000,-2.793508e-001
3.685456546052555e-004,1.000000e+000,-2.780327e-001
3.719636233552555e-004,1.000000e+000,-2.761916e-001
3.753815921052555e-004,1.000000e+000,-2.738369e-001
3.787995608552555e-004,1.000000e+000,-2.709786e-001
3.822175296052555e-004,1.000000e+000,-2.676278e-001
3.856354983552555e-004,1.000000e+000,-2.637965e-001
3.890534671052555e-004,1.000000e+000,-2.594973e-001
3.924714358552555e-004,1.000000e+000,-2.547436e-001
3.958894046052555e-004,1.000000e+000,-2.495495e-001
3.993073733552555e-004,1.000000e+000,-2.439301e-001
4.027253421052555e-004,1.000000e+000,-2.379007e-001
4.061433108552555e-004,1.000000e+000,-2.314775e-001
4.095612796052555e-004,1.000000e+000,-2.246773e-001
4.129792483552555e-004,1.000000e+000,-2.175173e-001
4.163972171052555e-004,1.000000e+000,-2.100154e-001
4.198151858552555e-004,1.000000e+000,-2.021897e-001
4.232331546052555e-004,1.000000e+000,-1.940590e-001
4.266511233552555e-004,1.000000e+000,-1.856422e-001
4.300690921052555e-004,1.000000e+000,-1.769589e-001
4.334870608552556e-004,1.000000e+000,-1.680286e-001
4.403229983552556e-004,1.000000e+000,-1.495076e-001
4.471589358552556e-004,1.000000e+000,-1.302411e-001
4.539948733552556e-004,1.000000e+000,-1.103937e-001
4.608308108552556e-004,1.000000e+000,-9.013042e-002
4.710847171052556e-004,1.000000e+000,-5.931593e-002
4.813386233552556e-004,1.000000e+000,-2.848415e-002
4.881745608552556e-004,1.000000e+000,-8.182921e-003
